pathway,pval,padj,log2err,ES,NES,size
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.2007992007992008,0.33535536628320134,0.0911073131586733,0.41033749419500426,1.197277625840168,21
KEGG_BLADDER_CANCER,0.11488511488511488,0.2133321224230315,0.12687572992985735,0.40302827244916795,1.2471823277761265,36
KEGG_BUTANOATE_METABOLISM,0.25274725274725274,0.4014221073044602,0.07850290473486872,0.39020693212426755,1.1582065582104748,25
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.0012425561311410456,0.010362912758304896,0.45505986738722953,0.4516084247595828,1.4735647081195462,62
KEGG_CALCIUM_SIGNALING_PATHWAY,0.995004995004995,1,0.003232438776543834,0.19179108725106564,0.6557796089955265,125
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.4005994005994006,0.5823283858998145,0.05582647177874898,0.32763468809073726,1.0518540633234028,52
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.99000999000999,1,0.004582882238177752,0.20276255353361672,0.680747097357641,92
KEGG_CELL_CYCLE,5.1355256247531995e-5,0.0012794305462909487,0.557332238758646,0.44371149716712976,1.5097506674962204,116
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.07392607392607392,0.15757926284242074,0.1619789488834018,0.340221806547043,1.1701347681530225,141
KEGG_CHRONIC_MYELOID_LEUKEMIA,2.0972207386123947e-4,0.003397497596552079,0.5188480777437918,0.46836308688810546,1.5431024848894903,70
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.007996065674423207,0.03500980106098809,0.3807304007227924,0.5084628132148997,1.523359822039835,27
KEGG_COLORECTAL_CANCER,0.01008843947817958,0.04300861040697611,0.3807304007227924,0.42665250912184105,1.3810286446854616,57
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.974025974025974,1,0.007450092912963734,0.18867947309322297,0.5777751366049331,33
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.005316875666265021,0.026101025998028285,0.40701791892395395,0.5335576282478347,1.5900948804933865,26
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,1,1,0,0.1583513769021988,0.5451520242824485,152
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.2907092907092907,0.4485229056657628,0.07130529873400379,0.36151249923954476,1.1149625235357015,35
KEGG_DILATED_CARDIOMYOPATHY,0.968031968031968,1,0.008290698332045106,0.21665777703297995,0.7131949543970494,69
KEGG_DNA_REPLICATION,0.017982017982017984,0.0662065207519753,0.34179338089747546,0.4796956739045926,1.4635574376260714,31
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.08891108891108891,0.18232400510881522,0.14641623786055022,0.4536659152567421,1.3237007527395772,21
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.8421578421578422,0.9873292175450449,0.01975192901443341,0.25665037760995113,0.7803709729145835,30
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,0.7192807192807192,0.90328276374788,0.028503859924782167,0.2901868439889486,0.8736744345214541,28
KEGG_ECM_RECEPTOR_INTERACTION,0.975024975024975,1,0.007301671735879838,0.2141244738369148,0.7000028057095354,63
KEGG_ENDOCYTOSIS,0.004647630283326983,0.025900297176999005,0.40701791892395395,0.3785215835333702,1.3052391979008418,162
KEGG_ENDOMETRIAL_CANCER,3.850604062416447e-4,0.0054443867831474885,0.49849310876659025,0.49925491846452325,1.5901158273177531,47
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.03796203796203796,0.10081721557131391,0.23112670967383428,0.39619133755401464,1.2927428734153306,62
KEGG_ERBB_SIGNALING_PATHWAY,0.001794794754429935,0.013216215918984066,0.45505986738722953,0.4275003029482855,1.4228922176936116,82
KEGG_ETHER_LIPID_METABOLISM,0.8231768231768232,0.9873292175450449,0.021145636251359415,0.2607603161431377,0.7812405911914212,27
KEGG_FATTY_ACID_METABOLISM,0.007846610895282524,0.03500980106098809,0.3807304007227924,0.4891245222383095,1.497799326127186,33
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.5664335664335665,0.758365601340808,0.039921862429271364,0.29764837784905335,0.9730541113573034,63
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.01998001998001998,0.07036441819050515,0.3234705115532988,0.38083183067582443,1.2770564478017115,90
KEGG_FOCAL_ADHESION,0.060939060939060936,0.13904405453701227,0.1797823162983236,0.33939572105114907,1.1735059445141252,172
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.11588411588411589,0.2133321224230315,0.12625398784911535,0.42005903153218965,1.264684614211842,28
KEGG_GALACTOSE_METABOLISM,0.22877122877122877,0.37060939060939063,0.08383610571599288,0.4033209636907865,1.1768048805937084,21
KEGG_GAP_JUNCTION,0.20679320679320679,0.34184183163775,0.08943668337186206,0.34383525894996564,1.1349099159195228,72
KEGG_GLIOMA,0.002460386497016639,0.01594330450066782,0.4317076958033464,0.4482404692082111,1.451862569016582,58
KEGG_GLUTATHIONE_METABOLISM,0.0989010989010989,0.19039783745666097,0.13802224249664274,0.4005357110022616,1.2520801992347697,40
KEGG_GLYCEROLIPID_METABOLISM,0.42157842157842157,0.5990851254009149,0.05345721410899102,0.33482447438871876,1.049050405390367,41
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.44955044955044954,0.6332797637145463,0.05049830441007088,0.31245886716323357,1.0225148067316485,64
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.2967032967032967,0.45345220816918935,0.07028128417173922,0.3840327116637063,1.1242542705157044,22
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.024975024975024976,0.07780680857603935,0.2878571172551493,0.44287841076961104,1.3875980159596,41
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,0.31868131868131866,0.478021978021978,0.06674261342419166,0.3914909359970403,1.1163095657937174,18
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,0.8291708291708292,0.9873292175450449,0.020708840649244303,0.26427866858688037,0.7711090050560458,21
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,0.05094905094905095,0.12137862137862139,0.19782202131510335,0.5095361241312429,1.4205212667175346,15
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,0.03196803196803197,0.09416038506947598,0.2529611230696109,0.4903081315625317,1.438067308303964,23
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.03896103896103896,0.10180142438206953,0.22798720285044224,0.5268999712488588,1.4689294421823464,15
KEGG_GNRH_SIGNALING_PATHWAY,0.30569430569430567,0.46282689273343475,0.06879430956047748,0.32450538830886805,1.0813401349006841,84
KEGG_GRAFT_VERSUS_HOST_DISEASE,0.8231768231768232,0.9873292175450449,0.021145636251359415,0.2706078768707106,0.7768756750459995,19
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.8831168831168831,1,0.016597993290304848,0.24229880016166985,0.7574294167719199,40
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.8921078921078921,1,0.015866228215199906,0.2404151082051233,0.767354096536539,48
KEGG_HISTIDINE_METABOLISM,0.8441558441558441,0.9873292175450449,0.019603264503917795,0.2610053468020943,0.7615581475532774,21
KEGG_HOMOLOGOUS_RECOMBINATION,0.13186813186813187,0.23736263736263738,0.11724971674979229,0.4189363953442803,1.2485035959037418,26
KEGG_HUNTINGTONS_DISEASE,0.0033113332660808965,0.020089986122226483,0.4317076958033464,0.3779277303262544,1.3010816277718646,152
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.903096903096903,1,0.014944717875288957,0.24004060556647966,0.784726259309942,63
KEGG_INOSITOL_PHOSPHATE_METABOLISM,0.0969030969030969,0.19039783745666097,0.13959967345192228,0.3862848425551464,1.2303086445076894,47
KEGG_INSULIN_SIGNALING_PATHWAY,9.84846115224339e-4,0.0093850041568437,0.45505986738722953,0.4104214404235146,1.3987851670235678,118
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.9630369630369631,1,0.008938012108350041,0.19603597601598932,0.5842214324237129,26
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.0020164162653316,0.0136108097909883,0.4317076958033464,0.4064943501044661,1.3702439338847638,100
KEGG_LEISHMANIA_INFECTION,0.19480519480519481,0.32873376623376627,0.09284812141598782,0.35618952285618954,1.1493681226555441,56
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.057942057942057944,0.13603787516830998,0.1847064712077387,0.3605900407483218,1.2155059863136317,100
KEGG_LONG_TERM_DEPRESSION,0.11388611388611389,0.2133321224230315,0.1275053153001827,0.372554933394408,1.2009623833433245,55
KEGG_LONG_TERM_POTENTIATION,0.0033483310203710807,0.020089986122226483,0.4317076958033464,0.44590400978810973,1.4433436980482575,57
KEGG_LYSINE_DEGRADATION,4.032879098627769e-4,0.0054443867831474885,0.49849310876659025,0.5227655415989901,1.6298429392551772,39
KEGG_LYSOSOME,0.007846610895282524,0.03500980106098809,0.3807304007227924,0.38693707233925545,1.3126635547959387,110
KEGG_MAPK_SIGNALING_PATHWAY,0.05094905094905095,0.12137862137862139,0.19782202131510335,0.33177803361071573,1.1610875052325553,222
KEGG_MELANOGENESIS,0.5824175824175825,0.7733741668167897,0.03863723737085999,0.2927569438717036,0.970525384843004,77
KEGG_MELANOMA,0.027972027972027972,0.08549940625412324,0.27128855468895297,0.4112112112112112,1.326914542726644,56
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.8791208791208791,1,0.016917675626457167,0.24329131263767795,0.7422848057443662,31
KEGG_MISMATCH_REPAIR,0.03496503496503497,0.09600568922602822,0.24133997681509095,0.48849878496395915,1.4253356657910214,21
KEGG_MTOR_SIGNALING_PATHWAY,0.024975024975024976,0.07780680857603935,0.2878571172551493,0.433089738789404,1.366775504349215,44
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.13986013986013987,0.2489817874433259,0.11331290842208036,0.34721614374040155,1.1577645467234103,85
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,1,1,0,0.039432402812423883,0.1348288185270807,125
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,1.825151706214705e-4,0.003285273071186469,0.5188480777437918,0.43181888542105396,1.469285458376006,116
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.6333666333666333,0.8274628597209241,0.03471567574466567,0.31318962269228695,0.9168614029456441,22
KEGG_NITROGEN_METABOLISM,0.6903096903096904,0.880552518347794,0.030560813861564923,0.31205959052322035,0.8699820558889778,15
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.03696303696303696,0.0998001998001998,0.2343926472946861,0.41034614223761334,1.3173948692581043,52
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.02097902097902098,0.07080419580419581,0.31532483155000457,0.43457237670046206,1.3926956405706195,50
KEGG_NOTCH_SIGNALING_PATHWAY,0.04295704295704296,0.10706216860063014,0.21654283673534816,0.42922806056275153,1.3382181268080457,39
KEGG_NUCLEOTIDE_EXCISION_REPAIR,0.0015002671684057037,0.011573489584844,0.45505986738722953,0.5088181818181818,1.5816071494811867,38
KEGG_N_GLYCAN_BIOSYNTHESIS,0.016983016983016984,0.0662065207519753,0.3521713844390734,0.4472208294349649,1.404260973042008,42
KEGG_OLFACTORY_TRANSDUCTION,1,1,0,0.11064184254109943,0.36060066966002524,61
KEGG_ONE_CARBON_POOL_BY_FOLATE,0.02097902097902098,0.07080419580419581,0.31532483155000457,0.5393258854015825,1.5258493154265473,17
KEGG_OOCYTE_MEIOSIS,5.416152719532581e-5,0.0012794305462909487,0.557332238758646,0.45723893228975676,1.539119150448461,97
KEGG_OTHER_GLYCAN_DEGRADATION,0.2867132867132867,0.44661108122646587,0.07200331366198796,0.4151173709903174,1.1572939105760671,15
KEGG_OXIDATIVE_PHOSPHORYLATION,0.0012793719454697403,0.010362912758304896,0.45505986738722953,0.41903796632599793,1.4114776457797837,99
KEGG_O_GLYCAN_BIOSYNTHESIS,0.8621378621378621,0.990541373520097,0.018244246038558513,0.25124159651141664,0.7487438192791126,26
KEGG_P53_SIGNALING_PATHWAY,0.00479635132907389,0.025900297176999005,0.40701791892395395,0.43766796845267025,1.4248098065850003,60
KEGG_PANCREATIC_CANCER,0.023976023976023976,0.07768231768231769,0.29406667231886474,0.4037824413387759,1.3232250428947767,65
KEGG_PARKINSONS_DISEASE,6.365426351452923e-4,0.007365707635252668,0.47727081536286214,0.42913577838470546,1.4445206827574937,97
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.010387350815371134,0.0431474572330801,0.3807304007227924,0.44021239986903216,1.40815157130847,49
KEGG_PATHWAYS_IN_CANCER,0.08291708291708291,0.17444892769568093,0.15214492236756472,0.3177816211076175,1.122657567364313,284
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.2177822177822178,0.35637090182544734,0.08653997374441245,0.40625168561460345,1.1853561044925358,21
KEGG_PEROXISOME,0.04295704295704296,0.10706216860063014,0.21654283673534816,0.3920607982788041,1.2862859592649225,66
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.11988011988011989,0.21820875753460026,0.12384217120104962,0.36529826123287296,1.198482547682802,66
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0.9250749250749251,1,0.012983995427465471,0.22983033264629205,0.6740893461872065,23
KEGG_PPAR_SIGNALING_PATHWAY,0.6603396603396603,0.8490081347224204,0.032724193580662926,0.28871683214899346,0.9255767557467195,51
KEGG_PRIMARY_IMMUNODEFICIENCY,0.9210789210789211,1,0.013354628439448572,0.22576430229038447,0.6437514309741412,18
KEGG_PRION_DISEASES,0.25874125874125875,0.4069522710299409,0.077274697304471,0.3840197404616371,1.1505270951686593,27
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.08691308691308691,0.18051179589641128,0.14826150047510658,0.367081860885852,1.216921653825073,77
KEGG_PROPANOATE_METABOLISM,0.060939060939060936,0.13904405453701227,0.1797823162983236,0.44319506913210066,1.3406973810232583,29
KEGG_PROSTATE_CANCER,7.372887710680784e-4,0.007962718727535248,0.47727081536286214,0.45012907103951666,1.496555572611477,79
KEGG_PROTEASOME,1.711789752194079e-4,0.003285273071186469,0.5188480777437918,0.5380164690797429,1.6773912462755065,39
KEGG_PROTEIN_EXPORT,0.0019424214535074512,0.0136108097909883,0.45505986738722953,0.5778250021145225,1.6915804474668443,22
KEGG_PURINE_METABOLISM,0.23776223776223776,0.38136121304438136,0.08175155825321447,0.31666341750375365,1.0871299950620121,137
KEGG_PYRIMIDINE_METABOLISM,0.03396603396603397,0.09487064659478453,0.24504178543099617,0.37581946054533233,1.261017528252662,91
KEGG_PYRUVATE_METABOLISM,0.07192807192807193,0.15536463536463538,0.16440575583821013,0.42655679069702346,1.3014300473318468,31
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,5.357967813335759e-4,0.006676852198156869,0.47727081536286214,0.3876658363188536,1.3410059031559287,174
KEGG_REGULATION_OF_AUTOPHAGY,0.09490509490509491,0.18981018981018982,0.14122511964253093,0.47184864332482523,1.3261880957768268,16
KEGG_RENAL_CELL_CARCINOMA,5.528403595084346e-5,0.0012794305462909487,0.557332238758646,0.4899013209414755,1.6054430060595584,65
KEGG_RETINOL_METABOLISM,0.906093906093906,1,0.014687434911217252,0.23715110469634726,0.7001126553498435,24
KEGG_RIBOSOME,8.641984662749261e-7,4.666671717884601e-5,0.6594443980379349,0.5071274178135767,1.6864032040290167,80
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.15784215784215785,0.2691624165308376,0.10552093684319848,0.37077290413866293,1.1834285665308675,48
KEGG_RNA_DEGRADATION,3.491018434189298e-6,1.4138624658466658e-4,0.6272567397185284,0.5535157135585318,1.7843047856502041,55
KEGG_RNA_POLYMERASE,0.5374625374625375,0.7269230769230769,0.04233183935185304,0.3298442257353973,0.9930721304874692,28
KEGG_SELENOAMINO_ACID_METABOLISM,0.04895104895104895,0.12015257469802924,0.20207170902115992,0.47752286239466646,1.393310255729607,21
KEGG_SMALL_CELL_LUNG_CANCER,0.15184815184815184,0.26450968386452256,0.10797236031734525,0.34646152703951016,1.1518894520388399,79
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,0.0999000999000999,0.19039783745666097,0.1372507796101328,0.40337445887445894,1.2538465622321675,38
KEGG_SPHINGOLIPID_METABOLISM,0.3246753246753247,0.482544977957822,0.06583119583688658,0.3585660903160428,1.0980027048935488,33
KEGG_SPLICEOSOME,1.246404465853597e-8,2.019175234682827e-6,0.7477396631498854,0.5020689079297969,1.7115708006064818,119
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.37462537462537465,0.5517210062664608,0.05896944666909967,0.35583993717427004,1.0764417410312521,29
KEGG_STEROID_BIOSYNTHESIS,0.7092907092907093,0.8976960539460539,0.029210312792388407,0.30833887196147713,0.8596091704464817,15
KEGG_STEROID_HORMONE_BIOSYNTHESIS,0.975024975024975,1,0.007301671735879838,0.18627886323268206,0.5453306479775736,22
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.01898101898101898,0.06833166833166833,0.3322630537524292,0.3860891147688295,1.2954761323018842,91
KEGG_TASTE_TRANSDUCTION,0.8471528471528471,0.9873292175450449,0.01937946528183456,0.26115079888664794,0.7566790527223634,20
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.0989010989010989,0.19039783745666097,0.13802224249664274,0.367514472650998,1.2119045575939809,71
KEGG_THYROID_CANCER,0.15584415584415584,0.26858248134843876,0.1063232559327084,0.4092827004219409,1.2197338996962934,26
KEGG_TIGHT_JUNCTION,0.0012609640359190534,0.010362912758304896,0.45505986738722953,0.414987703766647,1.4071988431421834,108
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.4025974025974026,0.5823283858998145,0.05559470977588687,0.31498565594338107,1.03868712777746,71
KEGG_TRYPTOPHAN_METABOLISM,0.6573426573426573,0.8490081347224204,0.03294314717246909,0.30157942521574943,0.9226514706701843,32
KEGG_TYPE_II_DIABETES_MELLITUS,0.5164835164835165,0.7090705904265227,0.044152305844146505,0.32056467668784094,0.9919964106854764,36
KEGG_TYPE_I_DIABETES_MELLITUS,0.9410589410589411,1,0.011417782832278282,0.2190777543392176,0.6467568789734285,24
KEGG_TYROSINE_METABOLISM,0.919080919080919,1,0.01353731628844181,0.23220957335125303,0.6892410887488469,25
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.005168154330418158,0.026101025998028285,0.40701791892395395,0.4124683905796898,1.3753429610527155,85
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,2.9479662480959513e-8,2.3878526609577205e-6,0.7337619883564803,0.4852570686189309,1.6628917515336317,131
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.017982017982017984,0.0662065207519753,0.34179338089747546,0.4460683523200889,1.402839047164639,43
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.6023976023976024,0.7934017202309886,0.03707053936576206,0.2867664551039945,0.960651297031725,89
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.03396603396603397,0.09487064659478453,0.24504178543099617,0.4433959074453775,1.3675040861121706,35
KEGG_VEGF_SIGNALING_PATHWAY,0.07092907092907093,0.15527715527715527,0.16565669520548273,0.37923146812850433,1.2441950710364862,66
KEGG_VIBRIO_CHOLERAE_INFECTION,0.029970029970029972,0.08991008991008992,0.2616635217115731,0.4246001788773175,1.3523421397454862,47
KEGG_VIRAL_MYOCARDITIS,0.07092907092907093,0.15527715527715527,0.16565669520548273,0.39344672336168085,1.2531190758177275,47
KEGG_WNT_SIGNALING_PATHWAY,9.113052147206053e-4,0.009226965299046128,0.47727081536286214,0.41218854843010666,1.405913594288415,121
