Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue_type
SRR1146095,RNA-Seq,79,1868623419,PRJNA236547,SAMN02598095,1277786320,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451321,GSM1315634,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315634,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146096,RNA-Seq,79,3270536721,PRJNA236547,SAMN02598101,1565429126,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451322,GSM1315635,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315635,normal_skin,SRP035988,normal skin
SRR1146097,RNA-Seq,79,1669992376,PRJNA236547,SAMN02598086,1149270555,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451323,GSM1315636,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315636,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146098,RNA-Seq,79,2683742417,PRJNA236547,SAMN02598098,1314449352,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451324,GSM1315637,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315637,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146099,RNA-Seq,79,3788087367,PRJNA236547,SAMN02598098,1755045298,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451324,GSM1315637,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315637,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146100,RNA-Seq,79,2612097712,PRJNA236547,SAMN02598099,1250339525,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451325,GSM1315638,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315638,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146101,RNA-Seq,79,2413266799,PRJNA236547,SAMN02598091,1164705829,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451326,GSM1315639,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315639,normal_skin,SRP035988,normal skin
SRR1146102,RNA-Seq,71,1725549494,PRJNA236547,SAMN02598103,1160259498,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451327,GSM1315640,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315640,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146103,RNA-Seq,79,3591063579,PRJNA236547,SAMN02598097,2238874869,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451328,GSM1315641,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315641,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146104,RNA-Seq,79,3009943608,PRJNA236547,SAMN02598093,2279724368,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451329,GSM1315642,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315642,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146105,RNA-Seq,79,3275163909,PRJNA236547,SAMN02598105,1548862001,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451330,GSM1315643,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315643,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146106,RNA-Seq,79,3345336844,PRJNA236547,SAMN02598100,1568876734,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451331,GSM1315644,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315644,normal_skin,SRP035988,normal skin
SRR1146107,RNA-Seq,79,3171896847,PRJNA236547,SAMN02598016,1507560316,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451332,GSM1315645,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315645,normal_skin,SRP035988,normal skin
SRR1146108,RNA-Seq,79,3619932312,PRJNA236547,SAMN02598024,2248194352,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451333,GSM1315646,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315646,normal_skin,SRP035988,normal skin
SRR1146109,RNA-Seq,79,2967701992,PRJNA236547,SAMN02598014,1416506179,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451334,GSM1315647,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315647,normal_skin,SRP035988,normal skin
SRR1146110,RNA-Seq,74,2907512244,PRJNA236547,SAMN02598021,2359454654,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451335,GSM1315648,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315648,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146111,RNA-Seq,79,2841044452,PRJNA236547,SAMN02598023,1364373599,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451336,GSM1315649,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315649,normal_skin,SRP035988,normal skin
SRR1146112,RNA-Seq,79,2948401344,PRJNA236547,SAMN02598018,1374249729,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451337,GSM1315650,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315650,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146113,RNA-Seq,79,3266809185,PRJNA236547,SAMN02598026,1534548132,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451338,GSM1315651,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315651,normal_skin,SRP035988,normal skin
SRR1146114,RNA-Seq,79,3470295094,PRJNA236547,SAMN02598025,1596590001,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451339,GSM1315652,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315652,normal_skin,SRP035988,normal skin
SRR1146115,RNA-Seq,79,3217355817,PRJNA236547,SAMN02598019,1492112161,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451340,GSM1315653,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315653,normal_skin,SRP035988,normal skin
SRR1146116,RNA-Seq,79,3456966372,PRJNA236547,SAMN02598028,1584156117,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451341,GSM1315654,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315654,normal_skin,SRP035988,normal skin
SRR1146117,RNA-Seq,79,3419752632,PRJNA236547,SAMN02598029,1565837779,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451342,GSM1315655,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315655,normal_skin,SRP035988,normal skin
SRR1146118,RNA-Seq,79,3479423386,PRJNA236547,SAMN02598027,1575712785,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451343,GSM1315656,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315656,normal_skin,SRP035988,normal skin
SRR1146119,RNA-Seq,79,4450352188,PRJNA236547,SAMN02598033,3487790936,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451344,GSM1315657,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315657,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146120,RNA-Seq,79,3481801286,PRJNA236547,SAMN02598032,2150772071,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451345,GSM1315658,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315658,normal_skin,SRP035988,normal skin
SRR1146121,RNA-Seq,79,3281563225,PRJNA236547,SAMN02598030,1500977210,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451346,GSM1315659,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315659,normal_skin,SRP035988,normal skin
SRR1146122,RNA-Seq,79,2678932265,PRJNA236547,SAMN02598037,1302605066,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451347,GSM1315660,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315660,normal_skin,SRP035988,normal skin
SRR1146123,RNA-Seq,79,3211420231,PRJNA236547,SAMN02598034,1548354324,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451348,GSM1315661,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315661,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146124,RNA-Seq,79,4098403080,PRJNA236547,SAMN02598031,3240740599,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451349,GSM1315662,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315662,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146125,RNA-Seq,79,2920908317,PRJNA236547,SAMN02598038,1421739340,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451350,GSM1315663,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315663,normal_skin,SRP035988,normal skin
SRR1146126,RNA-Seq,79,3225468406,PRJNA236547,SAMN02598035,1560092295,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451351,GSM1315664,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315664,normal_skin,SRP035988,normal skin
SRR1146127,RNA-Seq,79,3239693857,PRJNA236547,SAMN02598036,1526318394,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451352,GSM1315665,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315665,normal_skin,SRP035988,normal skin
SRR1146128,RNA-Seq,79,3476227283,PRJNA236547,SAMN02598055,1674451719,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451353,GSM1315666,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315666,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146129,RNA-Seq,71,1527773456,PRJNA236547,SAMN02598042,1042577213,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451354,GSM1315667,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315667,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146130,RNA-Seq,79,3300152557,PRJNA236547,SAMN02598041,1598544386,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451355,GSM1315668,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315668,normal_skin,SRP035988,normal skin
SRR1146131,RNA-Seq,79,3191953051,PRJNA236547,SAMN02598040,1529270643,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451356,GSM1315669,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315669,normal_skin,SRP035988,normal skin
SRR1146132,RNA-Seq,79,2913077126,PRJNA236547,SAMN02598046,1780143050,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451357,GSM1315670,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315670,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146133,RNA-Seq,79,2107334322,PRJNA236547,SAMN02598039,1013507955,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451358,GSM1315671,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315671,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146134,RNA-Seq,79,3578948218,PRJNA236547,SAMN02598045,2207241144,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451359,GSM1315672,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315672,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146135,RNA-Seq,79,3108779481,PRJNA236547,SAMN02598049,1983414114,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451360,GSM1315673,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315673,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146136,RNA-Seq,79,3186790717,PRJNA236547,SAMN02597939,2400644305,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451361,GSM1315674,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315674,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146137,RNA-Seq,79,2274646368,PRJNA236547,SAMN02597935,1109278713,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451362,GSM1315675,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315675,normal_skin,SRP035988,normal skin
SRR1146138,RNA-Seq,79,2202023169,PRJNA236547,SAMN02597943,1372497848,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451363,GSM1315676,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315676,normal_skin,SRP035988,normal skin
SRR1146139,RNA-Seq,79,2720142378,PRJNA236547,SAMN02598043,1708512760,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451364,GSM1315677,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315677,normal_skin,SRP035988,normal skin
SRR1146140,RNA-Seq,79,1991624839,PRJNA236547,SAMN02597934,930130319,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451365,GSM1315678,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315678,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146141,RNA-Seq,79,3218956041,PRJNA236547,SAMN02597942,1530646028,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451366,GSM1315679,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315679,Psoriasis_skin,SRP035988,lesional psoriatic skin
SRR1146142,RNA-Seq,79,3275765178,PRJNA236547,SAMN02597937,1549282361,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451367,GSM1315680,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315680,normal_skin,SRP035988,normal skin
SRR1146143,RNA-Seq,79,3198597820,PRJNA236547,SAMN02597940,1505715800,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX451368,GSM1315681,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,GSM1315681,normal_skin,SRP035988,normal skin
