Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_status,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR4026648,RNA-Seq,GCA_000001405.13,50,1507531248,PRJNA338808,SAMN05571292,680838863,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018600,GSM2277361,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277361,Airway Epithelial cells,SRP081599
SRR4026695,RNA-Seq,GCA_000001405.13,50,1504678959,PRJNA338808,SAMN05571275,656029731,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018647,GSM2277408,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277408,Airway Epithelial cells,SRP081599
SRR4026630,RNA-Seq,GCA_000001405.13,50,2330676444,PRJNA338808,SAMN05571225,1071895886,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018582,GSM2277343,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277343,Airway Epithelial cells,SRP081599
SRR4026662,RNA-Seq,GCA_000001405.13,49,1556798359,PRJNA338808,SAMN05571252,581752324,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018614,GSM2277375,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277375,Airway Epithelial cells,SRP081599
SRR4026674,RNA-Seq,GCA_000001405.13,49,896604922,PRJNA338808,SAMN05571240,292140970,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018626,GSM2277387,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277387,Airway Epithelial cells,SRP081599
SRR4026707,RNA-Seq,GCA_000001405.13,49,1418255735,PRJNA338808,SAMN05571263,401752905,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018659,GSM2277420,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277420,Airway Epithelial cells,SRP081599
SRR4026635,RNA-Seq,GCA_000001405.13,49,1822301426,PRJNA338808,SAMN05571305,579970056,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018587,GSM2277348,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277348,Airway Epithelial cells,SRP081599
SRR4026657,RNA-Seq,GCA_000001405.13,49,1688191659,PRJNA338808,SAMN05571257,558850367,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018609,GSM2277370,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277370,Airway Epithelial cells,SRP081599
SRR4026670,RNA-Seq,GCA_000001405.13,50,1291971585,PRJNA338808,SAMN05571244,593319348,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018622,GSM2277383,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277383,Airway Epithelial cells,SRP081599
SRR4026676,RNA-Seq,GCA_000001405.13,50,2128722361,PRJNA338808,SAMN05571238,831335620,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018628,GSM2277389,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277389,Airway Epithelial cells,SRP081599
SRR4026705,RNA-Seq,GCA_000001405.13,49,1440446224,PRJNA338808,SAMN05571265,505129516,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018657,GSM2277418,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277418,Airway Epithelial cells,SRP081599
SRR4026672,RNA-Seq,GCA_000001405.13,49,794634057,PRJNA338808,SAMN05571242,294689403,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018624,GSM2277385,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277385,Airway Epithelial cells,SRP081599
SRR4026698,RNA-Seq,GCA_000001405.13,49,1728411901,PRJNA338808,SAMN05571272,603672056,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018650,GSM2277411,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277411,Airway Epithelial cells,SRP081599
SRR4026631,RNA-Seq,GCA_000001405.13,50,1003913491,PRJNA338808,SAMN05571309,441414508,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018583,GSM2277344,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277344,Airway Epithelial cells,SRP081599
SRR4026639,RNA-Seq,GCA_000001405.13,50,2187134412,PRJNA338808,SAMN05571301,861484542,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018591,GSM2277352,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277352,Airway Epithelial cells,SRP081599
SRR4026658,RNA-Seq,GCA_000001405.13,49,1398366940,PRJNA338808,SAMN05571256,478245944,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018610,GSM2277371,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277371,Airway Epithelial cells,SRP081599
SRR4026644,RNA-Seq,GCA_000001405.13,49,1249994025,PRJNA338808,SAMN05571296,352803613,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018596,GSM2277357,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277357,Airway Epithelial cells,SRP081599
SRR4026649,RNA-Seq,GCA_000001405.13,50,1699845683,PRJNA338808,SAMN05571291,707461568,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018601,GSM2277362,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277362,Airway Epithelial cells,SRP081599
SRR4026694,RNA-Seq,GCA_000001405.13,49,1024117603,PRJNA338808,SAMN05571276,308844758,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018646,GSM2277407,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277407,Airway Epithelial cells,SRP081599
SRR4026692,RNA-Seq,GCA_000001405.13,49,1444873214,PRJNA338808,SAMN05571278,557973042,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018644,GSM2277405,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277405,Airway Epithelial cells,SRP081599
SRR4026679,RNA-Seq,GCA_000001405.13,49,1822586343,PRJNA338808,SAMN05571235,566582289,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018631,GSM2277392,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277392,Airway Epithelial cells,SRP081599
SRR4026643,RNA-Seq,GCA_000001405.13,50,839820993,PRJNA338808,SAMN05571297,343429461,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018595,GSM2277356,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277356,Airway Epithelial cells,SRP081599
SRR4026680,RNA-Seq,GCA_000001405.13,50,1587658003,PRJNA338808,SAMN05571234,656980863,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018632,GSM2277393,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277393,Airway Epithelial cells,SRP081599
SRR4026627,RNA-Seq,GCA_000001405.13,49,1135335226,PRJNA338808,SAMN05571228,404303435,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018579,GSM2277340,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277340,Airway Epithelial cells,SRP081599
SRR4026665,RNA-Seq,GCA_000001405.13,50,2864686833,PRJNA338808,SAMN05571249,1355446457,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018617,GSM2277378,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277378,Airway Epithelial cells,SRP081599
SRR4026681,RNA-Seq,GCA_000001405.13,50,2345089390,PRJNA338808,SAMN05571232,973253311,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018633,GSM2277394,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277394,Airway Epithelial cells,SRP081599
SRR4026682,RNA-Seq,GCA_000001405.13,49,969717761,PRJNA338808,SAMN05571231,362957645,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018634,GSM2277395,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277395,Airway Epithelial cells,SRP081599
SRR4026645,RNA-Seq,GCA_000001405.13,49,3527263928,PRJNA338808,SAMN05571295,662099424,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018597,GSM2277358,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277358,Airway Epithelial cells,SRP081599
SRR4026668,RNA-Seq,GCA_000001405.13,49,812261084,PRJNA338808,SAMN05571246,180267584,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018620,GSM2277381,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277381,Airway Epithelial cells,SRP081599
SRR4026684,RNA-Seq,GCA_000001405.13,50,1692613563,PRJNA338808,SAMN05571229,805200624,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018636,GSM2277397,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277397,Airway Epithelial cells,SRP081599
SRR4026654,RNA-Seq,GCA_000001405.13,49,1438516602,PRJNA338808,SAMN05571286,542732143,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018606,GSM2277367,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277367,Airway Epithelial cells,SRP081599
SRR4026685,RNA-Seq,GCA_000001405.13,50,959895425,PRJNA338808,SAMN05571284,433632951,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018637,GSM2277398,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277398,Airway Epithelial cells,SRP081599
SRR4026688,RNA-Seq,GCA_000001405.13,49,783289391,PRJNA338808,SAMN05571282,235989476,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018640,GSM2277401,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277401,Airway Epithelial cells,SRP081599
SRR4026690,RNA-Seq,GCA_000001405.13,49,1090293008,PRJNA338808,SAMN05571280,369766523,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018642,GSM2277403,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277403,Airway Epithelial cells,SRP081599
SRR4026671,RNA-Seq,GCA_000001405.13,49,1011407292,PRJNA338808,SAMN05571243,324047848,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018623,GSM2277384,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277384,Airway Epithelial cells,SRP081599
SRR4026628,RNA-Seq,GCA_000001405.13,50,2034224141,PRJNA338808,SAMN05571227,972549908,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018580,GSM2277341,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277341,Airway Epithelial cells,SRP081599
SRR4026632,RNA-Seq,GCA_000001405.13,50,1763457670,PRJNA338808,SAMN05571308,802618548,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018584,GSM2277345,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277345,Airway Epithelial cells,SRP081599
SRR4026641,RNA-Seq,GCA_000001405.13,50,3410132606,PRJNA338808,SAMN05571299,1352297525,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018593,GSM2277354,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277354,Airway Epithelial cells,SRP081599
SRR4026646,RNA-Seq,GCA_000001405.13,50,1356521715,PRJNA338808,SAMN05571294,626837711,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018598,GSM2277359,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277359,Airway Epithelial cells,SRP081599
SRR4026651,RNA-Seq,GCA_000001405.13,50,2517546427,PRJNA338808,SAMN05571289,1069507611,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018603,GSM2277364,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277364,Airway Epithelial cells,SRP081599
SRR4026652,RNA-Seq,GCA_000001405.13,50,1312111596,PRJNA338808,SAMN05571288,507673918,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018604,GSM2277365,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277365,Airway Epithelial cells,SRP081599
SRR4026660,RNA-Seq,GCA_000001405.13,50,1160373057,PRJNA338808,SAMN05571254,508662917,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018612,GSM2277373,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277373,Airway Epithelial cells,SRP081599
SRR4026661,RNA-Seq,GCA_000001405.13,49,1131823381,PRJNA338808,SAMN05571253,394507125,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018613,GSM2277374,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277374,Airway Epithelial cells,SRP081599
SRR4026664,RNA-Seq,GCA_000001405.13,49,896409107,PRJNA338808,SAMN05571250,334961165,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018616,GSM2277377,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277377,Airway Epithelial cells,SRP081599
SRR4026667,RNA-Seq,GCA_000001405.13,50,872979264,PRJNA338808,SAMN05571247,365753545,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018619,GSM2277380,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277380,Airway Epithelial cells,SRP081599
SRR4026669,RNA-Seq,GCA_000001405.13,49,2233405035,PRJNA338808,SAMN05571245,837419289,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018621,GSM2277382,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277382,Airway Epithelial cells,SRP081599
