!Sample_title	!Sample_geo_accession	!Sample_status	!Sample_submission_date	!Sample_last_update_date	!Sample_type	!Sample_channel_count	!Sample_source_name_ch1	!Sample_organism_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_molecule_ch1	!Sample_extract_protocol_ch1	!Sample_extract_protocol_ch1	!Sample_taxid_ch1	!Sample_data_processing	!Sample_data_processing	!Sample_data_processing	!Sample_data_processing	!Sample_data_processing	!Sample_data_processing	!Sample_platform_id	!Sample_contact_name	!Sample_contact_email	!Sample_contact_department	!Sample_contact_institute	!Sample_contact_address	!Sample_contact_city	!Sample_contact_zip/postal_code	!Sample_contact_country	!Sample_data_row_count	!Sample_instrument_model	!Sample_library_selection	!Sample_library_source	!Sample_library_strategy	!Sample_relation	!Sample_relation	!Sample_supplementary_file_1	!series_matrix_table_begin	ID_REF	!Sample	sample id	group
primary colorectal cancer AMC_17-1	GSM1228194	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353257	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347897	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228194/suppl/GSM1228194_AMC_17.1_FPKM.txt.gz		GSM1228194	primary colorectal cancer AMC	17	1
primary colorectal cancer AMC_18-1	GSM1228195	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353273	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347898	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228195/suppl/GSM1228195_AMC_18.1_FPKM.txt.gz		GSM1228195	primary colorectal cancer AMC	18	1
primary colorectal cancer AMC_19-1	GSM1228196	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353235	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347899	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228196/suppl/GSM1228196_AMC_19.1_FPKM.txt.gz		GSM1228196	primary colorectal cancer AMC	19	1
primary colorectal cancer AMC_20-1	GSM1228197	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353251	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347900	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228197/suppl/GSM1228197_AMC_20.1_FPKM.txt.gz		GSM1228197	primary colorectal cancer AMC	20	1
primary colorectal cancer AMC_21-1	GSM1228198	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353270	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347901	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228198/suppl/GSM1228198_AMC_21.1_FPKM.txt.gz		GSM1228198	primary colorectal cancer AMC	21	1
primary colorectal cancer AMC_22-1	GSM1228199	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353237	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347902	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228199/suppl/GSM1228199_AMC_22.1_FPKM.txt.gz		GSM1228199	primary colorectal cancer AMC	22	1
primary colorectal cancer AMC_23-1	GSM1228200	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353253	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347903	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228200/suppl/GSM1228200_AMC_23.1_FPKM.txt.gz		GSM1228200	primary colorectal cancer AMC	23	1
primary colorectal cancer AMC_24-1	GSM1228201	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	primary colorectal cancer	Homo sapiens	tissue: primary colorectal cancer	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353267	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347904	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228201/suppl/GSM1228201_AMC_24.1_FPKM.txt.gz		GSM1228201	primary colorectal cancer AMC	24	1
normal colon AMC_2-2	GSM1228202	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	normal colon	Homo sapiens	tissue: normal-looking surrounding colonic epithelium	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353238	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347905	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228202/suppl/GSM1228202_AMC_2.2_FPKM.txt.gz		GSM1228202	normal colon AMC	2	2
normal colon AMC_3-2	GSM1228203	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	normal colon	Homo sapiens	tissue: normal-looking surrounding colonic epithelium	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353247	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347906	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228203/suppl/GSM1228203_AMC_3.2_FPKM.txt.gz		GSM1228203	normal colon AMC	3	2
normal colon AMC_5-2	GSM1228204	Public on Aug 31 2014	Sep 11 2013	May 15 2019	SRA	1	normal colon	Homo sapiens	tissue: normal-looking surrounding colonic epithelium	ajcc stage: Stage IV	total RNA	Total RNA was isolated by RNeasy Mini Kit (Qiagen, CA, USA), according to the manufacturer's protocol. The quality and integrity of the RNA were confirmed by agarose gel electrophoresis and ethidium bromide staining, followed by visual examination under ultraviolet light.	Sequencing library was prepared using TruSeq RNA Sample Preparation kit v2 (Illumina, CA, USA) according to the manufacturer’s protocols. Briefly, mRNA was purified from total RNA using poly-T oligo-attached magnetic beads, fragmented, and converted into cDNAs. Then, adapters were ligated and the fragments were amplified on a PCR.	9606	Base calling was performed by Illumina Genome Studio(V2010.1).	A reference genome sequence data of Homo sapiens was obtained from University of California Santa Cruz (UCSC) Genome Browser Gateway (assembly ID: hg19). Reference genome index was built by using bowtie2-build component of Bowtie2 (ver. 2.0, http://bowtie-bio.sourceforge.net/bowtie2) and SAMtools (ver. 0.1.18, http://samtools.sourceforge.net/).	To estimate average and standard deviation of fragment size of paired-end reads, reference transcriptome was generated by MakeTranscriptome component of USeq tool (ver. 8.4.4, http://useq.sourceforge.net/). Then, generated reference transcriptome was indexed by Novoindex followed by reads mapping to transcriptome and measurements of average and standard deviation of fragment size in paired-end reads using Novoalign provided by Novocraft software (ver. 2.8.3, http://www.novocraft.com/). Tophat2 was applied to tissue samples for mapping reads to reference genome and estimated average and standard deviation of fragment size of each sample were used as parameters of Tophat2.	The fragments  per  kilobase  of  transcript  per  million  fragments  mapped (FPKM) of each sample was estimated by Cufflinks software (V2.0.2).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text format with FPFM values	GPL11154	Seon-Kyu,,Kim	seonkyu@kribb.re.kr	Personalized Genomic Medicine Research Center	Korea Research Institutue of Bioscience & Biotechnology	125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Korea	Daejeon	305-806	South Korea	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02353265	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX347907	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1228nnn/GSM1228204/suppl/GSM1228204_AMC_5.2_FPKM.txt.gz		GSM1228204	normal colon AMC	5	2
