!Sample_title	"C512_17SMC8_17TAL1_2_D17"	"C512_17SMC8_17TAL1_2_D3"	"C512_17SMC8_17TAL1_9_D17"	"C512_17SMC8_17TAL1_9_D3"	"C512_17SMC8_17TAL2_24_D17"	"C512_17SMC8_17TAL2_24_D3"	"C512_17SMC8_17TAL2_3_D17"	"C512_17SMC8_17TAL2_3_D3"	"C512_17SMC8_17WB46_D17"	"C512_17SMC8_17WB46_D3"	"C512_17SMC9_18TAL1_2_D17"	"C512_17SMC9_18TAL2_3_D17"	"C512_17SMC9_25TAL1_2_D17"	"D0_iPS_patient1_R_R_1_KO_line1_15"	"D0_iPS_patient1_R_R_1_KO_line1_19"	"D0_iPS_patient1_R_R_1_KO_line1_9"	"D0_iPS_patient1_R_R_1_KO_line2_24"	"D0_iPS_patient1_R_R_1_WT_line1_2"	"D0_iPS_patient1_R_R_1_WT_line1_5"	"D0_iPS_patient1_R_R_1_WT_line2_3"	"D0_iPS_patient1_R_R_1_WT_line2_4"	"D0_iPS_patient2_NRNR2_KO_lineE50"	"D0_iPS_patient2_NRNR2_KO_lineE53"	"D0_iPS_patient2_NRNR2_KO_lineE56"	"D0_iPS_patient2_NRNR2_WT_lineE14"	"D0_iPS_patient2_NRNR2_WT_lineE17"	"D17SMC_patient1_R_R_1_KO_exp3_line2_24"	"D17SMC_patient1_R_R_1_KO_exp4_line1_15"	"D17SMC_patient1_R_R_1_KO_exp4_line1_9"	"D17SMC_patient1_R_R_1_WT_exp3_line1_2"	"D17SMC_patient1_R_R_1_WT_exp4_line1_5"	"D17SMC_patient1_R_R_1_WT_exp4_line2_3"	"D17SMC_patient2_NRNR2_KO_exp2_lineE50"	"D17SMC_patient2_NRNR2_KO_exp2_lineE56"	"D17SMC_patient2_NRNR2_KO_exp3_lineE50"	"D17SMC_patient2_NRNR2_KO_exp3_lineE53"	"D17SMC_patient2_NRNR2_KO_exp3_lineE56"	"D17SMC_patient2_NRNR2_KO_exp4_lineE50"	"D17SMC_patient2_NRNR2_KO_exp4_lineE53"	"D17SMC_patient2_NRNR2_KO_exp4_lineE56"	"D17SMC_patient2_NRNR2_WT_exp2_lineE14"	"D17SMC_patient2_NRNR2_WT_exp2_lineE17"	"D17SMC_patient2_NRNR2_WT_exp3_lineE14"	"D17SMC_patient2_NRNR2_WT_exp3_lineE17"	"D17SMC_patient2_NRNR2_WT_exp4_lineE14"	"D17SMC_patient2_NRNR2_WT_exp4_lineE17"	"D3_SMC_patient1_R_R_1_KO_exp4_line1_15"	"D3_SMC_patient1_R_R_1_KO_exp4_line1_9"	"D3_SMC_patient1_R_R_1_KO_exp5_line1_15"	"D3_SMC_patient1_R_R_1_KO_exp5_line1_9"	"D3_SMC_patient1_R_R_1_KO_exp5_line2_24"	"D3_SMC_patient1_R_R_1_WT_exp4_line1_5"	"D3_SMC_patient1_R_R_1_WT_exp4_line2_3"	"D3_SMC_patient1_R_R_1_WT_exp5_line1_2"	"D3_SMC_patient1_R_R_1_WT_exp5_line1_5"	"D3_SMC_patient1_R_R_1_WT_exp5_line2_3"	"D3_SMC_patient2_NRNR2_KO_exp2_lineE50"	"D3_SMC_patient2_NRNR2_KO_exp2_lineE56"	"D3_SMC_patient2_NRNR2_KO_exp3_line53"	"D3_SMC_patient2_NRNR2_KO_exp3_lineE50"	"D3_SMC_patient2_NRNR2_KO_exp3_lineE56"	"D3_SMC_patient2_NRNR2_WT_exp2_lineE14"	"D3_SMC_patient2_NRNR2_WT_exp2_lineE17"	"D3_SMC_patient2_NRNR2_WT_exp3_lineE14"	"D3_SMC_patient2_NRNR2_WT_exp3_lineE17"	"E14_HE463_SMC12_8_17d"	"E14_HE463_SMC12_8_3d"	"E17_HE463_SMC12_8_3d"	"E50_HE463_SMC12_8_17d"	"E50_HE463_SMC12_8_3d"	"E56_HE463_SMC12_8_17d"	"E56_HE463_SMC12_8_3d"	"HE463_7SMC9_18E14_D17"	"HE463_7SMC9_18E17_D17"	"HE463_7SMC9_25E14_D17"	"HE463_7SMC9_25E17_D17"	"TAL1_2C512_SMC12_8_3d"	"TAL1_2_C512_SMC12_8_17d"	"TAL1_9C512_SMC12_8_3d"	"TAL1_9C_512_SMC12_8_17d"	"TAL1_9_C512_SMC12_18Day17"	"TAL2_3C512_SMC12_8_3d"	"TAL2_3C_512_SMC12_8_17"	"WB46_C512_SMC12_18Day17"	"WB46_C512_SMC12_8_17d"	"WB46_C512_SMC12_8_3d"	"WF12_HE463_SMC12_8_3d"	"WF36_HE463_SMC12_8_17d"	"WF36_HE463_SMC12_8_3d"	"WF5_HE463_SMC12_8_17d"	"WF5_HE463_SMC12_8_3d"	"WF9_HE463_SMC12_8_3d"
!Sample_geo_accession	"GSM3393178"	"GSM3393179"	"GSM3393180"	"GSM3393181"	"GSM3393182"	"GSM3393183"	"GSM3393184"	"GSM3393185"	"GSM3393186"	"GSM3393187"	"GSM3393188"	"GSM3393189"	"GSM3393190"	"GSM3393191"	"GSM3393192"	"GSM3393193"	"GSM3393194"	"GSM3393195"	"GSM3393196"	"GSM3393197"	"GSM3393198"	"GSM3393199"	"GSM3393200"	"GSM3393201"	"GSM3393202"	"GSM3393203"	"GSM3393204"	"GSM3393205"	"GSM3393206"	"GSM3393207"	"GSM3393208"	"GSM3393209"	"GSM3393210"	"GSM3393211"	"GSM3393212"	"GSM3393213"	"GSM3393214"	"GSM3393215"	"GSM3393216"	"GSM3393217"	"GSM3393218"	"GSM3393219"	"GSM3393220"	"GSM3393221"	"GSM3393222"	"GSM3393223"	"GSM3393224"	"GSM3393225"	"GSM3393226"	"GSM3393227"	"GSM3393228"	"GSM3393229"	"GSM3393230"	"GSM3393231"	"GSM3393232"	"GSM3393233"	"GSM3393234"	"GSM3393235"	"GSM3393236"	"GSM3393237"	"GSM3393238"	"GSM3393239"	"GSM3393240"	"GSM3393241"	"GSM3393242"	"GSM3393243"	"GSM3393244"	"GSM3393245"	"GSM3393246"	"GSM3393247"	"GSM3393248"	"GSM3393249"	"GSM3393250"	"GSM3393251"	"GSM3393252"	"GSM3393253"	"GSM3393254"	"GSM3393255"	"GSM3393256"	"GSM3393257"	"GSM3393258"	"GSM3393259"	"GSM3393260"	"GSM3393261"	"GSM3393262"	"GSM3393263"	"GSM3393264"	"GSM3393265"	"GSM3393266"	"GSM3393267"	"GSM3393268"	"GSM3393269"
!Sample_status	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"	"Public on Dec 05 2018"
!Sample_submission_date	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"	"Sep 18 2018"
!Sample_last_update_date	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"	"Dec 05 2018"
!Sample_type	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_source_name_ch1	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"	"hiPSC"
!Sample_organism_ch1	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"
!Sample_characteristics_ch1	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: hiPSC"	"cell type: hiPSC"	"cell type: hiPSC"	"cell type: hiPSC"	"cell type: hiPSC"	"cell type: hiPSC"	"cell type: hiPSC"	"cell type: hiPSC"	"cell type: hiPSC"	"cell type: hiPSC"	"cell type: hiPSC"	"cell type: hiPSC"	"cell type: hiPSC"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: vascular smooth muscle cells"	"cell type: mesenchymal progenitors"	"cell type: mesenchymal progenitors"
