Run;Assay Type;AvgSpotLen;Bases;BioProject;BioSample;Bytes;Cell_Line;Center Name;Consent;DATASTORE filetype;DATASTORE provider;DATASTORE region;disease_state;Experiment;genome_build;GEO_Accession (exp);Instrument;LibraryLayout;LibrarySelection;LibrarySource;Organism;Platform;ReleaseDate;Sample Name;source_name;SRA Study;Tissue
SRR10961203;RNA-Seq;150;1518084750;PRJNA603068;SAMN13916503;573624989;AH017;GEO;public;fastq,sra;gs,s3;gs.US,s3.us-east-1;healthy control;SRX7626952;GRCh38;GSM4282809;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282809;AH017 IPSC;SRP244622;IPSC
SRR10961204;RNA-Seq;150;1510959450;PRJNA603068;SAMN13916503;573372479;AH017;GEO;public;fastq,sra;gs,s3;gs.US,s3.us-east-1;healthy control;SRX7626952;GRCh38;GSM4282809;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282809;AH017 IPSC;SRP244622;IPSC
SRR10961205;RNA-Seq;150;1136251950;PRJNA603068;SAMN13916502;472329521;NHDF1;GEO;public;sra,fastq;s3,gs;gs.US,s3.us-east-1;healthy control;SRX7626953;GRCh38;GSM4282810;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282810;NHDF IPSC;SRP244622;IPSC
SRR10961206;RNA-Seq;150;1389974700;PRJNA603068;SAMN13916502;536930539;NHDF1;GEO;public;sra,fastq;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626953;GRCh38;GSM4282810;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282810;NHDF IPSC;SRP244622;IPSC
SRR10961207;RNA-Seq;150;1394455800;PRJNA603068;SAMN13916502;539788661;NHDF1;GEO;public;fastq,sra;s3,gs;gs.US,s3.us-east-1;healthy control;SRX7626953;GRCh38;GSM4282810;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282810;NHDF IPSC;SRP244622;IPSC
SRR10961208;RNA-Seq;150;1393037550;PRJNA603068;SAMN13916502;541498312;NHDF1;GEO;public;fastq,sra;gs,s3;gs.US,s3.us-east-1;healthy control;SRX7626953;GRCh38;GSM4282810;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282810;NHDF IPSC;SRP244622;IPSC
SRR10961209;RNA-Seq;150;1285311000;PRJNA603068;SAMN13916501;538698586;AD2-01;GEO;public;fastq,sra;gs,s3;gs.US,s3.us-east-1;healthy control;SRX7626954;GRCh38;GSM4282811;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282811;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961210;RNA-Seq;150;1560285450;PRJNA603068;SAMN13916501;604026023;AD2-01;GEO;public;sra,fastq;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626954;GRCh38;GSM4282811;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282811;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961211;RNA-Seq;150;1567436400;PRJNA603068;SAMN13916501;608055419;AD2-01;GEO;public;sra,fastq;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626954;GRCh38;GSM4282811;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282811;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961212;RNA-Seq;150;1565987700;PRJNA603068;SAMN13916501;610399022;AD2-01;GEO;public;sra,fastq;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626954;GRCh38;GSM4282811;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282811;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961213;RNA-Seq;150;924572250;PRJNA603068;SAMN13916500;390111929;AD3-01;GEO;public;fastq,sra;s3,gs;gs.US,s3.us-east-1;healthy control;SRX7626955;GRCh38;GSM4282812;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282812;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961214;RNA-Seq;150;1145135700;PRJNA603068;SAMN13916500;447919802;AD3-01;GEO;public;fastq,sra;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626955;GRCh38;GSM4282812;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282812;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961215;RNA-Seq;150;1149738450;PRJNA603068;SAMN13916500;450657249;AD3-01;GEO;public;fastq,sra;gs,s3;gs.US,s3.us-east-1;healthy control;SRX7626955;GRCh38;GSM4282812;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282812;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961216;RNA-Seq;150;1149591750;PRJNA603068;SAMN13916500;452650675;AD3-01;GEO;public;sra,fastq;s3,gs;gs.US,s3.us-east-1;healthy control;SRX7626955;GRCh38;GSM4282812;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282812;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961217;RNA-Seq;150;1240643550;PRJNA603068;SAMN13916499;522096817;AH017;GEO;public;sra,fastq;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626956;GRCh38;GSM4282813;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282813;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961218;RNA-Seq;150;1521668550;PRJNA603068;SAMN13916499;592782768;AH017;GEO;public;sra,fastq;s3,gs;gs.US,s3.us-east-1;healthy control;SRX7626956;GRCh38;GSM4282813;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282813;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961219;RNA-Seq;150;1529278500;PRJNA603068;SAMN13916499;596972460;AH017;GEO;public;sra,fastq;s3,gs;gs.US,s3.us-east-1;healthy control;SRX7626956;GRCh38;GSM4282813;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282813;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961220;RNA-Seq;150;1525122450;PRJNA603068;SAMN13916499;598081845;AH017;GEO;public;fastq,sra;s3,gs;gs.US,s3.us-east-1;healthy control;SRX7626956;GRCh38;GSM4282813;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282813;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961221;RNA-Seq;150;1090735050;PRJNA603068;SAMN13916498;460779279;NHDF1;GEO;public;fastq,sra;s3,gs;gs.US,s3.us-east-1;healthy control;SRX7626957;GRCh38;GSM4282814;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282814;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961222;RNA-Seq;150;1350262200;PRJNA603068;SAMN13916498;526326225;NHDF1;GEO;public;sra,fastq;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626957;GRCh38;GSM4282814;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282814;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961223;RNA-Seq;150;1355668800;PRJNA603068;SAMN13916498;529304968;NHDF1;GEO;public;sra,fastq;s3,gs,ncbi;ncbi.public,s3.us-east-1,gs.US;healthy control;SRX7626957;GRCh38;GSM4282814;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282814;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961224;RNA-Seq;150;1352089950;PRJNA603068;SAMN13916498;530399341;NHDF1;GEO;public;fastq,sra;s3,gs;gs.US,s3.us-east-1;healthy control;SRX7626957;GRCh38;GSM4282814;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282814;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961225;RNA-Seq;150;1475593800;PRJNA603068;SAMN13916497;618186947;AD2-01;GEO;public;fastq,sra;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626958;GRCh38;GSM4282815;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282815;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961226;RNA-Seq;150;1750355850;PRJNA603068;SAMN13916497;678090732;AD2-01;GEO;public;sra,fastq;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626958;GRCh38;GSM4282815;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282815;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961227;RNA-Seq;150;1756034100;PRJNA603068;SAMN13916497;681557085;AD2-01;GEO;public;fastq,sra;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626958;GRCh38;GSM4282815;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282815;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961228;RNA-Seq;150;1758343500;PRJNA603068;SAMN13916497;685455264;AD2-01;GEO;public;sra,fastq;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626958;GRCh38;GSM4282815;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282815;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961229;RNA-Seq;150;1586559750;PRJNA603068;SAMN13916496;662184059;AD3-01;GEO;public;sra,fastq;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626959;GRCh38;GSM4282816;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282816;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961230;RNA-Seq;150;1887298050;PRJNA603068;SAMN13916496;727547252;AD3-01;GEO;public;fastq,sra;s3,gs,ncbi;ncbi.public,gs.US,s3.us-east-1;healthy control;SRX7626959;GRCh38;GSM4282816;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282816;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961231;RNA-Seq;150;1893331800;PRJNA603068;SAMN13916496;731004139;AD3-01;GEO;public;fastq,sra;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626959;GRCh38;GSM4282816;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282816;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961232;RNA-Seq;150;1894376700;PRJNA603068;SAMN13916496;734722536;AD3-01;GEO;public;sra,fastq;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626959;GRCh38;GSM4282816;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282816;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961233;RNA-Seq;150;1476276900;PRJNA603068;SAMN13916495;624729436;AH017;GEO;public;fastq,sra;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626960;GRCh38;GSM4282817;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282817;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961234;RNA-Seq;150;1786016400;PRJNA603068;SAMN13916495;699667188;AH017;GEO;public;fastq,sra;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626960;GRCh38;GSM4282817;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282817;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961235;RNA-Seq;150;1792662000;PRJNA603068;SAMN13916495;703631801;AH017;GEO;public;fastq,sra;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626960;GRCh38;GSM4282817;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282817;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961236;RNA-Seq;150;1791482400;PRJNA603068;SAMN13916495;706219953;AH017;GEO;public;sra,fastq;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626960;GRCh38;GSM4282817;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282817;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961237;RNA-Seq;150;1512120150;PRJNA603068;SAMN13916494;629935302;NHDF1;GEO;public;fastq,sra;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626961;GRCh38;GSM4282818;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282818;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961238;RNA-Seq;150;1807588950;PRJNA603068;SAMN13916494;695259909;NHDF1;GEO;public;fastq,sra;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626961;GRCh38;GSM4282818;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282818;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961239;RNA-Seq;150;1814450400;PRJNA603068;SAMN13916494;698975205;NHDF1;GEO;public;sra,fastq;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626961;GRCh38;GSM4282818;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282818;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961240;RNA-Seq;150;1812679950;PRJNA603068;SAMN13916494;701361906;NHDF1;GEO;public;fastq,sra;s3,gs;gs.US,s3.us-east-1;healthy control;SRX7626961;GRCh38;GSM4282818;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282818;SENSORY NEURONS;SRP244622;Differentiated sensory neurons
SRR10961241;RNA-Seq;150;1653255000;PRJNA603068;SAMN13916493;687171383;AD2-01;GEO;public;sra,fastq;s3,gs;gs.US,s3.us-east-1;healthy control;SRX7626962;GRCh38;GSM4282819;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282819;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961242;RNA-Seq;150;2011306950;PRJNA603068;SAMN13916493;770990261;AD2-01;GEO;public;fastq,sra;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626962;GRCh38;GSM4282819;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282819;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961243;RNA-Seq;150;2021278500;PRJNA603068;SAMN13916493;776028194;AD2-01;GEO;public;fastq,sra;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626962;GRCh38;GSM4282819;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282819;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961244;RNA-Seq;150;2017565550;PRJNA603068;SAMN13916493;777926474;AD2-01;GEO;public;fastq,sra;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626962;GRCh38;GSM4282819;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282819;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961245;RNA-Seq;150;1261943100;PRJNA603068;SAMN13916492;533026148;AD3-01;GEO;public;sra,fastq;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626963;GRCh38;GSM4282820;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282820;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961246;RNA-Seq;150;1576910550;PRJNA603068;SAMN13916492;615033917;AD3-01;GEO;public;sra,fastq;ncbi,s3,gs;gs.US,ncbi.public,s3.us-east-1;healthy control;SRX7626963;GRCh38;GSM4282820;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282820;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961247;RNA-Seq;150;1584268500;PRJNA603068;SAMN13916492;619071122;AD3-01;GEO;public;sra,fastq;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626963;GRCh38;GSM4282820;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282820;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961248;RNA-Seq;150;1582295250;PRJNA603068;SAMN13916492;620943045;AD3-01;GEO;public;sra,fastq;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626963;GRCh38;GSM4282820;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282820;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961249;RNA-Seq;150;1173520800;PRJNA603068;SAMN13916491;494400537;AH017;GEO;public;sra,fastq;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626964;GRCh38;GSM4282821;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282821;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961250;RNA-Seq;150;1438518750;PRJNA603068;SAMN13916491;563297179;AH017;GEO;public;fastq,sra;s3,gs;gs.US,s3.us-east-1;healthy control;SRX7626964;GRCh38;GSM4282821;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282821;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961251;RNA-Seq;150;1445016900;PRJNA603068;SAMN13916491;566929288;AH017;GEO;public;fastq,sra;gs,s3;gs.US,s3.us-east-1;healthy control;SRX7626964;GRCh38;GSM4282821;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282821;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961252;RNA-Seq;150;1443059550;PRJNA603068;SAMN13916491;568463629;AH017;GEO;public;sra,fastq;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626964;GRCh38;GSM4282821;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282821;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961253;RNA-Seq;150;1149222000;PRJNA603068;SAMN13916490;485979729;NHDF1;GEO;public;sra,fastq;s3,ncbi,gs;ncbi.public,gs.US,s3.us-east-1;healthy control;SRX7626965;GRCh38;GSM4282822;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282822;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961254;RNA-Seq;150;1395196650;PRJNA603068;SAMN13916490;547107865;NHDF1;GEO;public;sra,fastq;s3,gs;s3.us-east-1,gs.US;healthy control;SRX7626965;GRCh38;GSM4282822;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282822;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961255;RNA-Seq;150;1398496800;PRJNA603068;SAMN13916490;549496487;NHDF1;GEO;public;fastq,sra;gs,s3;s3.us-east-1,gs.US;healthy control;SRX7626965;GRCh38;GSM4282822;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282822;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961256;RNA-Seq;150;1399705200;PRJNA603068;SAMN13916490;552349289;NHDF1;GEO;public;sra,fastq;s3,gs;gs.US,s3.us-east-1;healthy control;SRX7626965;GRCh38;GSM4282822;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282822;SENSORY NEURONS;SRP244622;Differentiated sensory neurons late
SRR10961257;RNA-Seq;150;1511065050;PRJNA603068;SAMN13916489;636678649;AD2-01;GEO;public;fastq,sra;gs,s3;gs.US,s3.us-east-1;healthy control;SRX7626966;GRCh38;GSM4282823;Illumina HiSeq 4000;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2020-03-25T00:00:00Z;GSM4282823;SENSORY NEURONS;SRP244622;Differentiated sensory neurons plus serine treatment
