Run,Assay Type,AssemblyName,AvgSpotLen,Bases,Batch,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,transfected_plasmid,treatment,
SRR7293186,RNA-Seq,GCA_000001405.16,76,845133908,2,PRJNA475639,SAMN09397129,202154885,HEK293,GEO,public,"sra,bam","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX4195848,GSM3186602,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186602,Transfected HEK293,SRP150287,EVI1 WT,Untreated,Untreated - EVI1 WT
SRR7293187,RNA-Seq,GCA_000001405.16,76,742947272,2,PRJNA475639,SAMN09397128,181591581,HEK293,GEO,public,"sra,bam","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4195849,GSM3186603,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186603,Transfected HEK293,SRP150287,EVI1 AQA,Untreated,Untreated - EVI1 AQA
SRR7293188,RNA-Seq,GCA_000001405.16,76,990717608,2,PRJNA475639,SAMN09397127,238270443,HEK293,GEO,public,"bam,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4195850,GSM3186604,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186604,Transfected HEK293,SRP150287,Untransfected,H2O2,H2O2 - Untransfected
SRR7293189,RNA-Seq,GCA_000001405.16,76,971334416,2,PRJNA475639,SAMN09397126,234886228,HEK293,GEO,public,"sra,bam","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4195851,GSM3186605,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186605,Transfected HEK293,SRP150287,Empty Vector,H2O2,H2O2 - Empty Vector
SRR7293190,RNA-Seq,GCA_000001405.16,76,908949360,2,PRJNA475639,SAMN09397125,223247550,HEK293,GEO,public,"bam,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4195852,GSM3186606,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186606,Transfected HEK293,SRP150287,EVI1 WT,H2O2,H2O2 - EVI1 WT
SRR7293191,RNA-Seq,GCA_000001405.16,76,1150518172,2,PRJNA475639,SAMN09397124,284295310,HEK293,GEO,public,"bam,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4195853,GSM3186607,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186607,Transfected HEK293,SRP150287,EVI1 AQA,H2O2,H2O2 - EVI1 AQA
SRR7293192,RNA-Seq,GCA_000001405.16,76,1205942160,3,PRJNA475639,SAMN09397123,294712043,HEK293,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4195854,GSM3186608,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186608,Transfected HEK293,SRP150287,Untransfected,Untreated,Untreated - Untransfected
SRR7293193,RNA-Seq,GCA_000001405.16,76,881802464,3,PRJNA475639,SAMN09397122,218560397,HEK293,GEO,public,"sra,bam","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4195855,GSM3186609,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186609,Transfected HEK293,SRP150287,Empty Vector,Untreated,Untreated - Empty Vector
SRR7293194,RNA-Seq,GCA_000001405.16,76,696034372,3,PRJNA475639,SAMN09397121,172654985,HEK293,GEO,public,"bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX4195856,GSM3186610,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186610,Transfected HEK293,SRP150287,EVI1 WT,Untreated,Untreated - EVI1 WT
SRR7293195,RNA-Seq,GCA_000001405.16,76,623316964,3,PRJNA475639,SAMN09397120,154326087,HEK293,GEO,public,"sra,bam","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX4195857,GSM3186611,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186611,Transfected HEK293,SRP150287,EVI1 AQA,Untreated,Untreated - EVI1 AQA
SRR7293196,RNA-Seq,GCA_000001405.16,76,757076280,3,PRJNA475639,SAMN09397119,192611306,HEK293,GEO,public,"sra,bam","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX4195858,GSM3186612,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186612,Transfected HEK293,SRP150287,Untransfected,H2O2,H2O2 - Untransfected
SRR7293197,RNA-Seq,GCA_000001405.16,76,800125644,3,PRJNA475639,SAMN09397118,204432878,HEK293,GEO,public,"sra,bam","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4195859,GSM3186613,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186613,Transfected HEK293,SRP150287,Empty Vector,H2O2,H2O2 - Empty Vector
SRR7293198,RNA-Seq,GCA_000001405.16,76,752429032,3,PRJNA475639,SAMN09397117,188032772,HEK293,GEO,public,"sra,bam","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX4195860,GSM3186614,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186614,Transfected HEK293,SRP150287,EVI1 WT,H2O2,H2O2 - EVI1 WT
SRR7293199,RNA-Seq,GCA_000001405.16,76,1187248668,3,PRJNA475639,SAMN09397116,300433198,HEK293,GEO,public,"bam,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX4195861,GSM3186615,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-14T00:00:00Z,GSM3186615,Transfected HEK293,SRP150287,EVI1 AQA,H2O2,H2O2 - EVI1 AQA
