Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR7175262,RNA-Seq,202,6917515452,PRJNA471801,SAMN09217993,4434786477,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092834,GSM3144917,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144917,liver tissue,SRP148066
SRR7175263,RNA-Seq,202,5463285132,PRJNA471801,SAMN09217992,3535576630,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092835,GSM3144918,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144918,liver tissue,SRP148066
SRR7175264,RNA-Seq,202,5962796186,PRJNA471801,SAMN09217991,3895663122,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092836,GSM3144919,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144919,liver tissue,SRP148066
SRR7175265,RNA-Seq,202,5039493374,PRJNA471801,SAMN09217990,3303817146,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092837,GSM3144920,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144920,liver tissue,SRP148066
SRR7175266,RNA-Seq,202,5905150840,PRJNA471801,SAMN09217989,3807969564,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092838,GSM3144921,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144921,liver tissue,SRP148066
SRR7175267,RNA-Seq,202,7000313636,PRJNA471801,SAMN09217987,4544325512,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092839,GSM3144922,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144922,liver tissue,SRP148066
SRR7175268,RNA-Seq,202,5162483498,PRJNA471801,SAMN09217986,3363157543,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092840,GSM3144923,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144923,liver tissue,SRP148066
SRR7175269,RNA-Seq,202,4044166048,PRJNA471801,SAMN09217985,2645675923,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092841,GSM3144924,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144924,liver tissue,SRP148066
SRR7175270,RNA-Seq,202,6173001022,PRJNA471801,SAMN09217984,3957676409,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092842,GSM3144925,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144925,liver tissue,SRP148066
SRR7175271,RNA-Seq,202,6180769942,PRJNA471801,SAMN09217983,4004234492,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092843,GSM3144926,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144926,liver tissue,SRP148066
SRR7175272,RNA-Seq,202,6912176188,PRJNA471801,SAMN09217978,4508214137,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,SRX4092844,GSM3144927,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144927,liver tissue,SRP148066
SRR7175273,RNA-Seq,202,7363214312,PRJNA471801,SAMN09217977,4857683430,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092845,GSM3144928,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144928,liver tissue,SRP148066
SRR7175274,RNA-Seq,202,9548615548,PRJNA471801,SAMN09217976,6280149888,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092846,GSM3144929,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144929,liver tissue,SRP148066
SRR7175275,RNA-Seq,202,8493517432,PRJNA471801,SAMN09217975,5616760818,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092847,GSM3144930,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144930,liver tissue,SRP148066
SRR7175276,RNA-Seq,202,8611618550,PRJNA471801,SAMN09217974,5659547368,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092848,GSM3144931,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144931,liver tissue,SRP148066
SRR7175277,RNA-Seq,202,7267852536,PRJNA471801,SAMN09217973,4784364302,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092849,GSM3144932,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144932,liver tissue,SRP148066
SRR7175278,RNA-Seq,202,9078222996,PRJNA471801,SAMN09217972,5965658158,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092850,GSM3144933,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144933,liver tissue,SRP148066
SRR7175279,RNA-Seq,202,8234203972,PRJNA471801,SAMN09217971,5406423815,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092851,GSM3144934,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144934,liver tissue,SRP148066
SRR7175280,RNA-Seq,202,8702686816,PRJNA471801,SAMN09217970,5699769321,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092852,GSM3144935,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144935,liver tissue,SRP148066
SRR7175281,RNA-Seq,202,6691165362,PRJNA471801,SAMN09217969,4393379614,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092853,GSM3144936,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144936,liver tissue,SRP148066
SRR7175282,RNA-Seq,202,8250863316,PRJNA471801,SAMN09217968,5404897103,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092854,GSM3144937,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144937,liver tissue,SRP148066
SRR7175283,RNA-Seq,202,6756993122,PRJNA471801,SAMN09217967,4401904775,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092855,GSM3144938,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144938,liver tissue,SRP148066
SRR7175284,RNA-Seq,202,8079883042,PRJNA471801,SAMN09217963,5203829117,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092856,GSM3144939,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144939,liver tissue,SRP148066
SRR7175285,RNA-Seq,202,7967485192,PRJNA471801,SAMN09217962,5156720445,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092857,GSM3144940,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144940,liver tissue,SRP148066
SRR7175286,RNA-Seq,202,8954851294,PRJNA471801,SAMN09217961,5790265703,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092858,GSM3144941,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144941,liver tissue,SRP148066
SRR7175287,RNA-Seq,202,7645392758,PRJNA471801,SAMN09217960,4948031604,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092859,GSM3144942,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144942,liver tissue,SRP148066
SRR7175288,RNA-Seq,202,7656376912,PRJNA471801,SAMN09217966,5059493344,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092860,GSM3144943,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144943,liver tissue,SRP148066
SRR7175289,RNA-Seq,202,8340350730,PRJNA471801,SAMN09217965,5476115261,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092861,GSM3144944,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144944,liver tissue,SRP148066
SRR7175290,RNA-Seq,202,7304544826,PRJNA471801,SAMN09217964,4744224764,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092862,GSM3144945,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144945,liver tissue,SRP148066
SRR7175291,RNA-Seq,202,8287543486,PRJNA471801,SAMN09217959,5391619860,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092863,GSM3144946,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144946,liver tissue,SRP148066
SRR7175292,RNA-Seq,202,7857347318,PRJNA471801,SAMN09217958,5124518574,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Chronic hepatitis,SRX4092864,GSM3144947,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144947,liver tissue,SRP148066
SRR7175293,RNA-Seq,202,7534758368,PRJNA471801,SAMN09217957,4878729853,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Liver Cirrhosis,SRX4092865,GSM3144948,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144948,liver tissue,SRP148066
SRR7175294,RNA-Seq,202,8248257718,PRJNA471801,SAMN09217956,5356751063,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Liver Cirrhosis,SRX4092866,GSM3144949,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144949,liver tissue,SRP148066
SRR7175295,RNA-Seq,202,8201242016,PRJNA471801,SAMN09217955,5277330775,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Liver Cirrhosis,SRX4092867,GSM3144950,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144950,liver tissue,SRP148066
SRR7175296,RNA-Seq,202,7642868364,PRJNA471801,SAMN09217954,4940992073,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Liver Cirrhosis,SRX4092868,GSM3144951,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144951,liver tissue,SRP148066
SRR7175297,RNA-Seq,202,6728350128,PRJNA471801,SAMN09218038,4351508212,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Liver Cirrhosis,SRX4092869,GSM3144952,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144952,liver tissue,SRP148066
SRR7175298,RNA-Seq,202,8444870782,PRJNA471801,SAMN09218037,5586347372,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Liver Cirrhosis,SRX4092870,GSM3144953,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144953,liver tissue,SRP148066
SRR7175299,RNA-Seq,202,8455966844,PRJNA471801,SAMN09218036,5629866761,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Liver Cirrhosis,SRX4092871,GSM3144954,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144954,liver tissue,SRP148066
SRR7175300,RNA-Seq,202,7664447822,PRJNA471801,SAMN09218035,5077009136,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Liver Cirrhosis,SRX4092872,GSM3144955,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144955,liver tissue,SRP148066
SRR7175301,RNA-Seq,202,6824710390,PRJNA471801,SAMN09218034,4504364624,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Liver Cirrhosis,SRX4092873,GSM3144956,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144956,liver tissue,SRP148066
SRR7175302,RNA-Seq,202,8934882988,PRJNA471801,SAMN09218002,5925036335,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Liver Cirrhosis,SRX4092874,GSM3144957,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144957,liver tissue,SRP148066
SRR7175303,RNA-Seq,202,4716396798,PRJNA471801,SAMN09218001,3084776545,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Early HCC,SRX4092875,GSM3144958,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144958,liver tissue,SRP148066
SRR7175304,RNA-Seq,202,6169044246,PRJNA471801,SAMN09218000,3956997445,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Early HCC,SRX4092876,GSM3144959,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144959,liver tissue,SRP148066
SRR7175305,RNA-Seq,202,5711398298,PRJNA471801,SAMN09217999,3625546030,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Early HCC,SRX4092877,GSM3144960,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144960,liver tissue,SRP148066
SRR7175306,RNA-Seq,202,5966064748,PRJNA471801,SAMN09217998,3835101846,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Early HCC,SRX4092878,GSM3144961,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144961,liver tissue,SRP148066
SRR7175307,RNA-Seq,202,5489146990,PRJNA471801,SAMN09218064,3575888255,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Early HCC,SRX4092879,GSM3144962,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144962,liver tissue,SRP148066
SRR7175308,RNA-Seq,202,4577901154,PRJNA471801,SAMN09218063,2962107923,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Early HCC,SRX4092880,GSM3144963,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144963,liver tissue,SRP148066
SRR7175309,RNA-Seq,202,6218100350,PRJNA471801,SAMN09218062,3962771422,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Early HCC,SRX4092881,GSM3144964,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144964,liver tissue,SRP148066
SRR7175310,RNA-Seq,202,4744590948,PRJNA471801,SAMN09218061,3088046174,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Early HCC,SRX4092882,GSM3144965,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144965,liver tissue,SRP148066
SRR7175311,RNA-Seq,202,6069543086,PRJNA471801,SAMN09218060,3939585195,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Early HCC,SRX4092883,GSM3144966,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144966,liver tissue,SRP148066
SRR7175312,RNA-Seq,202,5369720752,PRJNA471801,SAMN09218059,3474394853,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Early HCC,SRX4092884,GSM3144967,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144967,liver tissue,SRP148066
SRR7175313,RNA-Seq,202,5580139506,PRJNA471801,SAMN09218058,3624275463,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Early HCC,SRX4092885,GSM3144968,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144968,liver tissue,SRP148066
SRR7175314,RNA-Seq,202,6178645912,PRJNA471801,SAMN09218053,3949117687,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Early HCC,SRX4092886,GSM3144969,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144969,liver tissue,SRP148066
SRR7175315,RNA-Seq,202,5789030130,PRJNA471801,SAMN09218052,3701999698,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Early HCC,SRX4092887,GSM3144970,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM3144970,liver tissue,SRP148066
