Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,differentiation_day,Experiment,Genotype,GEO_Accession (exp),Instrument,integration_detected,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sequencing_batch,sex,source_name,SRA Study,Tissue
SRR11015310,RNA-Seq,150,13293349402,PRJNA604752,SAMN13979769,5413664900,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",22,SRX7670916,16p11.2 deletion,GSM4294502,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294502,2,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015311,RNA-Seq,150,14940435277,PRJNA604752,SAMN13979768,6461152068,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",22,SRX7670917,16p11.2 deletion,GSM4294503,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294503,1,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015312,RNA-Seq,152,12180965968,PRJNA604752,SAMN13979767,5010517972,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",22,SRX7670918,16p11.2 deletion,GSM4294504,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294504,1,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015313,RNA-Seq,150,17457284174,PRJNA604752,SAMN13979766,7311280601,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",22,SRX7670919,16p11.2 deletion,GSM4294505,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294505,1,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015314,RNA-Seq,150,17234364778,PRJNA604752,SAMN13979765,7791178294,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",22,SRX7670920,16p11.2 deletion,GSM4294506,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294506,2,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015315,RNA-Seq,150,18051067663,PRJNA604752,SAMN13979764,8004689061,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",22,SRX7670921,16p11.2 deletion,GSM4294507,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294507,2,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015316,RNA-Seq,150,21462629370,PRJNA604752,SAMN13979763,9517980686,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",22,SRX7670922,16p11.2 deletion,GSM4294508,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294508,2,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015317,RNA-Seq,150,13282028530,PRJNA604752,SAMN13979762,5926474275,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",22,SRX7670923,16p11.2 deletion,GSM4294509,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294509,2,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015318,RNA-Seq,150,12564786855,PRJNA604752,SAMN13979757,5137519185,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",22,SRX7670924,16p11.2 deletion,GSM4294510,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294510,2,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015319,RNA-Seq,152,11618252696,PRJNA604752,SAMN13979756,4301344961,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",22,SRX7670925,16p11.2 deletion,GSM4294511,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294511,2,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015320,RNA-Seq,150,15084922902,PRJNA604752,SAMN13979755,6297245059,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",22,SRX7670926,16p11.2 deletion,GSM4294512,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294512,2,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015321,RNA-Seq,150,17269817839,PRJNA604752,SAMN13979754,7572114001,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",22,SRX7670927,16p11.2 deletion,GSM4294513,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294513,1,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015322,RNA-Seq,152,17841242896,PRJNA604752,SAMN13979761,7190269746,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",22,SRX7670928,16p11.2 deletion,GSM4294514,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294514,1,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015323,RNA-Seq,150,17586216060,PRJNA604752,SAMN13979760,7396652975,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",22,SRX7670929,16p11.2 deletion,GSM4294515,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294515,1,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015324,RNA-Seq,150,13975511770,PRJNA604752,SAMN13979759,5881069972,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",22,SRX7670930,16p11.2 deletion,GSM4294516,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294516,1,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015325,RNA-Seq,150,17055727788,PRJNA604752,SAMN13979758,7355616282,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",22,SRX7670931,16p11.2 deletion,GSM4294517,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294517,1,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015326,RNA-Seq,152,18638623648,PRJNA604752,SAMN13979753,7466276047,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",22,SRX7670932,16p11.2 deletion,GSM4294518,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294518,1,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015327,RNA-Seq,150,18207225726,PRJNA604752,SAMN13979752,8092456764,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",22,SRX7670933,16p11.2 deletion,GSM4294519,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294519,2,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015328,RNA-Seq,150,15941576356,PRJNA604752,SAMN13979751,7128746799,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",22,SRX7670934,16p11.2 deletion,GSM4294520,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294520,2,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015329,RNA-Seq,152,11687762448,PRJNA604752,SAMN13979750,4380598520,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",22,SRX7670935,16p11.2 deletion,GSM4294521,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294521,2,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015330,RNA-Seq,150,15316572333,PRJNA604752,SAMN13979723,6254064895,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",22,SRX7670936,16p11.2 deletion,GSM4294522,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294522,2,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015331,RNA-Seq,150,12533293135,PRJNA604752,SAMN13979722,5234483882,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",22,SRX7670937,16p11.2 deletion,GSM4294523,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294523,2,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015332,RNA-Seq,152,9944956440,PRJNA604752,SAMN13979721,3673698906,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",22,SRX7670938,16p11.2 deletion,GSM4294524,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294524,2,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015333,RNA-Seq,150,12275763274,PRJNA604752,SAMN13979720,5018034546,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",22,SRX7670939,16p11.2 deletion,GSM4294525,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294525,2,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015334,RNA-Seq,150,10670098474,PRJNA604752,SAMN13979719,4490935561,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",22,SRX7670940,16p11.2 deletion,GSM4294526,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294526,2,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015335,RNA-Seq,150,17648683684,PRJNA604752,SAMN13979718,7398768539,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",22,SRX7670941,16p11.2 deletion,GSM4294527,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294527,1,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015336,RNA-Seq,150,12862804487,PRJNA604752,SAMN13979717,5382162772,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",22,SRX7670942,16p11.2 deletion,GSM4294528,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294528,1,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015337,RNA-Seq,150,14209316971,PRJNA604752,SAMN13979716,6215349789,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",22,SRX7670943,16p11.2 deletion,GSM4294529,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294529,1,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015338,RNA-Seq,150,9932883075,PRJNA604752,SAMN13979715,4275540220,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",22,SRX7670944,16p11.2 duplication,GSM4294530,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294530,1,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015339,RNA-Seq,150,16919115357,PRJNA604752,SAMN13979714,7252821134,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",22,SRX7670945,16p11.2 duplication,GSM4294531,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294531,1,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015340,RNA-Seq,152,18445771064,PRJNA604752,SAMN13979713,7406833884,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",22,SRX7670946,16p11.2 duplication,GSM4294532,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294532,1,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015341,RNA-Seq,152,10954264712,PRJNA604752,SAMN13979712,4112455119,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",22,SRX7670947,16p11.2 duplication,GSM4294533,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294533,2,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015342,RNA-Seq,150,15115989964,PRJNA604752,SAMN13979711,6187013134,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",22,SRX7670948,16p11.2 duplication,GSM4294534,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294534,2,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015343,RNA-Seq,150,10646013770,PRJNA604752,SAMN13979710,4427422211,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",22,SRX7670949,16p11.2 duplication,GSM4294535,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294535,2,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015344,RNA-Seq,150,11204344513,PRJNA604752,SAMN13979709,4720503174,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",22,SRX7670950,16p11.2 duplication,GSM4294536,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294536,1,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015345,RNA-Seq,150,12766531575,PRJNA604752,SAMN13979708,5574881177,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",22,SRX7670951,16p11.2 duplication,GSM4294537,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294537,1,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015346,RNA-Seq,150,12447811790,PRJNA604752,SAMN13979707,5229821467,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",22,SRX7670952,16p11.2 duplication,GSM4294538,NextSeq 500,POS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294538,1,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015347,RNA-Seq,150,24641618406,PRJNA604752,SAMN13979706,10999553517,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",22,SRX7670953,Control,GSM4294539,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294539,2,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015348,RNA-Seq,152,13129704368,PRJNA604752,SAMN13979705,4879512821,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",22,SRX7670954,Control,GSM4294540,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294540,2,female,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015349,RNA-Seq,150,16051604452,PRJNA604752,SAMN13979704,6907135976,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",22,SRX7670955,Control,GSM4294541,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294541,1,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015350,RNA-Seq,150,11825554170,PRJNA604752,SAMN13979703,5030325675,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",22,SRX7670956,Control,GSM4294542,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294542,1,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
SRR11015351,RNA-Seq,150,19199054562,PRJNA604752,SAMN13979702,7982888291,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",22,SRX7670957,Control,GSM4294543,NextSeq 500,NEG,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-03T00:00:00Z,GSM4294543,2,male,iPSC-derived patient neuroepithelium (Day 22 of differentiation),SRP247131,iPSC-derived patient neuroepithelium
