Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,differentiation_status,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,RNA_Isolation_Method,Sample Name,sex,source_name,SRA Study
SRR15254235,RNA-Seq,100,880951100,PRJNA749873,SAMN20423284,324888366,hepatic organoids,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559700,GSM5474277,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474277,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254236,RNA-Seq,100,901628000,PRJNA749873,SAMN20423284,328986686,hepatic organoids,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559700,GSM5474277,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474277,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254237,RNA-Seq,100,907540000,PRJNA749873,SAMN20423283,331672791,hepatic organoids,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559701,GSM5474278,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474278,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254238,RNA-Seq,100,896490400,PRJNA749873,SAMN20423283,330571848,hepatic organoids,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559701,GSM5474278,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474278,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254239,RNA-Seq,100,920234800,PRJNA749873,SAMN20423283,335337800,hepatic organoids,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559701,GSM5474278,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474278,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254241,RNA-Seq,100,783257800,PRJNA749873,SAMN20423282,286850927,hepatic organoids,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559702,GSM5474279,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474279,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254242,RNA-Seq,100,804197200,PRJNA749873,SAMN20423282,291056946,hepatic organoids,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559702,GSM5474279,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474279,female,"FDD healthy female liver\, deceased donor",SRP329969
SRR15254243,RNA-Seq,100,808133700,PRJNA749873,SAMN20423281,295271671,hepatic organoids,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559703,GSM5474280,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474280,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254245,RNA-Seq,100,817726900,PRJNA749873,SAMN20423281,297974789,hepatic organoids,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559703,GSM5474280,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474280,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254246,RNA-Seq,100,888704400,PRJNA749873,SAMN20423280,323786263,hepatic organoids,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559704,GSM5474281,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474281,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254248,RNA-Seq,100,897278300,PRJNA749873,SAMN20423280,326046747,hepatic organoids,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559704,GSM5474281,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474281,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254249,RNA-Seq,100,988290000,PRJNA749873,SAMN20423279,359879665,hepatic organoids,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559705,GSM5474282,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474282,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254250,RNA-Seq,100,972464300,PRJNA749873,SAMN20423279,357250319,hepatic organoids,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559705,GSM5474282,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474282,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254251,RNA-Seq,100,994182700,PRJNA749873,SAMN20423279,360867846,hepatic organoids,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559705,GSM5474282,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474282,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254252,RNA-Seq,100,1005429900,PRJNA749873,SAMN20423278,362761743,hepatic organoids,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559706,GSM5474283,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474283,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254253,RNA-Seq,100,995656300,PRJNA749873,SAMN20423278,362468604,hepatic organoids,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559706,GSM5474283,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474283,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254254,RNA-Seq,100,1021436100,PRJNA749873,SAMN20423278,367063666,hepatic organoids,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559706,GSM5474283,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474283,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254255,RNA-Seq,100,856804200,PRJNA749873,SAMN20423277,311444167,hepatic organoids,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559707,GSM5474284,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474284,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254256,RNA-Seq,100,845162500,PRJNA749873,SAMN20423277,310093009,hepatic organoids,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559707,GSM5474284,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474284,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254257,RNA-Seq,100,864721900,PRJNA749873,SAMN20423277,313569840,hepatic organoids,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559707,GSM5474284,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474284,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254258,RNA-Seq,100,824551700,PRJNA749873,SAMN20423276,300039403,hepatic organoids,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559708,GSM5474285,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474285,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254259,RNA-Seq,100,811901800,PRJNA749873,SAMN20423276,298022982,hepatic organoids,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559708,GSM5474285,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474285,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254260,RNA-Seq,100,831630000,PRJNA749873,SAMN20423276,301802731,hepatic organoids,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559708,GSM5474285,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474285,female,"FDD healthy female liver\, living donor",SRP329969
SRR15254261,RNA-Seq,100,732410100,PRJNA749873,SAMN20423275,263875807,hepatic organoids,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559709,GSM5474286,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474286,male,"MLD healthy male liver\, living donor",SRP329969
SRR15254262,RNA-Seq,100,726070100,PRJNA749873,SAMN20423275,263738201,hepatic organoids,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559709,GSM5474286,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474286,male,"MLD healthy male liver\, living donor",SRP329969
SRR15254263,RNA-Seq,100,747852300,PRJNA749873,SAMN20423275,267985427,hepatic organoids,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559709,GSM5474286,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474286,male,"MLD healthy male liver\, living donor",SRP329969
SRR15254266,RNA-Seq,100,684649200,PRJNA749873,SAMN20423274,245553464,hepatic organoids,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559710,GSM5474287,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474287,male,"MLD healthy male liver\, living donor",SRP329969
SRR15254267,RNA-Seq,100,654404200,PRJNA749873,SAMN20423273,236387826,hepatic organoids,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559711,GSM5474288,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474288,male,"MLD healthy male liver\, living donor",SRP329969
SRR15254269,RNA-Seq,100,666463500,PRJNA749873,SAMN20423273,239612576,hepatic organoids,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",12d hepatic differentiation of biliary organoids,healthy human liver,SRX11559711,GSM5474288,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474288,male,"MLD healthy male liver\, living donor",SRP329969
SRR15254270,RNA-Seq,100,872970600,PRJNA749873,SAMN20423272,314979320,hepatic organoids,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559712,GSM5474289,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474289,male,NASH1 male liver explant,SRP329969
SRR15254271,RNA-Seq,100,866299400,PRJNA749873,SAMN20423272,315209459,hepatic organoids,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559712,GSM5474289,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474289,male,NASH1 male liver explant,SRP329969
SRR15254273,RNA-Seq,100,643915700,PRJNA749873,SAMN20423271,231616198,hepatic organoids,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559713,GSM5474290,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474290,male,NASH1 male liver explant,SRP329969
SRR15254274,RNA-Seq,100,638933200,PRJNA749873,SAMN20423271,231796959,hepatic organoids,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559713,GSM5474290,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474290,male,NASH1 male liver explant,SRP329969
SRR15254275,RNA-Seq,100,658378100,PRJNA749873,SAMN20423271,235351131,hepatic organoids,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559713,GSM5474290,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474290,male,NASH1 male liver explant,SRP329969
SRR15254276,RNA-Seq,100,623344900,PRJNA749873,SAMN20423270,223888437,hepatic organoids,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559714,GSM5474291,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474291,male,NASH1 male liver explant,SRP329969
SRR15254277,RNA-Seq,100,619566600,PRJNA749873,SAMN20423270,224373377,hepatic organoids,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559714,GSM5474291,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474291,male,NASH1 male liver explant,SRP329969
SRR15254278,RNA-Seq,100,639043900,PRJNA749873,SAMN20423270,228001745,hepatic organoids,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559714,GSM5474291,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474291,male,NASH1 male liver explant,SRP329969
SRR15254279,RNA-Seq,100,801175700,PRJNA749873,SAMN20423269,294392214,hepatic organoids,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559715,GSM5474292,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474292,male,NASH 2 male liver explant,SRP329969
SRR15254280,RNA-Seq,100,790096300,PRJNA749873,SAMN20423269,293074729,hepatic organoids,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559715,GSM5474292,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474292,male,NASH 2 male liver explant,SRP329969
SRR15254281,RNA-Seq,100,810788700,PRJNA749873,SAMN20423269,297835033,hepatic organoids,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559715,GSM5474292,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474292,male,NASH 2 male liver explant,SRP329969
SRR15254282,RNA-Seq,100,720636700,PRJNA749873,SAMN20423261,265551566,hepatic organoids,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559716,GSM5474293,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474293,male,NASH 2 male liver explant,SRP329969
SRR15254283,RNA-Seq,100,711162900,PRJNA749873,SAMN20423261,264542646,hepatic organoids,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559716,GSM5474293,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474293,male,NASH 2 male liver explant,SRP329969
SRR15254284,RNA-Seq,100,733389600,PRJNA749873,SAMN20423261,270225232,hepatic organoids,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559716,GSM5474293,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474293,male,NASH 2 male liver explant,SRP329969
SRR15254285,RNA-Seq,100,676267600,PRJNA749873,SAMN20423260,249765731,hepatic organoids,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",12d hepatic differentiation of biliary organoids,cirrhotic NASH human liver,SRX11559717,GSM5474294,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-30T00:00:00Z,total RNA isolated by TRIZOL procedure,GSM5474294,male,NASH 2 male liver explant,SRP329969
