Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,fraction,GEO_Accession (exp),Group,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR6292250,RNA-Seq,51,1612462155,PRJNA418402,SAMN08026825,1143537020,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393361,"Heavy, Polyribosomal-bound RNA",GSM2857282,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857282,Emphysematous lung from non-cancer lungs_235584,SRP125001,Lung tissue
SRR6292251,RNA-Seq,51,1313602818,PRJNA418402,SAMN08026824,931910744,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393362,Total RNA,GSM2857283,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857283,Lung tumor tissue_LU1795A,SRP125001,Lung tissue
SRR6292252,RNA-Seq,51,753850278,PRJNA418402,SAMN08026823,538479432,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393363,"Heavy, Polyribosomal-bound RNA",GSM2857284,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857284,Lung tumor tissue_LU1795A,SRP125001,Lung tissue
SRR6292253,RNA-Seq,51,1084558401,PRJNA418402,SAMN08026822,770280892,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393364,Total RNA,GSM2857285,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857285,Tissue adjacent to lung tumor_LU1795B,SRP125001,Lung tissue
SRR6292254,RNA-Seq,51,837763128,PRJNA418402,SAMN08026821,596586878,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393365,"Heavy, Polyribosomal-bound RNA",GSM2857286,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857286,Tissue adjacent to lung tumor_LU1795B,SRP125001,Lung tissue
SRR6292255,RNA-Seq,51,1028002614,PRJNA418402,SAMN08026820,763693138,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393366,Total RNA,GSM2857287,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857287,Emphysematous lung from non-cancer lungs_182894,SRP125001,Lung tissue
SRR6292256,RNA-Seq,51,1179196704,PRJNA418402,SAMN08026884,828373772,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393367,"Heavy, Polyribosomal-bound RNA",GSM2857288,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857288,Emphysematous lung from non-cancer lungs_182894,SRP125001,Lung tissue
SRR6292257,RNA-Seq,51,1129283922,PRJNA418402,SAMN08026883,799882331,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393368,Total RNA,GSM2857289,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857289,Emphysematous lung from non-cancer lungs_223106,SRP125001,Lung tissue
SRR6292258,RNA-Seq,51,1391393373,PRJNA418402,SAMN08026882,975134327,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393369,"Heavy, Polyribosomal-bound RNA",GSM2857290,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857290,Emphysematous lung from non-cancer lungs_223106,SRP125001,Lung tissue
SRR6292259,RNA-Seq,51,2153063124,PRJNA418402,SAMN08026881,1391827836,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393370,Total RNA,GSM2857291,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857291,Lung tumor tissue_LU1577A,SRP125001,Lung tissue
SRR6292260,RNA-Seq,51,1626752916,PRJNA418402,SAMN08026880,1062429082,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393371,"Heavy, Polyribosomal-bound RNA",GSM2857292,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857292,Lung tumor tissue_LU1577A,SRP125001,Lung tissue
SRR6292261,RNA-Seq,51,2739161856,PRJNA418402,SAMN08026879,1784039305,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393372,Total RNA,GSM2857293,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857293,Tissue adjacent to lung tumor_LU1577B,SRP125001,Lung tissue
SRR6292262,RNA-Seq,51,2197170576,PRJNA418402,SAMN08026857,1424170289,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393373,"Heavy, Polyribosomal-bound RNA",GSM2857294,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857294,Tissue adjacent to lung tumor_LU1577B,SRP125001,Lung tissue
SRR6292263,RNA-Seq,51,1613322270,PRJNA418402,SAMN08026856,1087601402,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393374,Total RNA,GSM2857295,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857295,Lung tumor tissue_LU1551A,SRP125001,Lung tissue
SRR6292264,RNA-Seq,51,1620549378,PRJNA418402,SAMN08026878,1056479486,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393375,"Heavy, Polyribosomal-bound RNA",GSM2857296,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857296,Lung tumor tissue_LU1551A,SRP125001,Lung tissue
SRR6292265,RNA-Seq,51,1553803332,PRJNA418402,SAMN08026877,1014599687,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393376,Total RNA,GSM2857297,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857297,Tissue adjacent to lung tumor_LU1551B,SRP125001,Lung tissue
SRR6292266,RNA-Seq,51,3111696456,PRJNA418402,SAMN08026876,1998632058,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393377,"Heavy, Polyribosomal-bound RNA",GSM2857298,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857298,Tissue adjacent to lung tumor_LU1551B,SRP125001,Lung tissue
SRR6292267,RNA-Seq,51,2396192772,PRJNA418402,SAMN08026875,1545619704,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393378,Total RNA,GSM2857299,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857299,Lung tumor tissue_LU2531A,SRP125001,Lung tissue
SRR6292268,RNA-Seq,51,2232656478,PRJNA418402,SAMN08026874,1444894184,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393379,"Heavy, Polyribosomal-bound RNA",GSM2857300,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857300,Lung tumor tissue_LU2531A,SRP125001,Lung tissue
SRR6292269,RNA-Seq,51,2275657842,PRJNA418402,SAMN08026873,1479714101,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393380,Total RNA,GSM2857301,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857301,Tissue adjacent to lung tumor_LU2531B,SRP125001,Lung tissue
SRR6292270,RNA-Seq,51,1650715674,PRJNA418402,SAMN08026872,1071456224,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393381,"Heavy, Polyribosomal-bound RNA",GSM2857302,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857302,Tissue adjacent to lung tumor_LU2531B,SRP125001,Lung tissue
SRR6292271,RNA-Seq,51,1794678270,PRJNA418402,SAMN08026871,1207683855,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393382,Total RNA,GSM2857303,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857303,Lung tumor tissue_LU1654A,SRP125001,Lung tissue
SRR6292272,RNA-Seq,51,2684718744,PRJNA418402,SAMN08026870,1713251604,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393383,"Heavy, Polyribosomal-bound RNA",GSM2857304,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857304,Lung tumor tissue_LU1654A,SRP125001,Lung tissue
SRR6292273,RNA-Seq,51,2551369962,PRJNA418402,SAMN08026869,1651273317,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393384,Total RNA,GSM2857305,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857305,Tissue adjacent to lung tumor_LU1654B,SRP125001,Lung tissue
SRR6292274,RNA-Seq,51,2112222834,PRJNA418402,SAMN08026868,1362478429,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393385,"Heavy, Polyribosomal-bound RNA",GSM2857306,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857306,Tissue adjacent to lung tumor_LU1654B,SRP125001,Lung tissue
SRR6292275,RNA-Seq,51,2707101624,PRJNA418402,SAMN08026867,1762628228,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393386,Total RNA,GSM2857307,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857307,Lung tumor tissue_LU1675A,SRP125001,Lung tissue
SRR6292276,RNA-Seq,51,2545046574,PRJNA418402,SAMN08026866,1638423894,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393387,"Heavy, Polyribosomal-bound RNA",GSM2857308,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857308,Lung tumor tissue_LU1675A,SRP125001,Lung tissue
SRR6292277,RNA-Seq,51,2560384416,PRJNA418402,SAMN08026865,1655117137,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393388,Total RNA,GSM2857309,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857309,Tissue adjacent to lung tumor_LU1675B,SRP125001,Lung tissue
SRR6292278,RNA-Seq,51,1871785374,PRJNA418402,SAMN08026864,1200625564,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393389,"Heavy, Polyribosomal-bound RNA",GSM2857310,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857310,Tissue adjacent to lung tumor_LU1675B,SRP125001,Lung tissue
SRR6292279,RNA-Seq,51,2142455736,PRJNA418402,SAMN08026863,1440225303,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393390,Total RNA,GSM2857311,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857311,Emphysematous lung from non-cancer lungs_192270,SRP125001,Lung tissue
SRR6292280,RNA-Seq,51,2305492026,PRJNA418402,SAMN08026862,1467434977,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393391,"Heavy, Polyribosomal-bound RNA",GSM2857312,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857312,Emphysematous lung from non-cancer lungs_192270,SRP125001,Lung tissue
SRR6292281,RNA-Seq,51,2270423610,PRJNA418402,SAMN08026861,1463777257,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393392,Total RNA,GSM2857313,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857313,Emphysematous lung from non-cancer lungs_201128,SRP125001,Lung tissue
SRR6292282,RNA-Seq,51,2198525544,PRJNA418402,SAMN08026860,1401753149,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393393,"Heavy, Polyribosomal-bound RNA",GSM2857314,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857314,Emphysematous lung from non-cancer lungs_201128,SRP125001,Lung tissue
SRR6292283,RNA-Seq,51,2409925032,PRJNA418402,SAMN08026859,1889764071,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393394,Total RNA,GSM2857315,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857315,Lung tumor tissue_LU1228A,SRP125001,Lung tissue
SRR6292284,RNA-Seq,51,1828077864,PRJNA418402,SAMN08026858,1435806017,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393395,"Heavy, Polyribosomal-bound RNA",GSM2857316,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857316,Lung tumor tissue_LU1228A,SRP125001,Lung tissue
SRR6292285,RNA-Seq,51,2186664576,PRJNA418402,SAMN08026819,1723228044,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393396,Total RNA,GSM2857317,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857317,Tissue adjacent to lung tumor_LU1228B,SRP125001,Lung tissue
SRR6292286,RNA-Seq,51,3237661356,PRJNA418402,SAMN08026855,2536492955,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393397,"Heavy, Polyribosomal-bound RNA",GSM2857318,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857318,Tissue adjacent to lung tumor_LU1228B,SRP125001,Lung tissue
SRR6292287,RNA-Seq,51,2819089872,PRJNA418402,SAMN08026854,2248468614,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393398,Total RNA,GSM2857319,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857319,Lung tumor tissue_LU1517A,SRP125001,Lung tissue
SRR6292288,RNA-Seq,51,1817162946,PRJNA418402,SAMN08026853,1433030042,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393399,"Heavy, Polyribosomal-bound RNA",GSM2857320,Lung_tumor,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857320,Lung tumor tissue_LU1517A,SRP125001,Lung tissue
SRR6292289,RNA-Seq,51,4280934492,PRJNA418402,SAMN08026852,3372859946,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393400,Total RNA,GSM2857321,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857321,Tissue adjacent to lung tumor_LU1517B,SRP125001,Lung tissue
SRR6292290,RNA-Seq,51,2794740126,PRJNA418402,SAMN08026851,2202939077,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393401,"Heavy, Polyribosomal-bound RNA",GSM2857322,Lung_tumor_adjacent,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857322,Tissue adjacent to lung tumor_LU1517B,SRP125001,Lung tissue
SRR6292291,RNA-Seq,51,196999638,PRJNA418402,SAMN08026850,156915915,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393402,Total RNA,GSM2857323,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857323,Emphysematous lung from non-cancer lungs_243699,SRP125001,Lung tissue
SRR6292292,RNA-Seq,51,152337816,PRJNA418402,SAMN08026849,121667035,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393403,"Heavy, Polyribosomal-bound RNA",GSM2857324,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857324,Emphysematous lung from non-cancer lungs_243699,SRP125001,Lung tissue
SRR6292293,RNA-Seq,51,261527796,PRJNA418402,SAMN08026848,208219608,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3393404,Total RNA,GSM2857325,Control,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM2857325,Emphysematous lung from non-cancer lungs_266688,SRP125001,Lung tissue
