Run,Assay Type,AvgSpotLen,Bases,Batch,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,passages,Platform,ReleaseDate,Sample Name,shRNA_target_gene_and_trc_accession,source_name,SRA Study
SRR1576850,RNA-Seq,100,2206930800,1,PRJNA261297,SAMN03071888,1447793727,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702579,GSM1506113,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506113,CHD8 (TRCN0000360109),human NPCs,SRP047233
SRR1576851,RNA-Seq,100,2236152700,1,PRJNA261297,SAMN03071888,1473163524,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702579,GSM1506113,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506113,CHD8 (TRCN0000360109),human NPCs,SRP047233
SRR1576852,RNA-Seq,100,2255456000,1,PRJNA261297,SAMN03071888,1485603203,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702579,GSM1506113,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506113,CHD8 (TRCN0000360109),human NPCs,SRP047233
SRR1576853,RNA-Seq,100,3330310700,2,PRJNA261297,SAMN03071889,2062414521,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702580,GSM1506114,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506114,CHD8 (TRCN0000367896),human NPCs,SRP047233
SRR1576854,RNA-Seq,100,3302765400,2,PRJNA261297,SAMN03071889,2045465410,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702580,GSM1506114,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506114,CHD8 (TRCN0000367896),human NPCs,SRP047233
SRR1576855,RNA-Seq,100,1526781500,2,PRJNA261297,SAMN03071890,954229694,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702581,GSM1506115,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506115,CHD8 (TRCN0000367896),human NPCs,SRP047233
SRR1576856,RNA-Seq,100,1528535100,2,PRJNA261297,SAMN03071890,956284527,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702581,GSM1506115,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506115,CHD8 (TRCN0000367896),human NPCs,SRP047233
SRR1576857,RNA-Seq,100,1977679200,1,PRJNA261297,SAMN03071891,1298627399,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702582,GSM1506116,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506116,CHD8 (TRCN0000360108),human NPCs,SRP047233
SRR1576858,RNA-Seq,100,2006739700,1,PRJNA261297,SAMN03071891,1323159122,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702582,GSM1506116,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506116,CHD8 (TRCN0000360108),human NPCs,SRP047233
SRR1576859,RNA-Seq,100,1997342800,1,PRJNA261297,SAMN03071891,1316668985,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702582,GSM1506116,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506116,CHD8 (TRCN0000360108),human NPCs,SRP047233
SRR1576860,RNA-Seq,100,2063377500,1,PRJNA261297,SAMN03071892,1343842293,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702583,GSM1506117,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506117,CHD8 (TRCN0000360108),human NPCs,SRP047233
SRR1576861,RNA-Seq,100,2089293100,1,PRJNA261297,SAMN03071892,1366654260,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702583,GSM1506117,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506117,CHD8 (TRCN0000360108),human NPCs,SRP047233
SRR1576862,RNA-Seq,100,2092552300,1,PRJNA261297,SAMN03071892,1368048723,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702583,GSM1506117,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506117,CHD8 (TRCN0000360108),human NPCs,SRP047233
SRR1576863,RNA-Seq,100,1514182700,2,PRJNA261297,SAMN03071893,947237877,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702584,GSM1506118,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506118,CHD8 (TRCN0000360108),human NPCs,SRP047233
SRR1576864,RNA-Seq,100,1511664600,2,PRJNA261297,SAMN03071893,944743946,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702584,GSM1506118,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506118,CHD8 (TRCN0000360108),human NPCs,SRP047233
SRR1576865,RNA-Seq,100,1311850700,2,PRJNA261297,SAMN03071894,818967391,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702585,GSM1506119,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506119,CHD8 (TRCN0000360108),human NPCs,SRP047233
SRR1576866,RNA-Seq,100,1317356100,2,PRJNA261297,SAMN03071894,823105010,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702585,GSM1506119,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506119,CHD8 (TRCN0000360108),human NPCs,SRP047233
SRR1576867,RNA-Seq,100,1853419600,1,PRJNA261297,SAMN03071895,1228407988,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702586,GSM1506120,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506120,GFP (TRCN0000072181),human NPCs,SRP047233
SRR1576868,RNA-Seq,100,1873180700,1,PRJNA261297,SAMN03071895,1254579749,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702586,GSM1506120,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506120,GFP (TRCN0000072181),human NPCs,SRP047233
SRR1576869,RNA-Seq,100,1861123800,1,PRJNA261297,SAMN03071895,1213181520,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702586,GSM1506120,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506120,GFP (TRCN0000072181),human NPCs,SRP047233
SRR1576870,RNA-Seq,100,2209958600,1,PRJNA261297,SAMN03071896,1454812012,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702587,GSM1506121,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506121,GFP (TRCN0000072181),human NPCs,SRP047233
SRR1576871,RNA-Seq,100,2208825000,1,PRJNA261297,SAMN03071896,1470266523,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702587,GSM1506121,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506121,GFP (TRCN0000072181),human NPCs,SRP047233
SRR1576872,RNA-Seq,100,2199906600,1,PRJNA261297,SAMN03071896,1424893046,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702587,GSM1506121,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506121,GFP (TRCN0000072181),human NPCs,SRP047233
SRR1576873,RNA-Seq,100,3447627600,2,PRJNA261297,SAMN03071897,2179874453,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702588,GSM1506122,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506122,GFP (TRCN0000072181),human NPCs,SRP047233
SRR1576874,RNA-Seq,100,3413840300,2,PRJNA261297,SAMN03071897,2156225578,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702588,GSM1506122,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506122,GFP (TRCN0000072181),human NPCs,SRP047233
SRR1576875,RNA-Seq,100,1618608600,2,PRJNA261297,SAMN03071898,1011695224,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702589,GSM1506123,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506123,GFP (TRCN0000072181),human NPCs,SRP047233
SRR1576876,RNA-Seq,100,1606911100,2,PRJNA261297,SAMN03071898,1003305480,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702589,GSM1506123,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506123,GFP (TRCN0000072181),human NPCs,SRP047233
SRR1576877,RNA-Seq,100,2290017500,1,PRJNA261297,SAMN03071899,1495471666,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702590,GSM1506124,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506124,LacZ (TRCN0000072236),human NPCs,SRP047233
SRR1576878,RNA-Seq,100,2254753100,1,PRJNA261297,SAMN03071899,1487217872,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702590,GSM1506124,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506124,LacZ (TRCN0000072236),human NPCs,SRP047233
SRR1576879,RNA-Seq,100,2269290700,1,PRJNA261297,SAMN03071899,1458301048,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702590,GSM1506124,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506124,LacZ (TRCN0000072236),human NPCs,SRP047233
SRR1576880,RNA-Seq,100,528947500,1,PRJNA261297,SAMN03071900,346581719,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702591,GSM1506125,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506125,LacZ (TRCN0000072236),human NPCs,SRP047233
SRR1576881,RNA-Seq,100,527275500,1,PRJNA261297,SAMN03071900,348448719,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702591,GSM1506125,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506125,LacZ (TRCN0000072236),human NPCs,SRP047233
SRR1576882,RNA-Seq,100,528706400,1,PRJNA261297,SAMN03071900,340346597,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702591,GSM1506125,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506125,LacZ (TRCN0000072236),human NPCs,SRP047233
SRR1576883,RNA-Seq,100,2784748300,2,PRJNA261297,SAMN03071901,1747434756,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702592,GSM1506126,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506126,LacZ (TRCN0000072236),human NPCs,SRP047233
SRR1576884,RNA-Seq,100,2772696100,2,PRJNA261297,SAMN03071901,1741536404,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702592,GSM1506126,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506126,LacZ (TRCN0000072236),human NPCs,SRP047233
SRR1576885,RNA-Seq,100,2981739100,2,PRJNA261297,SAMN03071902,1877335026,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702593,GSM1506127,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506127,LacZ (TRCN0000072236),human NPCs,SRP047233
SRR1576886,RNA-Seq,100,2978909000,2,PRJNA261297,SAMN03071902,1877296411,iPSC (GM8330-8)-derived NPC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX702593,GSM1506127,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,7,ILLUMINA,2015-07-22T00:00:00Z,GSM1506127,LacZ (TRCN0000072236),human NPCs,SRP047233
