Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,day_post-induction,Experiment,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sequencing__batch,source_name,SRA Study
SRR7868114,RNA-Seq,201,6668465847,PRJNA491651,SAMN10081436,2791638492,Tal1_2,"vascular smooth muscle cells,patient1",GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Day17,SRX4707294,C2,RR WT,GSM3393188,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393188,Set2,hiPSC,SRP161997
SRR7868115,RNA-Seq,201,6105023451,PRJNA491651,SAMN10081472,2555902438,Tal2_3,"vascular smooth muscle cells,patient1",GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Day17,SRX4707295,C2,RR WT,GSM3393189,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393189,Set2,hiPSC,SRP161997
SRR7868116,RNA-Seq,201,7304449344,PRJNA491651,SAMN10081471,3038928931,Tal1_2,"patient1,vascular smooth muscle cells",GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Day17,SRX4707296,C3,RR WT,GSM3393190,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393190,Set2,hiPSC,SRP161997
SRR7868117,RNA-Seq,200,4593772200,PRJNA491651,SAMN10081470,1745351348,Tal1_15,"patient1,hiPSC",GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",Day0,SRX4707297,exp1,RR KO,GSM3393191,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393191,Set1,hiPSC,SRP161997
SRR7868118,RNA-Seq,200,4027963800,PRJNA491651,SAMN10081469,1547187391,Tal1_19,"patient1,hiPSC",GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Day0,SRX4707298,exp1,RR KO,GSM3393192,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393192,Set1,hiPSC,SRP161997
SRR7868119,RNA-Seq,200,3762715200,PRJNA491651,SAMN10081468,1445008354,Tal1_9,"hiPSC,patient1",GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Day0,SRX4707299,exp1,RR KO,GSM3393193,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393193,Set1,hiPSC,SRP161997
SRR7868120,RNA-Seq,200,4853014600,PRJNA491651,SAMN10081467,1865238168,Tal2_24,"hiPSC,patient1",GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Day0,SRX4707300,exp1,RR KO,GSM3393194,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393194,Set1,hiPSC,SRP161997
SRR7868121,RNA-Seq,200,5230102000,PRJNA491651,SAMN10081466,2022163183,Tal1_2,"hiPSC,patient1",GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",Day0,SRX4707301,exp1,RR WT,GSM3393195,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393195,Set1,hiPSC,SRP161997
SRR7868122,RNA-Seq,200,4728641200,PRJNA491651,SAMN10081465,1813871610,Tal1_5,"patient1,hiPSC",GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Day0,SRX4707302,exp1,RR WT,GSM3393196,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393196,Set1,hiPSC,SRP161997
SRR7868123,RNA-Seq,200,3476401200,PRJNA491651,SAMN10081464,1336741547,Tal2_3,"patient1,hiPSC",GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Day0,SRX4707303,exp1,RR WT,GSM3393197,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393197,Set1,hiPSC,SRP161997
SRR7868124,RNA-Seq,200,5532683000,PRJNA491651,SAMN10081463,2134049376,Tal2_4,"hiPSC,patient1",GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Day0,SRX4707304,exp1,RR WT,GSM3393198,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393198,Set1,hiPSC,SRP161997
SRR7868125,RNA-Seq,200,5594149600,PRJNA491651,SAMN10081462,2420303981,E50,"hiPSC,patient2",GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Day0,SRX4707305,exp1,NN KO,GSM3393199,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393199,Set1,hiPSC,SRP161997
SRR7868126,RNA-Seq,200,5261719600,PRJNA491651,SAMN10081461,2259351915,E53,"hiPSC,patient2",GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Day0,SRX4707306,exp1,NN KO,GSM3393200,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393200,Set1,hiPSC,SRP161997
SRR7868127,RNA-Seq,200,5328090600,PRJNA491651,SAMN10081460,2303229550,E56,"hiPSC,patient2",GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Day0,SRX4707307,exp1,NN KO,GSM3393201,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393201,Set1,hiPSC,SRP161997
SRR7868128,RNA-Seq,200,5222761200,PRJNA491651,SAMN10081459,2256852019,E14,"hiPSC,patient2",GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Day0,SRX4707308,exp1,NN WT,GSM3393202,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393202,Set1,hiPSC,SRP161997
SRR7868129,RNA-Seq,200,5347847000,PRJNA491651,SAMN10081458,2296808882,E17,"patient2,hiPSC",GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Day0,SRX4707309,exp1,NN WT,GSM3393203,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393203,Set1,hiPSC,SRP161997
SRR7868130,RNA-Seq,200,4897535000,PRJNA491651,SAMN10081410,1939603597,Tal2_24,"vascular smooth muscle cells,patient1",GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Day17,SRX4707310,A3,RR KO,GSM3393204,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393204,Set1,hiPSC,SRP161997
SRR7868131,RNA-Seq,200,5539967000,PRJNA491651,SAMN10081409,2142227807,Tal1_15,"patient1,vascular smooth muscle cells",GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",Day17,SRX4707311,A4,RR KO,GSM3393205,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393205,Set1,hiPSC,SRP161997
SRR7868132,RNA-Seq,200,5966388600,PRJNA491651,SAMN10081402,2304504151,Tal1_9,"vascular smooth muscle cells,patient1",GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Day17,SRX4707312,A4,RR KO,GSM3393206,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393206,Set1,hiPSC,SRP161997
SRR7868133,RNA-Seq,200,3571662400,PRJNA491651,SAMN10081401,1417593755,Tal1_2,"vascular smooth muscle cells,patient1",GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Day17,SRX4707313,A3,RR WT,GSM3393207,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393207,Set1,hiPSC,SRP161997
SRR7868134,RNA-Seq,200,6636250800,PRJNA491651,SAMN10081408,2555243604,Tal1_5,"patient1,vascular smooth muscle cells",GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Day17,SRX4707314,A4,RR WT,GSM3393208,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393208,Set1,hiPSC,SRP161997
SRR7868135,RNA-Seq,200,5292547600,PRJNA491651,SAMN10081407,2050879152,Tal2_3,"vascular smooth muscle cells,patient1",GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Day17,SRX4707315,A4,RR WT,GSM3393209,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393209,Set1,hiPSC,SRP161997
SRR7868136,RNA-Seq,200,4733674000,PRJNA491651,SAMN10081406,1881681045,E50,"patient2,vascular smooth muscle cells",GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Day17,SRX4707316,B2,NN KO,GSM3393210,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393210,Set1,hiPSC,SRP161997
SRR7868137,RNA-Seq,200,4212981400,PRJNA491651,SAMN10081405,1675397333,E56,"patient2,vascular smooth muscle cells",GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Day17,SRX4707317,B2,NN KO,GSM3393211,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393211,Set1,hiPSC,SRP161997
SRR7868138,RNA-Seq,200,5787033200,PRJNA491651,SAMN10081404,2529717256,E50,"patient2,vascular smooth muscle cells",GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Day17,SRX4707318,B3,NN KO,GSM3393212,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393212,Set1,hiPSC,SRP161997
SRR7868139,RNA-Seq,200,5215382200,PRJNA491651,SAMN10081403,2282513614,E53,"vascular smooth muscle cells,patient2",GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",Day17,SRX4707319,B3,NN KO,GSM3393213,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393213,Set1,hiPSC,SRP161997
SRR7868140,RNA-Seq,200,6565726800,PRJNA491651,SAMN10081400,2881979594,E56,"patient2,vascular smooth muscle cells",GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Day17,SRX4707320,B3,NN KO,GSM3393214,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393214,Set1,hiPSC,SRP161997
SRR7868141,RNA-Seq,200,6575086200,PRJNA491651,SAMN10081399,2901201542,E50,"patient2,vascular smooth muscle cells",GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Day17,SRX4707321,B4,NN KO,GSM3393215,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393215,Set1,hiPSC,SRP161997
SRR7868142,RNA-Seq,200,6116080600,PRJNA491651,SAMN10081398,2679015829,E53,"vascular smooth muscle cells,patient2",GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Day17,SRX4707322,B4,NN KO,GSM3393216,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393216,Set1,hiPSC,SRP161997
SRR7868143,RNA-Seq,200,5642781000,PRJNA491651,SAMN10081395,2455222279,E56,"vascular smooth muscle cells,patient2",GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Day17,SRX4707323,B4,NN KO,GSM3393217,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393217,Set1,hiPSC,SRP161997
SRR7868144,RNA-Seq,200,4573508600,PRJNA491651,SAMN10081394,1824718991,E14,"patient2,vascular smooth muscle cells",GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Day17,SRX4707324,B2,NN WT,GSM3393218,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393218,Set1,hiPSC,SRP161997
SRR7868145,RNA-Seq,200,5536876400,PRJNA491651,SAMN10081393,2214064190,E17,"patient2,vascular smooth muscle cells",GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",Day17,SRX4707325,B2,NN WT,GSM3393219,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393219,Set1,hiPSC,SRP161997
SRR7868146,RNA-Seq,200,5875789200,PRJNA491651,SAMN10081392,2562802035,E14,"patient2,vascular smooth muscle cells",GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",Day17,SRX4707326,B3,NN WT,GSM3393220,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393220,Set1,hiPSC,SRP161997
SRR7868147,RNA-Seq,200,7764525800,PRJNA491651,SAMN10081391,3407788120,E17,"vascular smooth muscle cells,patient2",GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Day17,SRX4707327,B3,NN WT,GSM3393221,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393221,Set1,hiPSC,SRP161997
SRR7868148,RNA-Seq,200,5290966600,PRJNA491651,SAMN10081390,2297494983,E14,"patient2,vascular smooth muscle cells",GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",Day17,SRX4707328,B4,NN WT,GSM3393222,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393222,Set1,hiPSC,SRP161997
SRR7868149,RNA-Seq,200,6218617200,PRJNA491651,SAMN10081389,2721187003,E17,"vascular smooth muscle cells,patient2",GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Day17,SRX4707329,B4,NN WT,GSM3393223,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393223,Set1,hiPSC,SRP161997
SRR7868150,RNA-Seq,200,7023020200,PRJNA491651,SAMN10081388,2705734931,Tal1_15,"mesenchymal progenitors,patient1",GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Day3,SRX4707330,A4,RR KO,GSM3393224,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393224,Set1,hiPSC,SRP161997
SRR7868151,RNA-Seq,200,5015335000,PRJNA491651,SAMN10081387,1917340189,Tal1_9,"mesenchymal progenitors,patient1",GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Day3,SRX4707331,A4,RR KO,GSM3393225,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393225,Set1,hiPSC,SRP161997
SRR7868152,RNA-Seq,200,7246636200,PRJNA491651,SAMN10081386,2800910485,Tal1_15,"patient1,mesenchymal progenitors",GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",Day3,SRX4707332,A5,RR KO,GSM3393226,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393226,Set1,hiPSC,SRP161997
SRR7868153,RNA-Seq,200,4281991400,PRJNA491651,SAMN10081385,1661689819,Tal1_9,"patient1,mesenchymal progenitors",GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Day3,SRX4707333,A5,RR KO,GSM3393227,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393227,Set1,hiPSC,SRP161997
SRR7868154,RNA-Seq,200,4336809200,PRJNA491651,SAMN10081384,1690875863,Tal2_24,"mesenchymal progenitors,patient1",GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Day3,SRX4707334,A5,RR KO,GSM3393228,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393228,Set1,hiPSC,SRP161997
SRR7868155,RNA-Seq,200,4966255000,PRJNA491651,SAMN10081435,1923284371,Tal1_5,"patient1,mesenchymal progenitors",GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",Day3,SRX4707335,A4,RR WT,GSM3393229,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393229,Set1,hiPSC,SRP161997
SRR7868156,RNA-Seq,200,5434085600,PRJNA491651,SAMN10081434,2090117622,Tal2_3,"mesenchymal progenitors,patient1",GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Day3,SRX4707336,A4,RR WT,GSM3393230,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393230,Set1,hiPSC,SRP161997
SRR7868157,RNA-Seq,200,4204728400,PRJNA491651,SAMN10081433,1627316219,Tal1_2,"patient1,mesenchymal progenitors",GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",Day3,SRX4707337,A5,RR WT,GSM3393231,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393231,Set1,hiPSC,SRP161997
SRR7868158,RNA-Seq,200,3037497000,PRJNA491651,SAMN10081432,1167982506,Tal1_5,"mesenchymal progenitors,patient1",GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Day3,SRX4707338,A5,RR WT,GSM3393232,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393232,Set1,hiPSC,SRP161997
SRR7868159,RNA-Seq,200,3758376000,PRJNA491651,SAMN10081431,1453649579,Tal2_3,"mesenchymal progenitors,patient1",GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Day3,SRX4707339,A5,RR WT,GSM3393233,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393233,Set1,hiPSC,SRP161997
SRR7868160,RNA-Seq,200,4144518600,PRJNA491651,SAMN10081430,1802182832,E50,"patient2,mesenchymal progenitors",GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Day3,SRX4707340,B2,NN KO,GSM3393234,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393234,Set1,hiPSC,SRP161997
SRR7868161,RNA-Seq,200,4718526800,PRJNA491651,SAMN10081429,2082031614,E56,"patient2,mesenchymal progenitors",GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Day3,SRX4707341,B2,NN KO,GSM3393235,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393235,Set1,hiPSC,SRP161997
SRR7868162,RNA-Seq,200,4818807200,PRJNA491651,SAMN10081428,1890431206,E53,"patient2,mesenchymal progenitors",GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Day3,SRX4707342,B3,NN KO,GSM3393236,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393236,Set1,hiPSC,SRP161997
