Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,embryo,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue,Cell_Line
SRR13242212,RNA-Seq,198,3615398837,PRJNA684512,SAMN17058938,1180261620,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674001,GSM4971187,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971187,Posterior Brainstem,SRP297662,Posterior Brainstem,Neural stem cell line
SRR13242213,RNA-Seq,197,3527688701,PRJNA684512,SAMN17058937,1165645241,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674002,GSM4971188,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971188,Neocortex,SRP297662,Neocortex,Neural stem cell line
SRR13242214,RNA-Seq,198,3516666703,PRJNA684512,SAMN17058887,1153552611,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674003,GSM4971189,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971189,Neocortex,SRP297662,Neocortex,Neural stem cell line
SRR13242215,RNA-Seq,198,3553655533,PRJNA684512,SAMN17058886,1166586420,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674004,GSM4971190,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971190,Striatum,SRP297662,Striatum,Neural stem cell line
SRR13242216,RNA-Seq,199,3555585773,PRJNA684512,SAMN17058885,1162511329,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674005,GSM4971191,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971191,Striatum,SRP297662,Striatum,Neural stem cell line
SRR13242217,RNA-Seq,198,3534780682,PRJNA684512,SAMN17058884,1203639245,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9674006,GSM4971192,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971192,Cerebellum,SRP297662,Cerebellum,Neural stem cell line
SRR13242218,RNA-Seq,198,4646164286,PRJNA684512,SAMN17058883,1580998957,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9674007,GSM4971193,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971193,Posterior Brainstem,SRP297662,Posterior Brainstem,Neural stem cell line
SRR13242219,RNA-Seq,198,3914131165,PRJNA684512,SAMN17058882,1333630290,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9674008,GSM4971194,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971194,Posterior Brainstem,SRP297662,Posterior Brainstem,Neural stem cell line
SRR13242220,RNA-Seq,198,3771634950,PRJNA684512,SAMN17058881,1231182045,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9674009,GSM4971195,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971195,Neocortex,SRP297662,Neocortex,Neural stem cell line
SRR13242221,RNA-Seq,199,3679225223,PRJNA684512,SAMN17058880,1213716314,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9674010,GSM4971196,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971196,Neocortex,SRP297662,Neocortex,Neural stem cell line
SRR13242222,RNA-Seq,199,3287814540,PRJNA684512,SAMN17058879,1118383995,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9674011,GSM4971197,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971197,Diencephalon,SRP297662,Diencephalon,Neural stem cell line
SRR13242223,RNA-Seq,198,3847350756,PRJNA684512,SAMN17058878,1309674539,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9674012,GSM4971198,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971198,Anterior Brainstem,SRP297662,Anterior Brainstem,Neural stem cell line
SRR13242224,RNA-Seq,198,3855743431,PRJNA684512,SAMN17058877,1316520857,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9674013,GSM4971199,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971199,Anterior Brainstem,SRP297662,Anterior Brainstem,Neural stem cell line
SRR13242225,RNA-Seq,199,3597589100,PRJNA684512,SAMN17058876,1222520338,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9674014,GSM4971200,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971200,Spinalcord,SRP297662,Spinalcord,Neural stem cell line
SRR13242226,RNA-Seq,199,3602899311,PRJNA684512,SAMN17058875,1227483775,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9674015,GSM4971201,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971201,Striatum,SRP297662,Striatum,Neural stem cell line
SRR13242227,RNA-Seq,199,3817225863,PRJNA684512,SAMN17058874,1301214517,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS15 - 15.0 pcw,SRX9674016,GSM4971202,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971202,Striatum,SRP297662,Striatum,Neural stem cell line
SRR13242228,RNA-Seq,198,3629223637,PRJNA684512,SAMN17058873,1189030784,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674017,GSM4971203,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971203,Posterior Brainstem,SRP297662,Posterior Brainstem,Neural stem cell line
SRR13242229,RNA-Seq,199,3957996551,PRJNA684512,SAMN17058872,1292086174,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674018,GSM4971204,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971204,Posterior Brainstem,SRP297662,Posterior Brainstem,Neural stem cell line
SRR13242230,RNA-Seq,199,3907889698,PRJNA684512,SAMN17058912,1291746367,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674019,GSM4971205,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971205,Posterior Brainstem,SRP297662,Posterior Brainstem,Neural stem cell line
SRR13242231,RNA-Seq,199,3445624122,PRJNA684512,SAMN17058911,1123713114,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674020,GSM4971206,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971206,Posterior Brainstem,SRP297662,Posterior Brainstem,Neural stem cell line
SRR13242232,RNA-Seq,200,3733757983,PRJNA684512,SAMN17058910,1229775926,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674021,GSM4971207,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971207,Neocortex,SRP297662,Neocortex,Neural stem cell line
SRR13242233,RNA-Seq,199,3679874677,PRJNA684512,SAMN17058909,1204355667,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674022,GSM4971208,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971208,Neocortex,SRP297662,Neocortex,Neural stem cell line
SRR13242234,RNA-Seq,199,3584944231,PRJNA684512,SAMN17058908,1174264145,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674023,GSM4971209,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971209,Neocortex,SRP297662,Neocortex,Neural stem cell line
