Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue,Treatment
SRR12174825,RNA-Seq,76,511113832,PRJNA644919,SAMN15483965,217751739,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX8689484,GSM4663015,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663015,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174826,RNA-Seq,76,461729792,PRJNA644919,SAMN15483964,198345233,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX8689485,GSM4663016,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663016,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174827,RNA-Seq,76,4053591632,PRJNA644919,SAMN15483963,1723570740,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX8689486,GSM4663017,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663017,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174828,RNA-Seq,76,279831012,PRJNA644919,SAMN15484001,113634478,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX8689487,GSM4663018,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663018,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174829,RNA-Seq,76,431691932,PRJNA644919,SAMN15484000,184211494,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX8689473,GSM4663019,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663019,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174830,RNA-Seq,76,518419636,PRJNA644919,SAMN15483999,221091576,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX8689488,GSM4663020,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663020,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174831,RNA-Seq,76,464083816,PRJNA644919,SAMN15483998,197663565,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX8689489,GSM4663021,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663021,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174832,RNA-Seq,76,441456944,PRJNA644919,SAMN15483997,187235389,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX8689490,GSM4663022,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663022,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174833,RNA-Seq,76,507017052,PRJNA644919,SAMN15483996,213041944,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX8689491,GSM4663023,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663023,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174834,RNA-Seq,76,458396736,PRJNA644919,SAMN15483995,195689809,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX8689492,GSM4663024,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663024,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174835,RNA-Seq,76,508123536,PRJNA644919,SAMN15483994,214835401,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX8689493,GSM4663025,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663025,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174836,RNA-Seq,76,483531988,PRJNA644919,SAMN15483993,205809171,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX8689494,GSM4663026,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663026,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174837,RNA-Seq,76,529586772,PRJNA644919,SAMN15483992,223435174,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX8689495,GSM4663027,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663027,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174838,RNA-Seq,76,472538284,PRJNA644919,SAMN15483991,201867244,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX8689496,GSM4663028,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663028,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174839,RNA-Seq,76,510419724,PRJNA644919,SAMN15483990,214757233,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX8689497,GSM4663029,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663029,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174840,RNA-Seq,76,796492996,PRJNA644919,SAMN15483989,326709663,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX8689498,GSM4663030,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663030,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174841,RNA-Seq,76,487488016,PRJNA644919,SAMN15483988,206375234,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX8689499,GSM4663031,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663031,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174842,RNA-Seq,76,472518220,PRJNA644919,SAMN15483987,202010775,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX8689500,GSM4663032,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663032,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174843,RNA-Seq,76,521289776,PRJNA644919,SAMN15483986,222422657,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX8689501,GSM4663033,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663033,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174844,RNA-Seq,76,437260072,PRJNA644919,SAMN15483985,186246244,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX8689502,GSM4663034,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663034,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174845,RNA-Seq,76,490262016,PRJNA644919,SAMN15483984,206160197,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX8689503,GSM4663035,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663035,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174846,RNA-Seq,76,383093732,PRJNA644919,SAMN15483983,161876363,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX8689504,GSM4663036,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663036,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174847,RNA-Seq,76,418919980,PRJNA644919,SAMN15483982,176561044,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX8689505,GSM4663037,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663037,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174848,RNA-Seq,76,448057088,PRJNA644919,SAMN15484014,194952323,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX8689506,GSM4663038,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663038,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174849,RNA-Seq,76,522704744,PRJNA644919,SAMN15484013,221440439,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX8689507,GSM4663039,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663039,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174850,RNA-Seq,76,478753944,PRJNA644919,SAMN15484012,204111051,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX8689508,GSM4663040,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663040,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174851,RNA-Seq,76,485626016,PRJNA644919,SAMN15484011,207902487,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX8689509,GSM4663041,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663041,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174852,RNA-Seq,76,434509252,PRJNA644919,SAMN15484010,185330177,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX8689510,GSM4663042,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663042,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174853,RNA-Seq,76,471479224,PRJNA644919,SAMN15484009,201862552,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX8689511,GSM4663043,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663043,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174854,RNA-Seq,76,430376752,PRJNA644919,SAMN15484008,183954559,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX8689512,GSM4663044,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663044,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174855,RNA-Seq,76,501431432,PRJNA644919,SAMN15484007,213954934,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX8689513,GSM4663045,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663045,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174856,RNA-Seq,76,510508264,PRJNA644919,SAMN15484006,215860410,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX8689514,GSM4663046,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663046,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174857,RNA-Seq,76,433743248,PRJNA644919,SAMN15484005,184949814,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX8689515,GSM4663047,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663047,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174858,RNA-Seq,76,394269532,PRJNA644919,SAMN15484004,170018474,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX8689516,GSM4663048,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663048,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174859,RNA-Seq,76,497707128,PRJNA644919,SAMN15484003,212031303,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX8689517,GSM4663049,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663049,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174860,RNA-Seq,76,406573552,PRJNA644919,SAMN15484002,173134907,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX8689518,GSM4663050,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663050,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174861,RNA-Seq,76,521297832,PRJNA644919,SAMN15483746,220242479,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX8689519,GSM4663051,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663051,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174862,RNA-Seq,76,520834764,PRJNA644919,SAMN15483745,219838643,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX8689520,GSM4663052,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663052,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174863,RNA-Seq,76,548413720,PRJNA644919,SAMN15483744,233422960,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX8689521,GSM4663053,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663053,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174864,RNA-Seq,76,529821992,PRJNA644919,SAMN15483743,224516646,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX8689522,GSM4663054,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663054,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174865,RNA-Seq,76,446499468,PRJNA644919,SAMN15483742,190161407,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX8689523,GSM4663055,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663055,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174866,RNA-Seq,76,469474496,PRJNA644919,SAMN15483741,200631950,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX8689524,GSM4663056,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663056,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174867,RNA-Seq,76,373374396,PRJNA644919,SAMN15483740,159074551,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX8689525,GSM4663057,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663057,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174868,RNA-Seq,76,344085364,PRJNA644919,SAMN15483739,147648065,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX8689526,GSM4663058,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663058,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174869,RNA-Seq,76,424216344,PRJNA644919,SAMN15483738,182186387,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX8689527,GSM4663059,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663059,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174870,RNA-Seq,76,483178664,PRJNA644919,SAMN15483737,204799537,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX8689528,GSM4663060,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663060,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174871,RNA-Seq,76,411414068,PRJNA644919,SAMN15483736,175142633,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX8689529,GSM4663061,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663061,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174872,RNA-Seq,76,400285996,PRJNA644919,SAMN15483735,170555149,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX8689530,GSM4663062,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663062,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174873,RNA-Seq,76,420666080,PRJNA644919,SAMN15483734,178542195,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX8689531,GSM4663063,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663063,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174874,RNA-Seq,76,527836416,PRJNA644919,SAMN15483903,223564572,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX8689532,GSM4663064,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663064,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174875,RNA-Seq,76,479137288,PRJNA644919,SAMN15483902,203532717,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX8689533,GSM4663065,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663065,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174876,RNA-Seq,76,478262300,PRJNA644919,SAMN15483901,204732783,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX8689534,GSM4663066,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663066,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174877,RNA-Seq,76,529150456,PRJNA644919,SAMN15483769,227189972,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX8689535,GSM4663067,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663067,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174878,RNA-Seq,76,534349160,PRJNA644919,SAMN15483768,227169803,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX8689536,GSM4663068,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663068,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174879,RNA-Seq,76,393430644,PRJNA644919,SAMN15483767,167901487,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX8689537,GSM4663069,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663069,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
SRR12174880,RNA-Seq,76,536300232,PRJNA644919,SAMN15483766,227091319,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX8689538,GSM4663070,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663070,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174881,RNA-Seq,76,404694072,PRJNA644919,SAMN15483765,173240027,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX8689539,GSM4663071,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663071,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Regorafenib
SRR12174882,RNA-Seq,76,487300448,PRJNA644919,SAMN15483764,206363585,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX8689540,GSM4663072,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-01T00:00:00Z,GSM4663072,FFPE GBM tumor tissue,SRP270958,FFPE GBM tumor tissue,Lomustine
