Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,subject_status,tumor/non-tumor,AssemblyName,GEO_Accession (exp),intentional_duplicate (run),Library Name
SRR10969200,RNA-Seq,272,16439318447,PRJNA603277,SAMN13927119,2923315304,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX7634799,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284620,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284620,,
SRR10969201,RNA-Seq,266,15297852675,PRJNA603277,SAMN13927118,2198404950,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634800,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284621,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284621,,
SRR10969202,RNA-Seq,270,17153410915,PRJNA603277,SAMN13927117,2708826146,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634801,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284622,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284622,,
SRR10969203,RNA-Seq,266,22535417186,PRJNA603277,SAMN13927116,3416979809,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX7634802,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284623,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284623,,
SRR10969204,RNA-Seq,275,16660246075,PRJNA603277,SAMN13927115,2547758732,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX7634803,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284624,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284624,,
SRR10969205,RNA-Seq,273,14540732431,PRJNA603277,SAMN13927114,2139926586,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX7634804,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284625,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284625,,
SRR10969206,RNA-Seq,273,17605348348,PRJNA603277,SAMN13927113,3059038025,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX7634805,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284626,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284626,,
SRR10969207,RNA-Seq,266,15230156887,PRJNA603277,SAMN13927112,2203519575,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634806,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284627,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284627,,
SRR10969208,RNA-Seq,271,12014939834,PRJNA603277,SAMN13927111,2124727491,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX7634807,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284628,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284628,,
SRR10969209,RNA-Seq,261,15018679589,PRJNA603277,SAMN13927110,2513250617,GEO,public,"sra,bam","gs,s3","s3.us-east-1,gs.US",SRX7634876,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284629,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284629,,
SRR10969210,RNA-Seq,271,18093829216,PRJNA603277,SAMN13927169,2661327305,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX7634877,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284630,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284630,,
SRR10969211,RNA-Seq,269,16611054888,PRJNA603277,SAMN13927168,2251678445,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634878,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284631,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284631,,
SRR10969212,RNA-Seq,271,16813923516,PRJNA603277,SAMN13927167,2415012062,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634879,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284632,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284632,,
SRR10969213,RNA-Seq,264,15867551711,PRJNA603277,SAMN13927166,2190304903,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX7634880,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284633,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284633,,
SRR10969214,RNA-Seq,272,15944114447,PRJNA603277,SAMN13927165,2312622886,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634881,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284634,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284634,,
SRR10969215,RNA-Seq,266,14702982058,PRJNA603277,SAMN13927054,1937910758,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX7634882,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284635,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284635,,
SRR10969216,RNA-Seq,275,19071255046,PRJNA603277,SAMN13927053,2812046310,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX7634883,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284636,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284636,,
SRR10969217,RNA-Seq,268,12808692091,PRJNA603277,SAMN13927081,1932011148,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX7634884,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284637,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284637,,
SRR10969218,RNA-Seq,266,23647749882,PRJNA603277,SAMN13927080,4725799517,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX7634885,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284638,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284638,,
SRR10969219,RNA-Seq,269,16250413193,PRJNA603277,SAMN13927079,2690537296,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX7634886,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284639,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284639,,
SRR10969220,RNA-Seq,259,23320737839,PRJNA603277,SAMN13927078,5203901710,GEO,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX7634887,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284640,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284640,,
SRR10969221,RNA-Seq,264,12611070571,PRJNA603277,SAMN13927077,2025292688,GEO,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX7634888,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284641,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284641,,
SRR10969222,RNA-Seq,271,18262645120,PRJNA603277,SAMN13927076,2872390395,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX7634889,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284642,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284642,,
SRR10969223,RNA-Seq,265,12462535885,PRJNA603277,SAMN13927075,1817277227,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX7634890,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284643,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284643,,
SRR10969224,RNA-Seq,273,17088910877,PRJNA603277,SAMN13927074,2487509329,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX7634891,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284644,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284644,,
SRR10969225,RNA-Seq,263,14244792445,PRJNA603277,SAMN13927073,2277577375,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX7634892,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284645,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284645,,
SRR10969226,RNA-Seq,274,16918059566,PRJNA603277,SAMN13927072,2439524352,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634893,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284646,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GRCH38,GSM4284646,,
SRR10969227,RNA-Seq,270,16154533453,PRJNA603277,SAMN13927071,2706752806,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX7634894,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284647,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GRCH38,GSM4284647,,
SRR10969228,RNA-Seq,256,12474195815,PRJNA603277,SAMN13927070,3010978768,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX7634895,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284648,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GRCH38,GSM4284648,,
SRR10969229,RNA-Seq,266,22802699018,PRJNA603277,SAMN13927069,3063458306,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634896,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284649,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GRCH38,GSM4284649,,
SRR10969230,RNA-Seq,272,14391792621,PRJNA603277,SAMN13927068,2124699800,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX7634897,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284650,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GRCH38,GSM4284650,,
SRR10969231,RNA-Seq,268,16902609783,PRJNA603277,SAMN13927067,2390152484,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX7634898,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284651,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GRCH38,GSM4284651,,
SRR10969232,RNA-Seq,279,15330504331,PRJNA603277,SAMN13927066,2171908070,GEO,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX7634899,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284652,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GRCH38,GSM4284652,,
SRR10969233,RNA-Seq,252,14348811510,PRJNA603277,SAMN13927065,3271789554,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634900,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284653,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GCF_000001405.29,GSM4284653,,
SRR10969234,RNA-Seq,253,14505225742,PRJNA603277,SAMN13927064,3707540536,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634901,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284654,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GCF_000001405.29,GSM4284654,,
SRR10969235,RNA-Seq,270,16309694498,PRJNA603277,SAMN13927063,2241339433,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX7634902,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284655,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GRCH38,GSM4284655,,
SRR10969236,RNA-Seq,271,19934240856,PRJNA603277,SAMN13927062,2964233404,GEO,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX7634903,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284656,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GRCH38,GSM4284656,,
SRR10969237,RNA-Seq,268,17178135236,PRJNA603277,SAMN13927061,2717547762,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX7634904,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284657,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GRCH38,GSM4284657,,
SRR10969238,RNA-Seq,269,15830972499,PRJNA603277,SAMN13927059,2426740674,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634905,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284658,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GRCH38,GSM4284658,,
SRR10969239,RNA-Seq,266,15792690976,PRJNA603277,SAMN13927058,2686001576,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX7634906,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284659,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GRCH38,GSM4284659,,
SRR10969240,RNA-Seq,276,16258007506,PRJNA603277,SAMN13927057,2844488042,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX7634907,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284660,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GRCH38,GSM4284660,,
SRR10969241,RNA-Seq,271,14997364521,PRJNA603277,SAMN13927056,2450902121,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX7634908,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284661,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GRCH38,GSM4284661,,
SRR10969242,RNA-Seq,273,16233348469,PRJNA603277,SAMN13927055,2696904372,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX7634909,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284662,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GRCH38,GSM4284662,,
SRR10969243,RNA-Seq,265,15510630694,PRJNA603277,SAMN13927109,2153601035,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX7634910,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284663,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GRCH38,GSM4284663,,
SRR10969244,RNA-Seq,275,17676554531,PRJNA603277,SAMN13927108,2748994162,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX7634911,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284664,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GRCH38,GSM4284664,,
SRR10969245,RNA-Seq,267,19231055327,PRJNA603277,SAMN13927144,2664203449,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX7634912,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284665,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GRCH38,GSM4284665,,
SRR10969246,RNA-Seq,275,18380028950,PRJNA603277,SAMN13927143,2774422424,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX7634913,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284666,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GRCH38,GSM4284666,,
SRR10969247,RNA-Seq,266,15064405484,PRJNA603277,SAMN13927142,2436574990,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX7634914,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284667,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GRCH38,GSM4284667,,
SRR10969248,RNA-Seq,271,17544433569,PRJNA603277,SAMN13927141,2664064851,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX7634915,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284668,liver tissue,SRP245346,hepatocellular carcinoma patient,non-tumor,GRCH38,GSM4284668,,
SRR10969249,RNA-Seq,275,17352839287,PRJNA603277,SAMN13927140,2325186676,GEO,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX7634916,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-08-04T00:00:00Z,GSM4284669,liver tissue,SRP245346,hepatocellular carcinoma patient,tumor,GRCH38,GSM4284669,,
