Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR7965786,RNA-Seq,51,661215612,PRJNA494710,SAMN10177843,450214830,GEO,BiVentricular Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799409,GSM3417076,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417076,Right Ventricle,SRP163478,Right Ventricle
SRR7965787,RNA-Seq,51,547822212,PRJNA494710,SAMN10177842,373621646,GEO,BiVentricular Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799410,GSM3417077,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417077,Right Ventricle,SRP163478,Right Ventricle
SRR7965788,RNA-Seq,50,570892854,PRJNA494710,SAMN10177841,390690416,GEO,BiVentricular Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799411,GSM3417078,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417078,Right Ventricle,SRP163478,Right Ventricle
SRR7965789,RNA-Seq,51,574419273,PRJNA494710,SAMN10177840,392531887,GEO,BiVentricular Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799412,GSM3417079,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417079,Right Ventricle,SRP163478,Right Ventricle
SRR7965790,RNA-Seq,51,655361067,PRJNA494710,SAMN10177839,446516892,GEO,BiVentricular Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799413,GSM3417080,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417080,Right Ventricle,SRP163478,Right Ventricle
SRR7965791,RNA-Seq,50,637613312,PRJNA494710,SAMN10177838,412625517,GEO,Not Failing,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799414,GSM3417081,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417081,Left Ventricle,SRP163478,Left Ventricle
SRR7965792,RNA-Seq,51,835854198,PRJNA494710,SAMN10177837,542193181,GEO,Not Failing,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799415,GSM3417082,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417082,Left Ventricle,SRP163478,Left Ventricle
SRR7965793,RNA-Seq,51,485781681,PRJNA494710,SAMN10177836,313404106,GEO,Not Failing,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799416,GSM3417083,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417083,Left Ventricle,SRP163478,Left Ventricle
SRR7965794,RNA-Seq,51,749039244,PRJNA494710,SAMN10177835,480874155,GEO,Not Failing,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799417,GSM3417084,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417084,Left Ventricle,SRP163478,Left Ventricle
SRR7965795,RNA-Seq,51,724837602,PRJNA494710,SAMN10177834,467674714,GEO,Not Failing,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799418,GSM3417085,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417085,Left Ventricle,SRP163478,Left Ventricle
SRR7965796,RNA-Seq,49,542735728,PRJNA494710,SAMN10177833,351383484,GEO,Left Ventricle Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799419,GSM3417086,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417086,Left Ventricle,SRP163478,Left Ventricle
SRR7965797,RNA-Seq,51,663074715,PRJNA494710,SAMN10177832,427168161,GEO,Left Ventricle Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799420,GSM3417087,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417087,Left Ventricle,SRP163478,Left Ventricle
SRR7965798,RNA-Seq,51,697252416,PRJNA494710,SAMN10177831,451122793,GEO,Left Ventricle Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799421,GSM3417088,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417088,Left Ventricle,SRP163478,Left Ventricle
SRR7965799,RNA-Seq,51,543266841,PRJNA494710,SAMN10177830,351174972,GEO,Left Ventricle Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799422,GSM3417089,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417089,Left Ventricle,SRP163478,Left Ventricle
SRR7965800,RNA-Seq,51,758810181,PRJNA494710,SAMN10177829,491778281,GEO,Left Ventricle Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799423,GSM3417090,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417090,Left Ventricle,SRP163478,Left Ventricle
SRR7965801,RNA-Seq,51,743879319,PRJNA494710,SAMN10177828,479456586,GEO,BiVentricular Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799424,GSM3417091,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417091,Left Ventricle,SRP163478,Left Ventricle
SRR7965802,RNA-Seq,51,715634754,PRJNA494710,SAMN10177827,465235868,GEO,BiVentricular Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799425,GSM3417092,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417092,Left Ventricle,SRP163478,Left Ventricle
SRR7965803,RNA-Seq,51,562707684,PRJNA494710,SAMN10177826,364353743,GEO,BiVentricular Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799426,GSM3417093,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417093,Left Ventricle,SRP163478,Left Ventricle
SRR7965804,RNA-Seq,51,764117802,PRJNA494710,SAMN10177825,497480888,GEO,BiVentricular Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799427,GSM3417094,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417094,Left Ventricle,SRP163478,Left Ventricle
SRR7965805,RNA-Seq,51,699168078,PRJNA494710,SAMN10177824,454746922,GEO,BiVentricular Heart Failure,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4799428,GSM3417095,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3417095,Left Ventricle,SRP163478,Left Ventricle
