Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_subset,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR3924150,RNA-Seq,50,229153850,PRJNA329186,SAMN05392619,112270477,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950656,GSM2236281,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236281,Cryopreserved PBMC,SRP078560
SRR3924151,RNA-Seq,50,247739250,PRJNA329186,SAMN05392619,120088355,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950656,GSM2236281,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236281,Cryopreserved PBMC,SRP078560
SRR3924156,RNA-Seq,50,317467050,PRJNA329186,SAMN05392621,146004912,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950658,GSM2236283,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236283,Cryopreserved PBMC,SRP078560
SRR3924157,RNA-Seq,50,317815750,PRJNA329186,SAMN05392621,145442187,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950658,GSM2236283,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236283,Cryopreserved PBMC,SRP078560
SRR3924158,RNA-Seq,50,318430200,PRJNA329186,SAMN05392621,146060827,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950658,GSM2236283,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236283,Cryopreserved PBMC,SRP078560
SRR3924159,RNA-Seq,50,320655000,PRJNA329186,SAMN05392621,147392187,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950658,GSM2236283,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236283,Cryopreserved PBMC,SRP078560
SRR3924164,RNA-Seq,50,314896250,PRJNA329186,SAMN05392623,143779651,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950660,GSM2236285,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236285,Cryopreserved PBMC,SRP078560
SRR3924165,RNA-Seq,50,317184400,PRJNA329186,SAMN05392623,143651658,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950660,GSM2236285,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236285,Cryopreserved PBMC,SRP078560
SRR3924166,RNA-Seq,50,317485250,PRJNA329186,SAMN05392623,144328510,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950660,GSM2236285,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236285,Cryopreserved PBMC,SRP078560
SRR3924167,RNA-Seq,50,318933400,PRJNA329186,SAMN05392623,145355547,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950660,GSM2236285,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236285,Cryopreserved PBMC,SRP078560
SRR3924172,RNA-Seq,50,359116900,PRJNA329186,SAMN05392625,164760606,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950662,GSM2236287,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236287,Cryopreserved PBMC,SRP078560
SRR3924173,RNA-Seq,50,361005150,PRJNA329186,SAMN05392625,164576739,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950662,GSM2236287,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236287,Cryopreserved PBMC,SRP078560
SRR3924174,RNA-Seq,50,361099450,PRJNA329186,SAMN05392625,165062881,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950662,GSM2236287,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236287,Cryopreserved PBMC,SRP078560
SRR3924175,RNA-Seq,50,362768600,PRJNA329186,SAMN05392625,166237695,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950662,GSM2236287,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236287,Cryopreserved PBMC,SRP078560
SRR3924180,RNA-Seq,50,349645700,PRJNA329186,SAMN05392627,161853015,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950664,GSM2236289,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236289,Cryopreserved PBMC,SRP078560
SRR3924181,RNA-Seq,50,347529000,PRJNA329186,SAMN05392627,160252397,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950664,GSM2236289,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236289,Cryopreserved PBMC,SRP078560
SRR3924182,RNA-Seq,50,348174100,PRJNA329186,SAMN05392627,160896334,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950664,GSM2236289,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236289,Cryopreserved PBMC,SRP078560
SRR3924183,RNA-Seq,50,353384350,PRJNA329186,SAMN05392627,163335462,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950664,GSM2236289,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236289,Cryopreserved PBMC,SRP078560
SRR3924188,RNA-Seq,50,282512150,PRJNA329186,SAMN05392629,130042901,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950666,GSM2236291,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236291,Cryopreserved PBMC,SRP078560
SRR3924189,RNA-Seq,50,286011150,PRJNA329186,SAMN05392629,130729513,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950666,GSM2236291,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236291,Cryopreserved PBMC,SRP078560
SRR3924190,RNA-Seq,50,284484000,PRJNA329186,SAMN05392629,130474329,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950666,GSM2236291,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236291,Cryopreserved PBMC,SRP078560
SRR3924191,RNA-Seq,50,286452000,PRJNA329186,SAMN05392629,131766444,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950666,GSM2236291,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236291,Cryopreserved PBMC,SRP078560
SRR3924196,RNA-Seq,50,210573100,PRJNA329186,SAMN05392631,96715762,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950668,GSM2236293,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236293,Cryopreserved PBMC,SRP078560
SRR3924197,RNA-Seq,50,213504350,PRJNA329186,SAMN05392631,97345364,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950668,GSM2236293,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236293,Cryopreserved PBMC,SRP078560
SRR3924198,RNA-Seq,50,212348900,PRJNA329186,SAMN05392631,97124052,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950668,GSM2236293,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236293,Cryopreserved PBMC,SRP078560
SRR3924199,RNA-Seq,50,213853850,PRJNA329186,SAMN05392631,98067219,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950668,GSM2236293,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236293,Cryopreserved PBMC,SRP078560
SRR3924204,RNA-Seq,50,303940600,PRJNA329186,SAMN05392633,139767378,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950670,GSM2236295,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236295,Cryopreserved PBMC,SRP078560
SRR3924205,RNA-Seq,50,307907000,PRJNA329186,SAMN05392633,140559605,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950670,GSM2236295,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236295,Cryopreserved PBMC,SRP078560
SRR3924206,RNA-Seq,50,306586650,PRJNA329186,SAMN05392633,140432487,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950670,GSM2236295,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236295,Cryopreserved PBMC,SRP078560
SRR3924207,RNA-Seq,50,308651500,PRJNA329186,SAMN05392633,141713025,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950670,GSM2236295,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236295,Cryopreserved PBMC,SRP078560
SRR3924212,RNA-Seq,50,343175350,PRJNA329186,SAMN05392635,158538476,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950672,GSM2236297,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236297,Cryopreserved PBMC,SRP078560
SRR3924213,RNA-Seq,50,344369250,PRJNA329186,SAMN05392635,158377438,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950672,GSM2236297,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236297,Cryopreserved PBMC,SRP078560
SRR3924214,RNA-Seq,50,343931150,PRJNA329186,SAMN05392635,158440233,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950672,GSM2236297,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236297,Cryopreserved PBMC,SRP078560
SRR3924215,RNA-Seq,50,348559300,PRJNA329186,SAMN05392635,160741900,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950672,GSM2236297,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236297,Cryopreserved PBMC,SRP078560
SRR3924220,RNA-Seq,50,261433500,PRJNA329186,SAMN05392637,120505328,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950674,GSM2236299,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236299,Cryopreserved PBMC,SRP078560
SRR3924221,RNA-Seq,50,262816350,PRJNA329186,SAMN05392637,120357194,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950674,GSM2236299,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236299,Cryopreserved PBMC,SRP078560
SRR3924222,RNA-Seq,50,261392450,PRJNA329186,SAMN05392637,120070383,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950674,GSM2236299,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236299,Cryopreserved PBMC,SRP078560
SRR3924223,RNA-Seq,50,261312900,PRJNA329186,SAMN05392637,120312638,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950674,GSM2236299,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236299,Cryopreserved PBMC,SRP078560
SRR3924228,RNA-Seq,50,317383750,PRJNA329186,SAMN05392605,145330886,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950676,GSM2236301,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236301,Cryopreserved PBMC,SRP078560
SRR3924229,RNA-Seq,50,319156850,PRJNA329186,SAMN05392605,145054954,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950676,GSM2236301,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236301,Cryopreserved PBMC,SRP078560
SRR3924230,RNA-Seq,50,318400350,PRJNA329186,SAMN05392605,145168304,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950676,GSM2236301,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236301,Cryopreserved PBMC,SRP078560
SRR3924231,RNA-Seq,50,318106800,PRJNA329186,SAMN05392605,145358671,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950676,GSM2236301,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236301,Cryopreserved PBMC,SRP078560
SRR3924236,RNA-Seq,50,289703600,PRJNA329186,SAMN05392599,133773108,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950678,GSM2236303,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236303,Cryopreserved PBMC,SRP078560
SRR3924237,RNA-Seq,50,291284800,PRJNA329186,SAMN05392599,133548005,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950678,GSM2236303,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236303,Cryopreserved PBMC,SRP078560
SRR3924238,RNA-Seq,50,289912450,PRJNA329186,SAMN05392599,133359417,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950678,GSM2236303,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236303,Cryopreserved PBMC,SRP078560
SRR3924239,RNA-Seq,50,289268750,PRJNA329186,SAMN05392599,133363313,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950678,GSM2236303,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236303,Cryopreserved PBMC,SRP078560
SRR3924244,RNA-Seq,50,352481700,PRJNA329186,SAMN05392601,162957169,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950680,GSM2236305,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236305,Cryopreserved PBMC,SRP078560
SRR3924245,RNA-Seq,50,352982450,PRJNA329186,SAMN05392601,162215328,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950680,GSM2236305,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236305,Cryopreserved PBMC,SRP078560
SRR3924246,RNA-Seq,50,351617500,PRJNA329186,SAMN05392601,162001744,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950680,GSM2236305,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236305,Cryopreserved PBMC,SRP078560
SRR3924247,RNA-Seq,50,352223250,PRJNA329186,SAMN05392601,162501333,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Healthy,SRX1950680,GSM2236305,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236305,Cryopreserved PBMC,SRP078560
SRR3924252,RNA-Seq,50,276211200,PRJNA329186,SAMN05392603,128077440,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950682,GSM2236307,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236307,Cryopreserved PBMC,SRP078560
SRR3924253,RNA-Seq,50,273255600,PRJNA329186,SAMN05392603,126556133,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950682,GSM2236307,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236307,Cryopreserved PBMC,SRP078560
SRR3924254,RNA-Seq,50,271685000,PRJNA329186,SAMN05392603,126316163,Memory CD3+CD8+ T cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Latent tuberculosis infection,SRX1950682,GSM2236307,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-12T00:00:00Z,GSM2236307,Cryopreserved PBMC,SRP078560
