Run;Assay Type;AvgSpotLen;Bases;BioProject;BioSample;Bytes;Cell_Line;Cell_type;Center Name;Consent;DATASTORE filetype;DATASTORE provider;DATASTORE region;Experiment;GEO_Accession (exp);Instrument;LibraryLayout;LibrarySelection;LibrarySource;Organism;Platform;ReleaseDate;Sample Name;source_name;SRA Study;;;
SRR7820911;RNA-Seq;250;7931108876;PRJNA490436;SAMN10036381;3333551621;2726;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672078;GSM3384776;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384776;glioblastoma multiforme;SRP161553;;SRR7820911;SRR7820911
SRR7820912;RNA-Seq;253;12262479235;PRJNA490436;SAMN10036380;5018746598;2894;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672079;GSM3384777;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384777;glioblastoma multiforme;SRP161553;;SRR7820912;SRR7820912
SRR7820913;RNA-Seq;263;11508372635;PRJNA490436;SAMN10036379;4413872452;3052;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672080;GSM3384778;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384778;glioblastoma multiforme;SRP161553;;SRR7820913;SRR7820913
SRR7820914;RNA-Seq;214;2197835888;PRJNA490436;SAMN10036378;963905012;3057;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672081;GSM3384779;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384779;glioblastoma multiforme;SRP161553;;SRR7820914;SRR7820914
SRR7820915;RNA-Seq;251;11473278285;PRJNA490436;SAMN10036377;4731840379;3069;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672082;GSM3384780;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384780;glioblastoma multiforme;SRP161553;;SRR7820915;SRR7820915
SRR7820916;RNA-Seq;260;11498518721;PRJNA490436;SAMN10036376;4593560105;3117;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672083;GSM3384781;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384781;glioblastoma multiforme;SRP161553;;SRR7820916;SRR7820916
SRR7820917;RNA-Seq;258;9140519910;PRJNA490436;SAMN10036375;3678873448;3136;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672084;GSM3384782;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384782;glioblastoma multiforme;SRP161553;;SRR7820917;SRR7820917
SRR7820918;RNA-Seq;251;8487746087;PRJNA490436;SAMN10036374;3496219066;3145;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672085;GSM3384783;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384783;glioblastoma multiforme;SRP161553;;SRR7820918;SRR7820918
SRR7820919;RNA-Seq;254;8947056463;PRJNA490436;SAMN10036373;3703282444;3164;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672086;GSM3384784;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384784;glioblastoma multiforme;SRP161553;;SRR7820919;SRR7820919
SRR7820920;RNA-Seq;255;12454593117;PRJNA490436;SAMN10036432;5074552704;3226;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672087;GSM3384785;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384785;glioblastoma multiforme;SRP161553;;SRR7820920;SRR7820920
SRR7820921;RNA-Seq;258;8096705220;PRJNA490436;SAMN10036431;3137387894;3255;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672088;GSM3384786;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384786;glioblastoma multiforme;SRP161553;;SRR7820921;SRR7820921
SRR7820922;RNA-Seq;265;10567914369;PRJNA490436;SAMN10036430;4024642321;3291;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672089;GSM3384787;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384787;glioblastoma multiforme;SRP161553;;SRR7820922;SRR7820922
SRR7820923;RNA-Seq;258;11506691510;PRJNA490436;SAMN10036429;4618021414;3335;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672090;GSM3384788;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384788;glioblastoma multiforme;SRP161553;;SRR7820923;SRR7820923
SRR7820924;RNA-Seq;254;11078870870;PRJNA490436;SAMN10036428;4522223640;3363;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672091;GSM3384789;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384789;glioblastoma multiforme;SRP161553;;SRR7820924;SRR7820924
SRR7820925;RNA-Seq;258;7502906623;PRJNA490436;SAMN10036435;2860905214;3367;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672092;GSM3384790;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384790;glioblastoma multiforme;SRP161553;;SRR7820925;SRR7820925
SRR7820926;RNA-Seq;243;11005191110;PRJNA490436;SAMN10036434;4637469898;3373;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672093;GSM3384791;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384791;glioblastoma multiforme;SRP161553;;SRR7820926;SRR7820926
SRR7820927;RNA-Seq;263;11524487029;PRJNA490436;SAMN10036433;4394415590;3381;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672094;GSM3384792;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384792;glioblastoma multiforme;SRP161553;;SRR7820927;SRR7820927
SRR7820928;RNA-Seq;243;6861229129;PRJNA490436;SAMN10036480;2872481709;3463;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672095;GSM3384793;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384793;glioblastoma multiforme;SRP161553;;SRR7820928;SRR7820928
SRR7820929;RNA-Seq;265;13780589439;PRJNA490436;SAMN10036479;5242956670;3570;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672096;GSM3384794;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384794;glioblastoma multiforme;SRP161553;;SRR7820929;SRR7820929
SRR7820930;RNA-Seq;263;13335790786;PRJNA490436;SAMN10036478;5085791808;3620;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672097;GSM3384795;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384795;glioblastoma multiforme;SRP161553;;SRR7820930;SRR7820930
SRR7820931;RNA-Seq;243;6850430726;PRJNA490436;SAMN10036477;2898516714;3665;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672098;GSM3384796;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384796;glioblastoma multiforme;SRP161553;;SRR7820931;SRR7820931
SRR7820932;RNA-Seq;258;10640866834;PRJNA490436;SAMN10036476;4266951785;3688;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672099;GSM3384797;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384797;glioblastoma multiforme;SRP161553;;SRR7820932;SRR7820932
SRR7820933;RNA-Seq;241;9032228867;PRJNA490436;SAMN10036475;3850595611;DI102;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672100;GSM3384798;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384798;glioblastoma multiforme;SRP161553;;SRR7820933;SRR7820933
SRR7820934;RNA-Seq;258;11140264403;PRJNA490436;SAMN10036474;4508270888;DI36;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672101;GSM3384799;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384799;glioblastoma multiforme;SRP161553;;SRR7820934;SRR7820934
SRR7820935;RNA-Seq;258;11300701106;PRJNA490436;SAMN10036473;4570697612;2545;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672102;GSM3384800;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384800;glioblastoma multiforme;SRP161553;;SRR7820935;SRR7820935
SRR7820936;RNA-Seq;250;10602842053;PRJNA490436;SAMN10036472;4399655970;3388;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672103;GSM3384801;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384801;glioblastoma multiforme;SRP161553;;SRR7820936;SRR7820936
SRR7820937;RNA-Seq;232;6850949084;PRJNA490436;SAMN10036471;2951227533;3438;glioblastoma multiforme;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672104;GSM3384802;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384802;glioblastoma multiforme;SRP161553;;SRR7820937;SRR7820937
SRR7820938;RNA-Seq;259;11513120569;PRJNA490436;SAMN10036470;4448030741;3028;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672105;GSM3384803;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384803;glioblastoma stem cell;SRP161553;;;SRR7820938
SRR7820939;RNA-Seq;262;12908845957;PRJNA490436;SAMN10036469;4966546349;HSJD001;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672106;GSM3384804;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384804;glioblastoma stem cell;SRP161553;;;SRR7820939
SRR7820940;RNA-Seq;259;13309483659;PRJNA490436;SAMN10036468;5133093936;RKI;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672107;GSM3384805;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384805;glioblastoma stem cell;SRP161553;;;SRR7820940
SRR7820941;RNA-Seq;263;14524038064;PRJNA490436;SAMN10036467;5530171581;3136;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672108;GSM3384806;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384806;glioblastoma stem cell;SRP161553;;;SRR7820941
SRR7820942;RNA-Seq;263;13423102278;PRJNA490436;SAMN10036466;5166856332;2997;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672109;GSM3384807;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384807;glioblastoma stem cell;SRP161553;;;SRR7820942
SRR7820943;RNA-Seq;257;12491193579;PRJNA490436;SAMN10036465;4910591188;HSJD007;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672110;GSM3384808;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384808;glioblastoma stem cell;SRP161553;;;SRR7820943
SRR7820944;RNA-Seq;261;13128059167;PRJNA490436;SAMN10036464;5081360598;3565;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672111;GSM3384809;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384809;glioblastoma stem cell;SRP161553;;;SRR7820944
SRR7820945;RNA-Seq;259;12263479856;PRJNA490436;SAMN10036463;4751004954;CW2080-2;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672112;GSM3384810;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384810;glioblastoma stem cell;SRP161553;;;SRR7820945
SRR7820946;RNA-Seq;263;15981446440;PRJNA490436;SAMN10036462;6088342897;3128;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672113;GSM3384811;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384811;glioblastoma stem cell;SRP161553;;;SRR7820946
SRR7820947;RNA-Seq;255;14341205579;PRJNA490436;SAMN10036461;5601802567;CW738;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672114;GSM3384812;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384812;glioblastoma stem cell;SRP161553;;;SRR7820947
SRR7820948;RNA-Seq;259;11459514878;PRJNA490436;SAMN10036460;4427465303;MES20;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672115;GSM3384813;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384813;glioblastoma stem cell;SRP161553;;;SRR7820948
SRR7820949;RNA-Seq;260;11536238155;PRJNA490436;SAMN10036459;4430414292;1552;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672116;GSM3384814;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384814;glioblastoma stem cell;SRP161553;;;SRR7820949
SRR7820950;RNA-Seq;261;13249359445;PRJNA490436;SAMN10036458;5077065118;1953;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672117;GSM3384815;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384815;glioblastoma stem cell;SRP161553;;;SRR7820950
SRR7820951;RNA-Seq;258;12185478197;PRJNA490436;SAMN10036457;4726416881;2229;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672118;GSM3384816;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384816;glioblastoma stem cell;SRP161553;;;SRR7820951
SRR7820952;RNA-Seq;260;11458712522;PRJNA490436;SAMN10036408;4454024496;PNMNK1;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672119;GSM3384817;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384817;glioblastoma stem cell;SRP161553;;;SRR7820952
SRR7820953;RNA-Seq;259;13523881155;PRJNA490436;SAMN10036407;5296865490;3752;glioblastoma stem cell;GEO;public;fastq,sra;gs,ncbi,s3;gs.US,ncbi.public,s3.us-east-1;SRX4672120;GSM3384818;Illumina HiSeq 2500;PAIRED;cDNA;TRANSCRIPTOMIC;Homo sapiens;ILLUMINA;2019-03-19T00:00:00Z;GSM3384818;glioblastoma stem cell;SRP161553;;;SRR7820953
