Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,time_point,tissue,dangling_references (run)
SRR8197979,RNA-Seq,GRCh37.p13,115,2477570728,PRJNA505785,SAMN10435202,1476067550,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017356,GSM3476377,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476377,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197980,RNA-Seq,GRCh37.p13,115,2748076397,PRJNA505785,SAMN10435201,1599111947,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017357,GSM3476378,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476378,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197981,RNA-Seq,GRCh37.p13,115,2692897555,PRJNA505785,SAMN10435200,1582252758,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017358,GSM3476379,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476379,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197982,RNA-Seq,GRCh37.p13,115,2654118518,PRJNA505785,SAMN10435199,1547054279,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017359,GSM3476380,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476380,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197983,RNA-Seq,GRCh37.p13,116,2309118161,PRJNA505785,SAMN10435198,1385128276,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017360,GSM3476381,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476381,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197984,RNA-Seq,GRCh37.p13,117,2615825726,PRJNA505785,SAMN10435197,1547542417,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017361,GSM3476382,Infected with M Smeg,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476382,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197985,RNA-Seq,GRCh37.p13,117,2339813890,PRJNA505785,SAMN10435196,1393097280,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017362,GSM3476383,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476383,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197986,RNA-Seq,GRCh37.p13,117,3109846783,PRJNA505785,SAMN10435195,1825263179,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017363,GSM3476384,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476384,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197987,RNA-Seq,GRCh37.p13,115,2823153055,PRJNA505785,SAMN10435194,1640367978,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017364,GSM3476385,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476385,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197988,RNA-Seq,GRCh37.p13,115,2465718581,PRJNA505785,SAMN10435193,1453036146,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017365,GSM3476386,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476386,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197989,RNA-Seq,GRCh37.p13,115,2335253800,PRJNA505785,SAMN10435192,1384457873,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017366,GSM3476387,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476387,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197990,RNA-Seq,GRCh37.p13,116,2630172410,PRJNA505785,SAMN10435191,1567055403,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017367,GSM3476388,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476388,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197991,RNA-Seq,GRCh37.p13,116,2347008885,PRJNA505785,SAMN10435239,1404279727,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017368,GSM3476389,Infected with M Smeg,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476389,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197992,RNA-Seq,GRCh37.p13,115,2826105931,PRJNA505785,SAMN10435238,1676915761,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017369,GSM3476390,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476390,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197993,RNA-Seq,GRCh37.p13,116,2708998936,PRJNA505785,SAMN10435237,1608312165,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017370,GSM3476391,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476391,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197994,RNA-Seq,GRCh37.p13,115,2444216799,PRJNA505785,SAMN10435236,1431337873,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017371,GSM3476392,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476392,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197995,RNA-Seq,GRCh37.p13,115,2478319981,PRJNA505785,SAMN10435235,1457337052,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017372,GSM3476393,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476393,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197996,RNA-Seq,GRCh37.p13,115,2234589029,PRJNA505785,SAMN10435234,1333453219,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017373,GSM3476394,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476394,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197997,RNA-Seq,GRCh37.p13,115,2235979334,PRJNA505785,SAMN10435233,1327519756,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017374,GSM3476395,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476395,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197998,RNA-Seq,GRCh37.p13,115,2405258542,PRJNA505785,SAMN10435232,1413423597,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017375,GSM3476396,Infected with M Smeg,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476396,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8197999,RNA-Seq,GRCh37.p13,115,2189774602,PRJNA505785,SAMN10435231,1300227705,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017376,GSM3476397,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476397,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198000,RNA-Seq,GRCh37.p13,115,2851469876,PRJNA505785,SAMN10435230,1663982527,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017377,GSM3476398,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476398,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198001,RNA-Seq,GRCh37.p13,115,2548696686,PRJNA505785,SAMN10435229,1511987868,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017378,GSM3476399,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476399,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198002,RNA-Seq,GRCh37.p13,114,2313065608,PRJNA505785,SAMN10435228,1387296986,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017379,GSM3476400,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476400,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198003,RNA-Seq,GRCh37.p13,115,2346202686,PRJNA505785,SAMN10435227,1391078195,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017380,GSM3476401,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476401,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198004,RNA-Seq,GRCh37.p13,115,2284034912,PRJNA505785,SAMN10435226,1365057878,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017381,GSM3476402,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476402,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198005,RNA-Seq,GRCh37.p13,115,2090795479,PRJNA505785,SAMN10435225,1255815058,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017382,GSM3476403,Infected with M Smeg,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476403,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198006,RNA-Seq,GRCh37.p13,115,2193919666,PRJNA505785,SAMN10435224,1321545467,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017383,GSM3476404,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476404,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198007,RNA-Seq,GRCh37.p13,115,2167060779,PRJNA505785,SAMN10435223,1305965465,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017384,GSM3476405,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476405,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198008,RNA-Seq,GRCh37.p13,115,3119397728,PRJNA505785,SAMN10435222,1814505619,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017385,GSM3476406,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476406,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198009,RNA-Seq,GRCh37.p13,115,2881091441,PRJNA505785,SAMN10435221,1711883642,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017386,GSM3476407,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476407,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198010,RNA-Seq,GRCh37.p13,115,2416541253,PRJNA505785,SAMN10435220,1445575247,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017387,GSM3476408,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476408,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198011,RNA-Seq,GRCh37.p13,114,2795018505,PRJNA505785,SAMN10435219,1659236923,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017388,GSM3476409,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476409,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198012,RNA-Seq,GRCh37.p13,115,2610803244,PRJNA505785,SAMN10435218,1506314427,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017389,GSM3476410,Infected with M Smeg,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476410,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198013,RNA-Seq,GRCh37.p13,115,2546928623,PRJNA505785,SAMN10435217,1512988756,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017390,GSM3476411,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476411,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198014,RNA-Seq,GRCh37.p13,114,2430311360,PRJNA505785,SAMN10435216,1421425309,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017391,GSM3476412,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476412,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198015,RNA-Seq,GRCh37.p13,114,2491451380,PRJNA505785,SAMN10435215,1468311741,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017392,GSM3476413,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476413,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198016,RNA-Seq,GRCh37.p13,117,2764312433,PRJNA505785,SAMN10435214,1644497832,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017393,GSM3476414,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476414,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198017,RNA-Seq,GRCh37.p13,115,2089902377,PRJNA505785,SAMN10435213,1230751346,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017394,GSM3476415,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476415,Peripheral Blood Mononuclear Cells,SRP169071,96 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198018,RNA-Seq,GRCh37.p13,116,2232306142,PRJNA505785,SAMN10435264,1344619387,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017395,GSM3476416,Uninfected,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476416,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198019,RNA-Seq,GRCh37.p13,115,2335467432,PRJNA505785,SAMN10435263,1374522386,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017396,GSM3476417,Infected with M Smeg,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476417,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198020,RNA-Seq,GRCh37.p13,115,2490668645,PRJNA505785,SAMN10435262,1472166699,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017397,GSM3476418,Infected with BCG,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476418,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
SRR8198021,RNA-Seq,GRCh37.p13,114,2128116444,PRJNA505785,SAMN10435261,1254082030,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5017398,GSM3476419,Infected with R179,Ion Torrent Proton,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2019-12-02T00:00:00Z,GSM3476419,Peripheral Blood Mononuclear Cells,SRP169071,12 hours post infection,Peripheral Blood Mononuclear Cells,treat_as_unmapped
