Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Group,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study,time,tissue
SRR9906526,RNA-Seq,99,290266563,PRJNA427961,SAMN12499920,139440107,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657528,GSM4008571,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008571,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906527,RNA-Seq,99,305085379,PRJNA427961,SAMN12499918,144750749,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657529,GSM4008572,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008572,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906528,RNA-Seq,99,274022869,PRJNA427961,SAMN12499917,128671278,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657530,GSM4008573,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008573,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906529,RNA-Seq,99,303573083,PRJNA427961,SAMN12499916,143043399,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657531,GSM4008574,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008574,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906530,RNA-Seq,99,321543586,PRJNA427961,SAMN12499915,153408170,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657532,GSM4008575,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008575,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906531,RNA-Seq,99,330775567,PRJNA427961,SAMN12499913,158238687,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657533,GSM4008576,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008576,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906532,RNA-Seq,99,334984776,PRJNA427961,SAMN12499921,160838180,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657534,GSM4008577,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008577,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906533,RNA-Seq,99,326365168,PRJNA427961,SAMN12499941,154475485,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657535,GSM4008578,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008578,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906534,RNA-Seq,99,304416861,PRJNA427961,SAMN12499940,145898413,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657536,GSM4008579,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008579,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906535,RNA-Seq,99,292245316,PRJNA427961,SAMN12499938,138858588,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657537,GSM4008580,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008580,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906536,RNA-Seq,99,278052753,PRJNA427961,SAMN12499937,131799275,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657538,GSM4008581,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008581,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906537,RNA-Seq,99,325158321,PRJNA427961,SAMN12499936,154243170,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657539,GSM4008582,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008582,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906538,RNA-Seq,99,354456017,PRJNA427961,SAMN12499935,167246395,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657540,GSM4008583,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008583,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906539,RNA-Seq,99,336233512,PRJNA427961,SAMN12499934,159350724,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657541,GSM4008584,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008584,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906540,RNA-Seq,99,319638883,PRJNA427961,SAMN12499932,151297894,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657542,GSM4008585,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008585,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906541,RNA-Seq,99,372293119,PRJNA427961,SAMN12499931,175609659,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657543,GSM4008586,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008586,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906542,RNA-Seq,99,253865892,PRJNA427961,SAMN12499930,120374546,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657544,GSM4008587,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008587,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906543,RNA-Seq,99,223127915,PRJNA427961,SAMN12499929,105673110,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657545,GSM4008588,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008588,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906544,RNA-Seq,99,266251287,PRJNA427961,SAMN12499928,129018149,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657546,GSM4008589,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008589,male,vastus lateralis,SRP127751,biopsy prior to exercise bout,Vastus Lateralis Muscle
SRR9906545,RNA-Seq,99,297730060,PRJNA427961,SAMN12499927,140565616,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657547,GSM4008590,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008590,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906546,RNA-Seq,99,281301409,PRJNA427961,SAMN12499925,132338154,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657548,GSM4008591,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008591,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906547,RNA-Seq,99,254956247,PRJNA427961,SAMN12499924,125583611,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657549,GSM4008592,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008592,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906548,RNA-Seq,99,271258158,PRJNA427961,SAMN12499923,133800436,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657550,GSM4008593,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008593,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906549,RNA-Seq,99,275982325,PRJNA427961,SAMN12499922,136488095,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657551,GSM4008594,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008594,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906550,RNA-Seq,99,312513189,PRJNA427961,SAMN12499899,149154150,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657552,GSM4008595,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008595,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906551,RNA-Seq,99,257965282,PRJNA427961,SAMN12499897,126625383,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657553,GSM4008596,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008596,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906552,RNA-Seq,99,297505589,PRJNA427961,SAMN12499896,146786586,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657554,GSM4008597,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008597,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906553,RNA-Seq,99,291921783,PRJNA427961,SAMN12499895,143373089,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657555,GSM4008598,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008598,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906554,RNA-Seq,99,344785792,PRJNA427961,SAMN12499970,164216257,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657556,GSM4008599,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008599,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906555,RNA-Seq,99,358204428,PRJNA427961,SAMN12499969,170862186,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657557,GSM4008600,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008600,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906556,RNA-Seq,99,275564892,PRJNA427961,SAMN12499968,131682121,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657558,GSM4008601,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008601,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906557,RNA-Seq,99,287614569,PRJNA427961,SAMN12499967,138064203,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657559,GSM4008602,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008602,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906558,RNA-Seq,99,395696501,PRJNA427961,SAMN12499965,188197894,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657560,GSM4008603,BMI<25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008603,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906559,RNA-Seq,99,314624714,PRJNA427961,SAMN12499964,148555852,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657561,GSM4008604,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008604,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906560,RNA-Seq,99,273996850,PRJNA427961,SAMN12499963,129148922,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657562,GSM4008605,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008605,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906561,RNA-Seq,99,269208503,PRJNA427961,SAMN12499956,127152700,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657563,GSM4008606,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008606,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906562,RNA-Seq,99,267924475,PRJNA427961,SAMN12499955,126384811,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657564,GSM4008607,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008607,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906563,RNA-Seq,99,285802247,PRJNA427961,SAMN12499954,135578983,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657565,GSM4008608,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008608,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906564,RNA-Seq,99,280809136,PRJNA427961,SAMN12499962,134218557,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657566,GSM4008609,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008609,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906565,RNA-Seq,99,316919128,PRJNA427961,SAMN12499961,150408570,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657567,GSM4008610,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008610,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906566,RNA-Seq,99,292569469,PRJNA427961,SAMN12499959,139427733,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657568,GSM4008611,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008611,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906567,RNA-Seq,99,252864081,PRJNA427961,SAMN12499958,119336983,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657569,GSM4008612,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008612,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906568,RNA-Seq,99,309171108,PRJNA427961,SAMN12499957,146170626,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657570,GSM4008613,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008613,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906569,RNA-Seq,99,270304851,PRJNA427961,SAMN12499952,128835590,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657571,GSM4008614,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008614,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906570,RNA-Seq,99,292358109,PRJNA427961,SAMN12499951,138653147,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657572,GSM4008615,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008615,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906571,RNA-Seq,99,294399833,PRJNA427961,SAMN12499950,139795416,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657573,GSM4008616,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008616,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906572,RNA-Seq,99,345278470,PRJNA427961,SAMN12499948,163963413,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657574,GSM4008617,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008617,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
SRR9906573,RNA-Seq,99,293901628,PRJNA427961,SAMN12499947,139652936,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6657575,GSM4008618,BMI>=25,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4008618,male,vastus lateralis,SRP127751,biopsy immediately following exercise bout,Vastus Lateralis Muscle
