,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,donor_id,passage,source_name,treatment,chip_antibody,geo_id,is_healthy,is_sample,condition
17,SRR10344767,ChIP-Seq,50,1290943550,PRJNA579487,SAMN13112384,496873005,human aortic endothelial cell,donor22,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
18,SRR10344768,ChIP-Seq,50,987760850,PRJNA579487,SAMN13112383,393083136,human aortic endothelial cell,donor23,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
19,SRR10344769,ChIP-Seq,50,1026934050,PRJNA579487,SAMN13112382,398504770,human aortic endothelial cell,donor24,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
20,SRR10344770,ChIP-Seq,50,652141600,PRJNA579487,SAMN13112381,244689279,human aortic endothelial cell,donor24,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
21,SRR10344771,ChIP-Seq,50,569011800,PRJNA579487,SAMN13112380,209340815,human aortic endothelial cell,donor25,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
22,SRR10344772,ChIP-Seq,50,702164600,PRJNA579487,SAMN13112379,263426471,human aortic endothelial cell,donor25,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
23,SRR10344773,ChIP-Seq,50,477957200,PRJNA579487,SAMN13112378,192523668,human aortic endothelial cell,donor26,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
24,SRR10344774,ChIP-Seq,50,1288345300,PRJNA579487,SAMN13112377,487781455,human aortic endothelial cell,donor27,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
25,SRR10344775,ChIP-Seq,50,1041249050,PRJNA579487,SAMN13112376,414086472,human aortic endothelial cell,donor28,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
26,SRR10344776,ChIP-Seq,50,958955250,PRJNA579487,SAMN13112375,366715461,human aortic endothelial cell,donor29,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
27,SRR10344777,ChIP-Seq,50,940731100,PRJNA579487,SAMN13112374,340860092,human aortic endothelial cell,donor30,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
28,SRR10344778,ChIP-Seq,50,328787700,PRJNA579487,SAMN13112373,124142614,human aortic endothelial cell,donor31,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
29,SRR10344779,ChIP-Seq,50,519798200,PRJNA579487,SAMN13112372,200950365,human aortic endothelial cell,donor31,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
30,SRR10344780,ChIP-Seq,50,685447700,PRJNA579487,SAMN13112371,254366880,human aortic endothelial cell,donor32,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
31,SRR10344781,ChIP-Seq,50,895504800,PRJNA579487,SAMN13112370,374629560,human aortic endothelial cell,donor33,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
32,SRR10344782,ChIP-Seq,50,1484524950,PRJNA579487,SAMN13112369,554156472,human aortic endothelial cell,donor36,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
33,SRR10344783,ChIP-Seq,50,738522450,PRJNA579487,SAMN13112368,277760247,human aortic endothelial cell,donor37,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
34,SRR10344784,ChIP-Seq,50,1164333350,PRJNA579487,SAMN13112366,439183305,human aortic endothelial cell,donor38,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
35,SRR10344785,ChIP-Seq,50,2185899300,PRJNA579487,SAMN13112405,852471857,human aortic endothelial cell,donor39,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
36,SRR10344786,ChIP-Seq,50,1145693350,PRJNA579487,SAMN13112403,452082426,human aortic endothelial cell,donor40,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
37,SRR10344787,ChIP-Seq,50,342477700,PRJNA579487,SAMN13112401,132568879,human aortic endothelial cell,donor41,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
38,SRR10344788,ChIP-Seq,50,411525900,PRJNA579487,SAMN13112400,162005427,human aortic endothelial cell,donor41,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
39,SRR10344789,ChIP-Seq,50,947977000,PRJNA579487,SAMN13112399,371862504,human aortic endothelial cell,donor43,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
40,SRR10344790,ChIP-Seq,50,822716050,PRJNA579487,SAMN13112398,318102645,human aortic endothelial cell,donor43,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
41,SRR10344791,ChIP-Seq,50,748913150,PRJNA579487,SAMN13112397,284874858,human aortic endothelial cell,donor44,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
42,SRR10344792,ChIP-Seq,50,454300650,PRJNA579487,SAMN13112396,168345536,human aortic endothelial cell,donor46,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
43,SRR10344793,ChIP-Seq,50,528768750,PRJNA579487,SAMN13112395,200622189,human aortic endothelial cell,donor47,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
44,SRR10344794,ChIP-Seq,50,838320600,PRJNA579487,SAMN13112394,352592399,human aortic endothelial cell,donor49,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
45,SRR10344795,ChIP-Seq,50,982037700,PRJNA579487,SAMN13112393,391957901,human aortic endothelial cell,donor51,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
46,SRR10344796,ChIP-Seq,50,537901300,PRJNA579487,SAMN13112392,218299504,human aortic endothelial cell,donor52,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
47,SRR10344797,ChIP-Seq,50,2122684150,PRJNA579487,SAMN13112391,798585999,human aortic endothelial cell,donor53,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135,GSE139377,1,1,untreated hAoEC
48,SRR10344798,ChIP-Seq,50,1129746000,PRJNA579487,SAMN13112390,453147927,human aortic endothelial cell,donor1,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
49,SRR10344799,ChIP-Seq,50,1004695150,PRJNA579487,SAMN13112389,394772405,human aortic endothelial cell,donor2,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
50,SRR10344800,ChIP-Seq,50,864542500,PRJNA579487,SAMN13112388,335382563,human aortic endothelial cell,donor2,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
51,SRR10344801,ChIP-Seq,50,297006350,PRJNA579487,SAMN13112387,111349982,human aortic endothelial cell,donor3,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
52,SRR10344802,ChIP-Seq,50,832211950,PRJNA579487,SAMN13112427,315593976,human aortic endothelial cell,donor4,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
53,SRR10344803,ChIP-Seq,50,1606884450,PRJNA579487,SAMN13112426,613823553,human aortic endothelial cell,donor5,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
54,SRR10344804,ChIP-Seq,50,1184093300,PRJNA579487,SAMN13112425,473729277,human aortic endothelial cell,donor7,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
55,SRR10344805,ChIP-Seq,50,1438846300,PRJNA579487,SAMN13112424,606181259,human aortic endothelial cell,donor9,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
56,SRR10344806,ChIP-Seq,50,1109671400,PRJNA579487,SAMN13112423,432558211,human aortic endothelial cell,donor10,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
57,SRR10344807,ChIP-Seq,50,869286900,PRJNA579487,SAMN13112422,355399572,human aortic endothelial cell,donor12,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
58,SRR10344808,ChIP-Seq,50,1503699300,PRJNA579487,SAMN13112421,570943595,human aortic endothelial cell,donor13,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
59,SRR10344809,ChIP-Seq,50,887614450,PRJNA579487,SAMN13112420,358130958,human aortic endothelial cell,donor14,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
60,SRR10344810,ChIP-Seq,50,1310761350,PRJNA579487,SAMN13112419,518406213,human aortic endothelial cell,donor15,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
61,SRR10344814,ChIP-Seq,50,643622800,PRJNA579487,SAMN13112415,251850324,human aortic endothelial cell,donor19,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
62,SRR10344815,ChIP-Seq,50,1354410000,PRJNA579487,SAMN13112414,510490257,human aortic endothelial cell,donor21,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
63,SRR10344816,ChIP-Seq,50,1354361450,PRJNA579487,SAMN13112413,514597541,human aortic endothelial cell,donor22,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
64,SRR10344817,ChIP-Seq,50,578061350,PRJNA579487,SAMN13112412,232238187,human aortic endothelial cell,donor23,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
65,SRR10344818,ChIP-Seq,50,642460250,PRJNA579487,SAMN13112411,242481225,human aortic endothelial cell,donor24,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
66,SRR10344819,ChIP-Seq,50,533511100,PRJNA579487,SAMN13112410,202586361,human aortic endothelial cell,donor25,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
67,SRR10344820,ChIP-Seq,50,559398800,PRJNA579487,SAMN13112438,210171965,human aortic endothelial cell,donor25,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
68,SRR10344821,ChIP-Seq,50,457067350,PRJNA579487,SAMN13112409,184533252,human aortic endothelial cell,donor26,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
69,SRR10344822,ChIP-Seq,50,748741400,PRJNA579487,SAMN13112408,272217559,human aortic endothelial cell,donor29,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
70,SRR10344823,ChIP-Seq,50,963944600,PRJNA579487,SAMN13112407,350762430,human aortic endothelial cell,donor30,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
71,SRR10344824,ChIP-Seq,50,1582500500,PRJNA579487,SAMN13112441,583630362,human aortic endothelial cell,donor31,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
72,SRR10344825,ChIP-Seq,50,1023167400,PRJNA579487,SAMN13112440,387526529,human aortic endothelial cell,donor32,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
73,SRR10344826,ChIP-Seq,50,677033350,PRJNA579487,SAMN13112439,274077889,human aortic endothelial cell,donor33,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
74,SRR10344827,ChIP-Seq,50,766375900,PRJNA579487,SAMN13112437,287290157,human aortic endothelial cell,donor35,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
75,SRR10344828,ChIP-Seq,50,1473344200,PRJNA579487,SAMN13112436,549005202,human aortic endothelial cell,donor36,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
76,SRR10344829,ChIP-Seq,50,960198650,PRJNA579487,SAMN13112435,368047546,human aortic endothelial cell,donor37,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
77,SRR10344830,ChIP-Seq,50,1029555800,PRJNA579487,SAMN13112434,393258243,human aortic endothelial cell,donor38,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
78,SRR10344831,ChIP-Seq,50,1586840750,PRJNA579487,SAMN13112433,601591545,human aortic endothelial cell,donor39,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
79,SRR10344832,ChIP-Seq,50,1947901000,PRJNA579487,SAMN13112497,759945105,human aortic endothelial cell,donor40,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
80,SRR10344833,ChIP-Seq,50,765374200,PRJNA579487,SAMN13112496,288319896,human aortic endothelial cell,donor41,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
81,SRR10344834,ChIP-Seq,50,929633450,PRJNA579487,SAMN13112495,343084994,human aortic endothelial cell,donor43,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
82,SRR10344835,ChIP-Seq,50,1382523850,PRJNA579487,SAMN13112494,522089004,human aortic endothelial cell,donor44,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
83,SRR10344836,ChIP-Seq,50,915912000,PRJNA579487,SAMN13112493,369069391,human aortic endothelial cell,donor45,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
84,SRR10344837,ChIP-Seq,50,463735300,PRJNA579487,SAMN13112492,176403518,human aortic endothelial cell,donor47,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
85,SRR10344838,ChIP-Seq,50,731864250,PRJNA579487,SAMN13112491,297659641,human aortic endothelial cell,donor49,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
86,SRR10344839,ChIP-Seq,50,713119900,PRJNA579487,SAMN13112490,295601332,human aortic endothelial cell,donor51,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
87,SRR10344840,ChIP-Seq,50,414350950,PRJNA579487,SAMN13112489,167658913,human aortic endothelial cell,donor52,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
88,SRR10344841,ChIP-Seq,50,1579882450,PRJNA579487,SAMN13112488,573606516,human aortic endothelial cell,donor53,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135,GSE139377,0,1,hAoEC + IL-1B
89,SRR11484191,ChIP-Seq,50,2092731100,PRJNA579487,SAMN14541855,828662627,human aortic endothelial cell,donor11,6 to 10,human aortic endothelial cell_IL-1B treated_input,IL-1B treated,none; input,GSE139377,0,0,hAoEC + IL-1B
90,SRR11484192,ChIP-Seq,50,2962004800,PRJNA579487,SAMN14541854,1241435083,human aortic endothelial cell,donor12,6 to 10,human aortic endothelial cell_IL-1B treated_input,IL-1B treated,none; input,GSE139377,0,0,hAoEC + IL-1B
91,SRR11484193,ChIP-Seq,50,623588500,PRJNA579487,SAMN14541853,241374017,human aortic endothelial cell,donor13,6 to 10,human aortic endothelial cell_IL-1B treated_input,IL-1B treated,none; input,GSE139377,0,0,hAoEC + IL-1B
92,SRR11484200,ChIP-Seq,50,1069211200,PRJNA579487,SAMN14541846,388461623,human aortic endothelial cell,donor18,6 to 10,human aortic endothelial cell_Untreated_input,Untreated,none; input,GSE139377,1,0,untreated hAoEC
93,SRR11484214,ChIP-Seq,50,1815821350,PRJNA579487,SAMN14541859,656272631,human aortic endothelial cell,donor30,6 to 10,human aortic endothelial cell_Untreated_input,Untreated,none; input,GSE139377,1,0,untreated hAoEC
