,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,chip_antibody,Cell_Line,tissue,geo_id,is_sample,is_healthy,condition
10,SRR2748100,ChIP-Seq,51,1398892770,PRJNA299597,SAMN04201360,585713028,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1360808,GSM1914993,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914993,highly metastatic osteosarcoma cell line,SRP065191,rabbit anti-H3K27ac (Abcam #4729).,LM7,,GSE74230,1,0,metastatic osteosarcoma
11,SRR2748102,ChIP-Seq,51,2704781940,PRJNA299597,SAMN04201363,1212045728,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1360810,GSM1914995,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914995,highly metastatic osteosarcoma cell line,SRP065191,,LM7,,GSE74230,0,0,metastatic osteosarcoma
12,SRR2748103,ChIP-Seq,20,2017760020,PRJNA299597,SAMN04201364,1139595891,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1360811,GSM1914996,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914996,highly metastatic osteosarcoma cell line,SRP065191,,M112,,GSE74230,0,0,metastatic osteosarcoma
13,SRR2748104,ChIP-Seq,51,3728182926,PRJNA299597,SAMN04201365,1671042760,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1360812,GSM1914997,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914997,highly metastatic osteosarcoma cell line,SRP065191,rabbit anti-H3K27ac (Abcam #4729).,M112,,GSE74230,1,0,metastatic osteosarcoma
14,SRR2748106,ChIP-Seq,44,2030668948,PRJNA299597,SAMN04201367,1076874443,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1360814,GSM1914999,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1914999,highly metastatic osteosarcoma cell line,SRP065191,,M112,,GSE74230,0,0,metastatic osteosarcoma
15,SRR2748107,ChIP-Seq,20,938227240,PRJNA299597,SAMN04201368,474467743,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX1360815,GSM1915000,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1915000,highly metastatic osteosarcoma cell line,SRP065191,,MG63.3,,GSE74230,0,0,metastatic osteosarcoma
16,SRR2748108,ChIP-Seq,50,5571550350,PRJNA299597,SAMN04201369,3796772728,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1360816,GSM1915001,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1915001,highly metastatic osteosarcoma cell line,SRP065191,rabbit anti-H3K27ac (Abcam #4729).,MG63.3,,GSE74230,1,0,metastatic osteosarcoma
17,SRR2748110,ChIP-Seq,36,1930293108,PRJNA299597,SAMN04201371,1179397317,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1360818,GSM1915003,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1915003,highly metastatic osteosarcoma cell line,SRP065191,,MG63.3,,GSE74230,0,0,metastatic osteosarcoma
18,SRR2748111,ChIP-Seq,20,1254532940,PRJNA299597,SAMN04201372,635545609,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1360819,GSM1915004,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1915004,non-metastatic osteosarcoma cell line,SRP065191,,MG63,,GSE74230,0,1,non-metastatic osteosarcoma
19,SRR2748112,ChIP-Seq,50,4692218200,PRJNA299597,SAMN04201373,3083402986,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1360820,GSM1915005,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1915005,non-metastatic osteosarcoma cell line,SRP065191,rabbit anti-H3K27ac (Abcam #4729).,MG63,,GSE74230,1,1,non-metastatic osteosarcoma
20,SRR2748114,ChIP-Seq,36,1870264116,PRJNA299597,SAMN04201375,1137741281,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX1360822,GSM1915007,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1915007,non-metastatic osteosarcoma cell line,SRP065191,,MG63,,GSE74230,0,1,non-metastatic osteosarcoma
21,SRR2748115,ChIP-Seq,20,5448223600,PRJNA299597,SAMN04201376,3001875102,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX1360823,GSM1915008,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1915008,highly metastatic osteosarcoma cell line,SRP065191,,MNNG,,GSE74230,0,0,metastatic osteosarcoma
22,SRR2748116,ChIP-Seq,51,2809059039,PRJNA299597,SAMN04201377,1145756965,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX1360824,GSM1915009,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1915009,highly metastatic osteosarcoma cell line,SRP065191,rabbit anti-H3K27ac (Abcam #4729).,MNNG,,GSE74230,1,0,metastatic osteosarcoma
23,SRR2748118,ChIP-Seq,44,1903344960,PRJNA299597,SAMN04201379,935193146,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1360826,GSM1915011,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1915011,highly metastatic osteosarcoma cell line,SRP065191,,MNNG,,GSE74230,0,0,metastatic osteosarcoma
24,SRR2748120,ChIP-Seq,51,3047907288,PRJNA299597,SAMN04201381,1251039590,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX1360828,GSM1915013,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM1915013,non-metastatic osteosarcoma cell line,SRP065191,,SaOS,,GSE74230,0,1,non-metastatic osteosarcoma
25,SRR6333991,ChIP-Seq,51,2756155770,PRJNA299597,SAMN08114530,1172361742,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX3433308,GSM2870638,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM2870638,primary osteosarcoma tumor,SRP065191,rabbit anti-H3K27ac (Abcam #4729).,,primary osteosarcoma tumor,GSE74230,1,1,non-metastatic osteosarcoma
26,SRR6333992,ChIP-Seq,51,2518813857,PRJNA299597,SAMN08114529,956262491,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX3433309,GSM2870639,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM2870639,primary osteosarcoma tumor,SRP065191,none,,primary osteosarcoma tumor,GSE74230,0,1,non-metastatic osteosarcoma
27,SRR6333994,ChIP-Seq,51,3066248877,PRJNA299597,SAMN08114527,1307878190,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX3433311,GSM2870641,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM2870641,lung metastasis from primary osteosarcoma tumor,SRP065191,rabbit anti-H3K27ac (Abcam #4729).,,lung metastasis from primary osteosarcoma tumor,GSE74230,1,0,metastatic osteosarcoma
28,SRR6333995,ChIP-Seq,51,4923603903,PRJNA299597,SAMN08114526,1953753743,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX3433312,GSM2870642,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM2870642,lung metastasis from primary osteosarcoma tumor,SRP065191,none,,lung metastasis from primary osteosarcoma tumor,GSE74230,0,0,metastatic osteosarcoma
29,SRR6333997,ChIP-Seq,51,2817098526,PRJNA299597,SAMN08114524,1150605191,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX3433314,GSM2870644,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM2870644,primary osteosarcoma tumor,SRP065191,rabbit anti-H3K27ac (Abcam #4729).,,primary osteosarcoma tumor,GSE74230,1,1,non-metastatic osteosarcoma
30,SRR6333998,ChIP-Seq,51,3112459518,PRJNA299597,SAMN08114523,1185064776,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3433315,GSM2870645,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM2870645,primary osteosarcoma tumor,SRP065191,none,,primary osteosarcoma tumor,GSE74230,0,1,non-metastatic osteosarcoma
31,SRR6334000,ChIP-Seq,51,2680315914,PRJNA299597,SAMN08114521,1112698263,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX3433317,GSM2870647,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM2870647,lung metastasis from primary osteosarcoma tumor,SRP065191,rabbit anti-H3K27ac (Abcam #4729).,,lung metastasis from primary osteosarcoma tumor,GSE74230,1,0,metastatic osteosarcoma
32,SRR6334001,ChIP-Seq,51,2832094515,PRJNA299597,SAMN08114520,1058927366,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3433318,GSM2870648,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2018-01-23T00:00:00Z,GSM2870648,lung metastasis from primary osteosarcoma tumor,SRP065191,none,,lung metastasis from primary osteosarcoma tumor,GSE74230,0,0,metastatic osteosarcoma
