,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,chip_antibody,chip_antibody_vendor,tissue,geo_id,is_sample,is_healthy,condition
24,SRR11856345,ChIP-Seq,75,1509061500,PRJNA540151,SAMN15032478,620788305,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
25,SRR11856346,ChIP-Seq,75,1978893225,PRJNA540151,SAMN15032477,801348847,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
26,SRR11856347,ChIP-Seq,75,1376927250,PRJNA540151,SAMN15032476,564920290,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
27,SRR11856348,ChIP-Seq,75,1382773875,PRJNA540151,SAMN15032473,568633280,GEO,H3K27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
28,SRR11856349,ChIP-Seq,65,1852824415,PRJNA540151,SAMN15032472,858033649,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
29,SRR11856350,ChIP-Seq,65,2082510495,PRJNA540151,SAMN15032471,1054650583,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
30,SRR11856351,ChIP-Seq,65,1273553970,PRJNA540151,SAMN15032470,646773214,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
31,SRR11856352,ChIP-Seq,65,2026855610,PRJNA540151,SAMN15032469,993167281,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
32,SRR11856353,ChIP-Seq,65,1306713135,PRJNA540151,SAMN15032468,570110559,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
33,SRR11856354,ChIP-Seq,65,2537239640,PRJNA540151,SAMN15032510,1238843311,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
34,SRR11856355,ChIP-Seq,65,2221521120,PRJNA540151,SAMN15032492,1077733274,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
35,SRR11856356,ChIP-Seq,65,1495241410,PRJNA540151,SAMN15032491,731651840,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
36,SRR11856357,ChIP-Seq,75,1539370275,PRJNA540151,SAMN15032490,586016728,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
37,SRR11856358,ChIP-Seq,75,2631426450,PRJNA540151,SAMN15032489,1021524535,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
38,SRR11856359,ChIP-Seq,75,2815432425,PRJNA540151,SAMN15032488,1081587749,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
39,SRR11856360,ChIP-Seq,75,2825423850,PRJNA540151,SAMN15032487,1062739533,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
40,SRR11856361,ChIP-Seq,75,1810253025,PRJNA540151,SAMN15032486,803563036,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
41,SRR11856362,ChIP-Seq,75,674593125,PRJNA540151,SAMN15032485,279536500,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
42,SRR11856363,ChIP-Seq,75,653813025,PRJNA540151,SAMN15032484,274098198,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
43,SRR11856364,ChIP-Seq,75,940943175,PRJNA540151,SAMN15032509,390511752,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
44,SRR11856365,ChIP-Seq,75,897982125,PRJNA540151,SAMN15032508,370795507,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
45,SRR11856366,ChIP-Seq,75,935038800,PRJNA540151,SAMN15032507,386113644,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
46,SRR11856367,ChIP-Seq,75,817181925,PRJNA540151,SAMN15032506,338869719,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
47,SRR11856368,ChIP-Seq,75,785426700,PRJNA540151,SAMN15032505,327102618,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
48,SRR11856369,ChIP-Seq,75,1197318450,PRJNA540151,SAMN15032504,493638696,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
49,SRR11856370,ChIP-Seq,75,806217450,PRJNA540151,SAMN15032503,339352148,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
50,SRR11856371,ChIP-Seq,75,602954700,PRJNA540151,SAMN15032502,250259857,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
51,SRR11856372,ChIP-Seq,75,810513675,PRJNA540151,SAMN15032501,338421557,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
52,SRR11856373,ChIP-Seq,75,779901075,PRJNA540151,SAMN15032500,323859414,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
53,SRR11856374,ChIP-Seq,75,952357125,PRJNA540151,SAMN15032499,396934408,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
54,SRR11856375,ChIP-Seq,75,1534761375,PRJNA540151,SAMN15032498,685391016,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
55,SRR11856376,ChIP-Seq,75,2041539525,PRJNA540151,SAMN15032497,807234089,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
56,SRR11856377,ChIP-Seq,75,2929962150,PRJNA540151,SAMN15032496,1115250311,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
57,SRR11856378,ChIP-Seq,75,2049982350,PRJNA540151,SAMN15032495,908411595,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
58,SRR11856379,ChIP-Seq,75,824024475,PRJNA540151,SAMN15032494,337035010,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
59,SRR11856380,ChIP-Seq,75,2239640100,PRJNA540151,SAMN15032493,829368904,GEO,H3k27ac,Diagenode,localized prostate tissue,GSE130408,1,0,healthy
60,SRR11856381,ChIP-Seq,65,2214036695,PRJNA540151,SAMN15032528,1024847545,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
61,SRR11856382,ChIP-Seq,65,1952244905,PRJNA540151,SAMN15032527,931546448,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
62,SRR11856383,ChIP-Seq,65,2040072840,PRJNA540151,SAMN15032526,1019748110,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
63,SRR11856384,ChIP-Seq,65,1737713445,PRJNA540151,SAMN15032525,889036635,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
64,SRR11856385,ChIP-Seq,65,1759985695,PRJNA540151,SAMN15032524,890238894,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
65,SRR11856386,ChIP-Seq,65,1752951915,PRJNA540151,SAMN15032523,764796586,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
66,SRR11856387,ChIP-Seq,65,1620663785,PRJNA540151,SAMN15032522,704006087,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
67,SRR11856388,ChIP-Seq,65,1784264820,PRJNA540151,SAMN15032521,852420731,GEO,H3K27ac,Active Motif,Patient localized prostate tissue,GSE130408,1,1,prostate cancer
