Run,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,Bytes,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR9018113,ChIP-Seq,74,1345870478,CNDR brain bank (Penn),PRJNA541273,SAMN11581350,574431222,GEO,H3K9ac - Active Motif #39137,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",AD,SRX5796249,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752834,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018114,ChIP-Seq,74,1561103746,CNDR brain bank (Penn),PRJNA541273,SAMN11581349,663157778,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",AD,SRX5796250,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752835,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018115,ChIP-Seq,74,1042326421,CNDR brain bank (Penn),PRJNA541273,SAMN11581348,443897306,GEO,H3K9ac - Active Motif #39137,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",AD,SRX5796251,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752836,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018116,ChIP-Seq,74,3244210020,CNDR brain bank (Penn),PRJNA541273,SAMN11581347,1414044643,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",AD,SRX5796252,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752837,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018117,ChIP-Seq,74,1176885125,CNDR brain bank (Penn),PRJNA541273,SAMN11581346,500186949,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",AD,SRX5796253,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752838,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018118,ChIP-Seq,74,967947653,CNDR brain bank (Penn),PRJNA541273,SAMN11581345,412851894,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",AD,SRX5796254,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752839,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018119,ChIP-Seq,74,1460752566,CNDR brain bank (Penn),PRJNA541273,SAMN11581344,619826537,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",AD,SRX5796255,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752840,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018120,ChIP-Seq,74,1118547165,CNDR brain bank (Penn),PRJNA541273,SAMN11581343,473865206,GEO,H3K9ac - Active Motif #39137,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",AD,SRX5796256,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752841,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018121,ChIP-Seq,74,1216708092,CNDR brain bank (Penn),PRJNA541273,SAMN11581342,515506208,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",AD,SRX5796257,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752842,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018122,ChIP-Seq,74,1280282469,CNDR brain bank (Penn),PRJNA541273,SAMN11581341,546718797,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",AD,SRX5796258,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752843,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018123,ChIP-Seq,74,1702758750,CNDR brain bank (Penn),PRJNA541273,SAMN11581340,722306797,GEO,H3K9ac - Active Motif #39137,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",AD,SRX5796259,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752844,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018124,ChIP-Seq,74,882277535,CNDR brain bank (Penn),PRJNA541273,SAMN11581339,402464766,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Young,SRX5796260,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752845,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018125,ChIP-Seq,74,1084312429,CNDR brain bank (Penn),PRJNA541273,SAMN11581338,487419152,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Young,SRX5796261,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752846,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018126,ChIP-Seq,74,985506513,CNDR brain bank (Penn),PRJNA541273,SAMN11581337,449247047,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Young,SRX5796262,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752847,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018127,ChIP-Seq,74,1203177646,CNDR brain bank (Penn),PRJNA541273,SAMN11581336,539482069,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Young,SRX5796263,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752848,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018128,ChIP-Seq,74,940066636,CNDR brain bank (Penn),PRJNA541273,SAMN11581335,431539239,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Young,SRX5796264,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752849,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018129,ChIP-Seq,74,1218441960,CNDR brain bank (Penn),PRJNA541273,SAMN11581334,546810144,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Young,SRX5796265,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752850,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018130,ChIP-Seq,74,1029126803,CNDR brain bank (Penn),PRJNA541273,SAMN11581333,465910682,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",Young,SRX5796266,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752851,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018131,ChIP-Seq,74,1160178510,CNDR brain bank (Penn),PRJNA541273,SAMN11581332,524956693,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Young,SRX5796267,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752852,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018132,ChIP-Seq,74,1021340068,CNDR brain bank (Penn),PRJNA541273,SAMN11581331,462266734,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Young,SRX5796268,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752853,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018133,ChIP-Seq,74,1295494736,CNDR brain bank (Penn),PRJNA541273,SAMN11581330,589881532,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Old,SRX5796269,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752854,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018134,ChIP-Seq,74,1105083991,CNDR brain bank (Penn),PRJNA541273,SAMN11581329,500146748,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Old,SRX5796270,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752855,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018135,ChIP-Seq,74,912646636,CNDR brain bank (Penn),PRJNA541273,SAMN11581328,412771696,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Old,SRX5796271,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752856,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018136,ChIP-Seq,74,1154487887,CNDR brain bank (Penn),PRJNA541273,SAMN11581327,522200713,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Old,SRX5796272,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752857,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018137,ChIP-Seq,74,1020218895,CNDR brain bank (Penn),PRJNA541273,SAMN11581326,460405863,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Old,SRX5796273,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752858,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018138,ChIP-Seq,74,1062805728,CNDR brain bank (Penn),PRJNA541273,SAMN11581325,482032035,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Old,SRX5796274,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752859,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018139,ChIP-Seq,74,910522909,CNDR brain bank (Penn),PRJNA541273,SAMN11581324,416065639,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Old,SRX5796275,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752860,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018140,ChIP-Seq,74,939392960,CNDR brain bank (Penn),PRJNA541273,SAMN11581323,427580912,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Old,SRX5796276,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752861,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018141,ChIP-Seq,74,1112249629,CNDR brain bank (Penn),PRJNA541273,SAMN11581322,504031316,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",Old,SRX5796277,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752862,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018142,ChIP-Seq,74,974117050,CNDR brain bank (Penn),PRJNA541273,SAMN11581321,441430728,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Old,SRX5796278,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752863,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018143,ChIP-Seq,74,993465222,CNDR brain bank (Penn),PRJNA541273,SAMN11581320,450547919,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",AD,SRX5796279,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752864,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018144,ChIP-Seq,74,1105204148,CNDR brain bank (Penn),PRJNA541273,SAMN11581319,498360037,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",AD,SRX5796280,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752865,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018145,ChIP-Seq,74,1226606456,CNDR brain bank (Penn),PRJNA541273,SAMN11581318,559007834,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",AD,SRX5796281,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752866,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018146,ChIP-Seq,74,1011737462,CNDR brain bank (Penn),PRJNA541273,SAMN11581317,456820043,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",AD,SRX5796282,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752867,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018147,ChIP-Seq,74,943109234,CNDR brain bank (Penn),PRJNA541273,SAMN11581316,430494963,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",AD,SRX5796283,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752868,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018148,ChIP-Seq,74,1057828481,CNDR brain bank (Penn),PRJNA541273,SAMN11581315,476947151,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",AD,SRX5796284,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752869,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018149,ChIP-Seq,74,1124742410,CNDR brain bank (Penn),PRJNA541273,SAMN11581314,508380041,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",AD,SRX5796285,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752870,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018150,ChIP-Seq,74,1092321025,CNDR brain bank (Penn),PRJNA541273,SAMN11581313,495618261,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",AD,SRX5796286,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752871,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018151,ChIP-Seq,74,1248795367,CNDR brain bank (Penn),PRJNA541273,SAMN11581312,567341562,GEO,H3K27ac - Abcam #4729,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",AD,SRX5796287,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752872,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018152,ChIP-Seq,74,1038735341,CNDR brain bank (Penn),PRJNA541273,SAMN11581311,472766692,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",AD,SRX5796288,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752873,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018153,ChIP-Seq,74,1005364434,CNDR brain bank (Penn),PRJNA541273,SAMN11581310,455475327,GEO,H3K27ac - Abcam #4729,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",AD,SRX5796289,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752874,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
SRR9018154,ChIP-Seq,74,1701850668,CNDR brain bank (Penn),PRJNA541273,SAMN11581308,735805753,GEO,H3K122ac - Abcam #33309,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Young,SRX5796290,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM3752875,Frozen postmortem brain tissue,SRP195558,Lateral temporal lobe
