Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment
SRR11518195,ChIP-Seq,49,1118558056,PRJNA624051,SAMN14566600,425735380,VCaP,GEO,FOXA1,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX8089633,GSM4462696,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462696,VCaP (prostate),SRP255862,Control
SRR11518196,ChIP-Seq,49,852760245,PRJNA624051,SAMN14566964,327066316,VCaP,GEO,FOXA1,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8089634,GSM4462697,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462697,VCaP (prostate),SRP255862,Darolutamide
SRR11518197,ChIP-Seq,49,847000773,PRJNA624051,SAMN14566963,323018720,VCaP,GEO,FOXA1,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8089635,GSM4462698,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462698,VCaP (prostate),SRP255862,Darolutamide
SRR11518198,ChIP-Seq,49,862205188,PRJNA624051,SAMN14566962,330394043,VCaP,GEO,FOXA1,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX8089636,GSM4462699,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462699,VCaP (prostate),SRP255862,Darolutamide
SRR11518199,ChIP-Seq,49,815949457,PRJNA624051,SAMN14566961,311331309,VCaP,GEO,FOXA1,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8089637,GSM4462700,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462700,VCaP (prostate),SRP255862,R1881
SRR11518200,ChIP-Seq,49,796511329,PRJNA624051,SAMN14566960,303296204,VCaP,GEO,FOXA1,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX8089638,GSM4462701,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462701,VCaP (prostate),SRP255862,R1881
SRR11518201,ChIP-Seq,49,852207350,PRJNA624051,SAMN14566959,323677046,VCaP,GEO,FOXA1,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX8089639,GSM4462702,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462702,VCaP (prostate),SRP255862,R1881
SRR11518202,ChIP-Seq,49,1376137586,PRJNA624051,SAMN14566622,529226666,VCaP,GEO,H2BK15ac,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8089640,GSM4462703,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462703,VCaP (prostate),SRP255862,Control
SRR11518203,ChIP-Seq,49,1541698978,PRJNA624051,SAMN14566621,592983728,VCaP,GEO,H2BK15ac,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX8089611,GSM4462704,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462704,VCaP (prostate),SRP255862,Control
SRR11518204,ChIP-Seq,49,1483355712,PRJNA624051,SAMN14566528,570647183,VCaP,GEO,H2BK15ac,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8089612,GSM4462705,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462705,VCaP (prostate),SRP255862,Control
SRR11518205,ChIP-Seq,49,1443758205,PRJNA624051,SAMN14566527,556514565,VCaP,GEO,H2BK15ac,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8089641,GSM4462706,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462706,VCaP (prostate),SRP255862,Darolutamide
SRR11518206,ChIP-Seq,49,1772582311,PRJNA624051,SAMN14566526,681519959,VCaP,GEO,H2BK15ac,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX8089642,GSM4462707,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462707,VCaP (prostate),SRP255862,Darolutamide
SRR11518207,ChIP-Seq,49,1521856408,PRJNA624051,SAMN14566525,584984722,VCaP,GEO,H2BK15ac,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX8089643,GSM4462708,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462708,VCaP (prostate),SRP255862,Darolutamide
SRR11518208,ChIP-Seq,49,1492139820,PRJNA624051,SAMN14566524,576784325,VCaP,GEO,H2BK15ac,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8089644,GSM4462709,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462709,VCaP (prostate),SRP255862,R1881
SRR11518209,ChIP-Seq,49,1449959160,PRJNA624051,SAMN14566523,557883822,VCaP,GEO,H2BK15ac,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8089645,GSM4462710,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462710,VCaP (prostate),SRP255862,R1881
SRR11518210,ChIP-Seq,49,1680054478,PRJNA624051,SAMN14566522,646022461,VCaP,GEO,H2BK15ac,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX8089646,GSM4462711,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462711,VCaP (prostate),SRP255862,R1881
SRR11518211,ChIP-Seq,49,889010502,PRJNA624051,SAMN14566575,322784515,VCaP,GEO,H3K18ac,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8089647,GSM4462712,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462712,VCaP (prostate),SRP255862,Control
SRR11518212,ChIP-Seq,49,1795409985,PRJNA624051,SAMN14566574,663763835,VCaP,GEO,H3K18ac,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8089648,GSM4462713,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462713,VCaP (prostate),SRP255862,Control
SRR11518213,ChIP-Seq,49,1374450734,PRJNA624051,SAMN14566573,497367623,VCaP,GEO,H3K18ac,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8089649,GSM4462714,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462714,VCaP (prostate),SRP255862,Control
SRR11518214,ChIP-Seq,49,1422837412,PRJNA624051,SAMN14566572,516970261,VCaP,GEO,H3K18ac,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8089650,GSM4462715,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462715,VCaP (prostate),SRP255862,Darolutamide
SRR11518215,ChIP-Seq,49,1661011966,PRJNA624051,SAMN14566571,612411291,VCaP,GEO,H3K18ac,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8089651,GSM4462716,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462716,VCaP (prostate),SRP255862,Darolutamide
SRR11518216,ChIP-Seq,49,1447249287,PRJNA624051,SAMN14566570,524915476,VCaP,GEO,H3K18ac,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8089652,GSM4462717,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462717,VCaP (prostate),SRP255862,Darolutamide
SRR11518217,ChIP-Seq,49,1734828160,PRJNA624051,SAMN14566569,644822998,VCaP,GEO,H3K18ac,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8089653,GSM4462718,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462718,VCaP (prostate),SRP255862,R1881
SRR11518218,ChIP-Seq,49,1438053088,PRJNA624051,SAMN14566568,521741666,VCaP,GEO,H3K18ac,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX8089654,GSM4462719,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462719,VCaP (prostate),SRP255862,R1881
SRR11518219,ChIP-Seq,49,1800223347,PRJNA624051,SAMN14566567,665755492,VCaP,GEO,H3K18ac,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX8089655,GSM4462720,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462720,VCaP (prostate),SRP255862,R1881
SRR11518220,ChIP-Seq,49,1068389183,PRJNA624051,SAMN14566566,394971816,VCaP,GEO,H3K27ac,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX8089656,GSM4462721,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462721,VCaP (prostate),SRP255862,Control
SRR11518221,ChIP-Seq,49,1213513956,PRJNA624051,SAMN14566565,443031886,VCaP,GEO,H3K27ac,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8089657,GSM4462722,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462722,VCaP (prostate),SRP255862,Control
SRR11518222,ChIP-Seq,49,1145108347,PRJNA624051,SAMN14566564,426581029,VCaP,GEO,H3K27ac,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8089658,GSM4462723,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462723,VCaP (prostate),SRP255862,Control
SRR11518223,ChIP-Seq,49,1395280140,PRJNA624051,SAMN14566563,511660649,VCaP,GEO,H3K27ac,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX8089659,GSM4462724,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462724,VCaP (prostate),SRP255862,Darolutamide
SRR11518224,ChIP-Seq,49,1246625984,PRJNA624051,SAMN14566562,463633764,VCaP,GEO,H3K27ac,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8089660,GSM4462725,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462725,VCaP (prostate),SRP255862,Darolutamide
SRR11518225,ChIP-Seq,49,1285930984,PRJNA624051,SAMN14566561,473782002,VCaP,GEO,H3K27ac,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8089661,GSM4462726,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462726,VCaP (prostate),SRP255862,Darolutamide
SRR11518226,ChIP-Seq,49,1008627880,PRJNA624051,SAMN14566560,368132900,VCaP,GEO,H3K27ac,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX8089662,GSM4462727,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462727,VCaP (prostate),SRP255862,R1881
SRR11518227,ChIP-Seq,49,1554081297,PRJNA624051,SAMN14566559,568880971,VCaP,GEO,H3K27ac,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX8089663,GSM4462728,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462728,VCaP (prostate),SRP255862,R1881
SRR11518228,ChIP-Seq,49,1571047189,PRJNA624051,SAMN14566558,586259260,VCaP,GEO,H3K4me1,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8089664,GSM4462729,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462729,VCaP (prostate),SRP255862,Control
SRR11518229,ChIP-Seq,49,1648181230,PRJNA624051,SAMN14566556,610773228,VCaP,GEO,H3K4me1,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8089665,GSM4462730,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462730,VCaP (prostate),SRP255862,Control
SRR11518230,ChIP-Seq,49,1594511050,PRJNA624051,SAMN14566555,592531124,VCaP,GEO,H3K4me1,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8089666,GSM4462731,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462731,VCaP (prostate),SRP255862,Control
SRR11518231,ChIP-Seq,49,1578891454,PRJNA624051,SAMN14566554,586284830,VCaP,GEO,H3K4me1,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8089667,GSM4462732,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462732,VCaP (prostate),SRP255862,Control
SRR11518232,ChIP-Seq,49,1479984236,PRJNA624051,SAMN14566553,553695152,VCaP,GEO,H3K4me1,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8089668,GSM4462733,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462733,VCaP (prostate),SRP255862,Darolutamide
SRR11518233,ChIP-Seq,49,1667780415,PRJNA624051,SAMN14566552,617620307,VCaP,GEO,H3K4me1,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8089669,GSM4462734,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462734,VCaP (prostate),SRP255862,Darolutamide
SRR11518234,ChIP-Seq,49,1570333607,PRJNA624051,SAMN14566551,586098684,VCaP,GEO,H3K4me1,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX8089670,GSM4462735,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462735,VCaP (prostate),SRP255862,Darolutamide
SRR11518235,ChIP-Seq,49,1547252722,PRJNA624051,SAMN14566557,575844315,VCaP,GEO,H3K4me1,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8089671,GSM4462736,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462736,VCaP (prostate),SRP255862,R1881
SRR11518236,ChIP-Seq,49,1414526023,PRJNA624051,SAMN14566550,522123138,VCaP,GEO,H3K4me1,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX8089672,GSM4462737,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462737,VCaP (prostate),SRP255862,R1881
SRR11518237,ChIP-Seq,49,1293854984,PRJNA624051,SAMN14566549,498690598,VCaP,GEO,Med1,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8089673,GSM4462738,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462738,VCaP (prostate),SRP255862,Control
SRR11518238,ChIP-Seq,49,1614761519,PRJNA624051,SAMN14566548,622985669,VCaP,GEO,Med1,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8089674,GSM4462739,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462739,VCaP (prostate),SRP255862,Control
SRR11518239,ChIP-Seq,49,1441208538,PRJNA624051,SAMN14566547,555157637,VCaP,GEO,Med1,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8089675,GSM4462740,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462740,VCaP (prostate),SRP255862,Control
SRR11518240,ChIP-Seq,49,1533993214,PRJNA624051,SAMN14566599,592594975,VCaP,GEO,Med1,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8089676,GSM4462741,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462741,VCaP (prostate),SRP255862,Darolutamide
SRR11518241,ChIP-Seq,49,1752316373,PRJNA624051,SAMN14566598,673799146,VCaP,GEO,Med1,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX8089677,GSM4462742,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462742,VCaP (prostate),SRP255862,Darolutamide
