Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,esr1_genotype,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,parental_cell_line,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment
SRR11508444,ChIP-Seq,50,2046387400,PRJNA623673,SAMN14556350,978406084,GEO,Anti-OCT1,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",WT,SRX8080566,GSM4459494,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,T-47D,ILLUMINA,2020-04-10T00:00:00Z,GSM4459494,mammary gland ductal carcinoma,SRP255669,None
SRR11508445,ChIP-Seq,50,1017844100,PRJNA623673,SAMN14556349,536034625,GEO,Anti-OCT1,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",WT,SRX8080567,GSM4459495,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,T-47D,ILLUMINA,2020-04-10T00:00:00Z,GSM4459495,mammary gland ductal carcinoma,SRP255669,None
SRR11508446,ChIP-Seq,50,1541532300,PRJNA623673,SAMN14556348,762481259,GEO,Anti-OCT1,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Y537S,SRX8080568,GSM4459496,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,T-47D,ILLUMINA,2020-04-10T00:00:00Z,GSM4459496,mammary gland ductal carcinoma,SRP255669,None
SRR11508447,ChIP-Seq,50,1209555500,PRJNA623673,SAMN14556347,632467133,GEO,Anti-OCT1,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",Y537S,SRX8080569,GSM4459497,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,T-47D,ILLUMINA,2020-04-10T00:00:00Z,GSM4459497,mammary gland ductal carcinoma,SRP255669,None
SRR11508448,ChIP-Seq,50,1382655900,PRJNA623673,SAMN14556336,678098167,GEO,Anti-OCT1,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",D538G,SRX8080570,GSM4459498,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,T-47D,ILLUMINA,2020-04-10T00:00:00Z,GSM4459498,mammary gland ductal carcinoma,SRP255669,None
SRR11508449,ChIP-Seq,50,1256449300,PRJNA623673,SAMN14556335,659641845,GEO,Anti-OCT1,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",D538G,SRX8080571,GSM4459499,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,T-47D,ILLUMINA,2020-04-10T00:00:00Z,GSM4459499,mammary gland ductal carcinoma,SRP255669,None
SRR11508450,ChIP-Seq,50,1862980200,PRJNA623673,SAMN14556351,886972274,GEO,Anti-CTCF,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",WT,SRX8080572,GSM4459500,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,T-47D,ILLUMINA,2020-04-10T00:00:00Z,GSM4459500,mammary gland ductal carcinoma,SRP255669,None
SRR11508451,ChIP-Seq,50,1073544200,PRJNA623673,SAMN14556334,551058637,GEO,Anti-CTCF,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Y537S,SRX8080573,GSM4459501,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,T-47D,ILLUMINA,2020-04-10T00:00:00Z,GSM4459501,mammary gland ductal carcinoma,SRP255669,None
SRR11508452,ChIP-Seq,50,626785300,PRJNA623673,SAMN14556333,335354620,GEO,Anti-CTCF,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",D538G,SRX8080574,GSM4459502,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,T-47D,ILLUMINA,2020-04-10T00:00:00Z,GSM4459502,mammary gland ductal carcinoma,SRP255669,None
SRR11508453,ChIP-Seq,50,2279141200,PRJNA623673,SAMN14556332,1085075664,GEO,none,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",WT/Y537S/D538G,SRX8080575,GSM4459503,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,T-47D,ILLUMINA,2020-04-10T00:00:00Z,GSM4459503,mammary gland ductal carcinoma,SRP255669,
SRR11508454,ChIP-Seq,50,2414308700,PRJNA623673,SAMN14556331,1131570998,GEO,none,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",WT,SRX8080576,GSM4459504,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,MCF-7,ILLUMINA,2020-04-10T00:00:00Z,GSM4459504,mammary gland adenocarcinoma,SRP255669,
SRR11508455,ChIP-Seq,50,3033365100,PRJNA623673,SAMN14556330,1396502217,GEO,none,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Y537S,SRX8080577,GSM4459505,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,MCF-7,ILLUMINA,2020-04-10T00:00:00Z,GSM4459505,mammary gland adenocarcinoma,SRP255669,
SRR11508456,ChIP-Seq,50,2792638450,PRJNA623673,SAMN14556329,1305266086,GEO,none,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",D538G,SRX8080578,GSM4459506,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,MCF-7,ILLUMINA,2020-04-10T00:00:00Z,GSM4459506,mammary gland adenocarcinoma,SRP255669,
