,Run,antibody_used,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment,geo_id,chip_antibody,differentiation_time_point,msc_donor,donor_id,passage,Biomaterial_provider,disease_state,tissue,Antibody,Condition,replicate,antibody,controls,selected,is_sample,peak_width,has_disease
10,SRR8752213,H3K4me3 (Activ Motif #39159),ChIP-Seq,51,744219030,PRJNA528019,SAMN11166180,726452432,NB4,Leukemia cell line,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX5543139,GSM3679009,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679009,Leukemia cell line NB4,SRP188841,DMSO,GSE128528,,,,,,,,,,,,H3K4me3,"['SRR8752226', 'SRR8752227']",1,True,narrow,
11,SRR8752214,H3K4me3 (Activ Motif #39159),ChIP-Seq,51,1808415936,PRJNA528019,SAMN11166179,1769017293,NB4,Leukemia cell line,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5543140,GSM3679010,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679010,Leukemia cell line NB4,SRP188841,MC_2580,GSE128528,,,,,,,,,,,,H3K4me3,"['SRR8752226', 'SRR8752227']",1,True,narrow,
12,SRR8752215,H3K4me3 (Activ Motif #39159),ChIP-Seq,51,2081220087,PRJNA528019,SAMN11166178,2044270543,NB4,Leukemia cell line,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX5543141,GSM3679011,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679011,Leukemia cell line NB4,SRP188841,RA 0.01uM,GSE128528,,,,,,,,,,,,H3K4me3,"['SRR8752226', 'SRR8752227']",1,True,narrow,
13,SRR8752216,H3K4me3 (Activ Motif #39159),ChIP-Seq,51,1239689079,PRJNA528019,SAMN11166177,1214308489,NB4,Leukemia cell line,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX5543142,GSM3679012,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679012,Leukemia cell line NB4,SRP188841,RA 1uM,GSE128528,,,,,,,,,,,,H3K4me3,"['SRR8752226', 'SRR8752227']",1,True,narrow,
14,SRR8752217,H3K4me3 (Activ Motif #39159),ChIP-Seq,51,804852165,PRJNA528019,SAMN11166176,792777561,NB4,Leukemia cell line,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX5543143,GSM3679013,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679013,Leukemia cell line NB4,SRP188841,MC_2580 + RA 0.01uM,GSE128528,,,,,,,,,,,,H3K4me3,"['SRR8752226', 'SRR8752227']",1,True,narrow,
15,SRR8752218,H3K27ac (abcam #4729),ChIP-Seq,51,2806583142,PRJNA528019,SAMN11166175,1879937612,NB4,Leukemia cell line,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX5543144,GSM3679014,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679014,Leukemia cell line NB4,SRP188841,DMSO,GSE128528,,,,,,,,,,,,H3K27ac,"['SRR8752226', 'SRR8752227']",1,True,narrow,
16,SRR8752219,H3K27ac (abcam #4729),ChIP-Seq,51,3107210190,PRJNA528019,SAMN11166174,1952342579,NB4,Leukemia cell line,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5543145,GSM3679015,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679015,Leukemia cell line NB4,SRP188841,MC_2580,GSE128528,,,,,,,,,,,,H3K27ac,"['SRR8752226', 'SRR8752227']",1,True,narrow,
17,SRR8752220,H3K27ac (abcam #4729),ChIP-Seq,51,2464778439,PRJNA528019,SAMN11166173,1607744463,NB4,Leukemia cell line,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5543146,GSM3679016,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679016,Leukemia cell line NB4,SRP188841,RA 0.01uM,GSE128528,,,,,,,,,,,,H3K27ac,"['SRR8752226', 'SRR8752227']",1,True,narrow,
18,SRR8752221,H3K27ac (abcam #4729),ChIP-Seq,51,2665864248,PRJNA528019,SAMN11166172,1796104649,NB4,Leukemia cell line,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5543147,GSM3679017,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679017,Leukemia cell line NB4,SRP188841,RA 1uM,GSE128528,,,,,,,,,,,,H3K27ac,"['SRR8752226', 'SRR8752227']",1,True,narrow,
19,SRR8752222,H3K27ac (abcam #4729),ChIP-Seq,51,2419029144,PRJNA528019,SAMN11166171,1628965733,NB4,Leukemia cell line,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX5543148,GSM3679018,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679018,Leukemia cell line NB4,SRP188841,MC_2580 + RA 0.01uM,GSE128528,,,,,,,,,,,,H3K27ac,"['SRR8752226', 'SRR8752227']",1,True,narrow,
20,SRR8752226,No Antibody,ChIP-Seq,36,1502627328,PRJNA528019,SAMN11166167,883331106,NB4,Leukemia cell line,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX5543152,GSM3679022,Illumina Genome Analyzer II,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679022,Leukemia cell line NB4,SRP188841,Not treated,GSE128528,,,,,,,,,,,,input,"['SRR8752226', 'SRR8752227']",1,False,,
21,SRR8752227,No Antibody,ChIP-Seq,51,2726508501,PRJNA528019,SAMN11166166,1964556157,NB4,Leukemia cell line,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5543153,GSM3679023,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-21T00:00:00Z,GSM3679023,Leukemia cell line NB4,SRP188841,Not treated,GSE128528,,,,,,,,,,,,input,"['SRR8752226', 'SRR8752227']",1,False,,
22,SRR8810691,,ChIP-Seq,50,2739098750,PRJNA529809,SAMN11285851,835852776,,human mesenchymal stem cells,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX5599404,GSM3691939,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691939,MSC_input,SRP189850,,GSE129031,none,0.0,017508A,,,,,,,,,input,"['SRR8810691', 'SRR8810703']",1,False,,
23,SRR8810692,,ChIP-Seq,50,2722250700,PRJNA529809,SAMN11285850,887433975,,human mesenchymal stem cells,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX5599405,GSM3691940,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691940,MSC_H3K4me3,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K4me3 (Diagenode\, included in iDEAL Histone ChIP-seq kit cat. no. C01010050)",0.0,017508A,,,,,,,,,H3K4me3,[],1,True,narrow,
24,SRR8810693,,ChIP-Seq,50,3293577400,PRJNA529809,SAMN11285849,1117520314,,human mesenchymal stem cells,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX5599406,GSM3691941,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691941,MSC_H3K4me1,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K4me1 (Diagenode\, cat. no. C15410194)",0.0,017508A,,,,,,,,,H3K4me1,[],1,True,broad,
25,SRR8810694,,ChIP-Seq,50,2189197650,PRJNA529809,SAMN11285848,754603146,,human mesenchymal stem cells,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5599407,GSM3691942,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691942,MSC_H3K27ac,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K27ac (Diagenode\, cat. no. C15410196)",0.0,017508A,,,,,,,,,H3K27ac,[],1,True,narrow,
26,SRR8810695,,ChIP-Seq,50,2823937400,PRJNA529809,SAMN11285847,901869766,,human mesenchymal stem cells,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX5599408,GSM3691943,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691943,MSC_H3K27me3,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K27me3 (Diagenode\, cat. no. C15410195)",0.0,017508A,,,,,,,,,H3K27me3,[],1,True,broad,
27,SRR8810696,,ChIP-Seq,50,2806714150,PRJNA529809,SAMN11285846,864745023,,human mesenchymal stem cells,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5599409,GSM3691944,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691944,MSC_H3K36me3,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K36me3 (Diagenode\, cat. no. C15410192)",0.0,017508A,,,,,,,,,H3K36me3,[],1,True,broad,
28,SRR8810697,,ChIP-Seq,50,3095024000,PRJNA529809,SAMN11285845,938124401,,differentiated chondrocytes,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5599410,GSM3691945,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691945,CHON_input,SRP189850,,GSE129031,none,14.0,017508A,,,,,,,,,input,"['SRR8810697', 'SRR8810709']",1,False,,
29,SRR8810698,,ChIP-Seq,50,2794292550,PRJNA529809,SAMN11285844,893112731,,differentiated chondrocytes,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5599411,GSM3691946,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691946,CHON_H3K4me3,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K4me3 (Diagenode\, included in iDEAL Histone ChIP-seq kit cat. no. C01010050)",14.0,017508A,,,,,,,,,H3K4me3,[],1,True,narrow,
30,SRR8810699,,ChIP-Seq,50,2882231500,PRJNA529809,SAMN11285843,977072649,,differentiated chondrocytes,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5599412,GSM3691947,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691947,CHON_H3K4me1,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K4me1 (Diagenode\, cat. no. C15410194)",14.0,017508A,,,,,,,,,H3K4me1,[],1,True,broad,
31,SRR8810700,,ChIP-Seq,50,2639118750,PRJNA529809,SAMN11285842,900095488,,differentiated chondrocytes,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5599413,GSM3691948,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691948,CHON_H3K27ac,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K27ac (Diagenode\, cat. no. C15410196)",14.0,017508A,,,,,,,,,H3K27ac,[],1,True,narrow,
32,SRR8810701,,ChIP-Seq,50,2808428000,PRJNA529809,SAMN11285841,897987315,,differentiated chondrocytes,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX5599414,GSM3691949,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691949,CHON_H3K27me3,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K27me3 (Diagenode\, cat. no. C15410195)",14.0,017508A,,,,,,,,,H3K27me3,[],1,True,broad,
33,SRR8810702,,ChIP-Seq,50,3223419000,PRJNA529809,SAMN11285840,984855714,,differentiated chondrocytes,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX5599415,GSM3691950,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691950,CHON_H3K36me3,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K36me3 (Diagenode\, cat. no. C15410192)",14.0,017508A,,,,,,,,,H3K36me3,[],1,True,broad,
34,SRR8810703,,ChIP-Seq,75,2978741011,PRJNA529809,SAMN11285839,1189384126,,human mesenchymal stem cells,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX5599416,GSM3691951,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691951,MSC_input,SRP189850,,GSE129031,none,0.0,2454e,,,,,,,,,input,"['SRR8810691', 'SRR8810703']",1,False,,
35,SRR8810704,,ChIP-Seq,75,6340239731,PRJNA529809,SAMN11285838,2599004551,,human mesenchymal stem cells,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5599417,GSM3691952,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691952,MSC_H3K4me3,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K4me3 (Diagenode\, included in iDEAL Histone ChIP-seq kit cat. no. C01010050)",0.0,2454e,,,,,,,,,H3K4me3,[],1,True,narrow,
36,SRR8810705,,ChIP-Seq,75,2405129366,PRJNA529809,SAMN11285837,993399705,,human mesenchymal stem cells,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5599418,GSM3691953,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691953,MSC_H3K4me1,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K4me1 (Diagenode\, cat. no. C15410194)",0.0,2454e,,,,,,,,,H3K4me1,[],1,True,broad,
37,SRR8810706,,ChIP-Seq,75,2849498124,PRJNA529809,SAMN11285836,1148310235,,human mesenchymal stem cells,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5599419,GSM3691954,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691954,MSC_H3K27ac,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K27ac (Diagenode\, cat. no. C15410196)",0.0,2454e,,,,,,,,,H3K27ac,[],1,True,narrow,
38,SRR8810707,,ChIP-Seq,75,4009119497,PRJNA529809,SAMN11285835,1630406049,,human mesenchymal stem cells,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5599420,GSM3691955,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691955,MSC_H3K27me3,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K27me3 (Diagenode\, cat. no. C15410195)",0.0,2454e,,,,,,,,,H3K27me3,[],1,True,broad,
39,SRR8810708,,ChIP-Seq,75,4892510965,PRJNA529809,SAMN11285834,1986039481,,human mesenchymal stem cells,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX5599421,GSM3691956,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691956,MSC_H3K36me3,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K36me3 (Diagenode\, cat. no. C15410192)",0.0,2454e,,,,,,,,,H3K36me3,[],1,True,broad,
40,SRR8810709,,ChIP-Seq,75,3160848784,PRJNA529809,SAMN11285833,1261452721,,differentiated chondrocytes,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX5599422,GSM3691957,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691957,CHON_input,SRP189850,,GSE129031,none,14.0,2454e,,,,,,,,,input,"['SRR8810697', 'SRR8810709']",1,False,,
41,SRR8810710,,ChIP-Seq,75,2429279789,PRJNA529809,SAMN11285832,948928380,,differentiated chondrocytes,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX5599423,GSM3691958,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691958,CHON_H3K4me3,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K4me3 (Diagenode\, included in iDEAL Histone ChIP-seq kit cat. no. C01010050)",14.0,2454e,,,,,,,,,H3K4me3,[],1,True,narrow,
42,SRR8810711,,ChIP-Seq,75,4075065993,PRJNA529809,SAMN11285831,1638548458,,differentiated chondrocytes,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX5599424,GSM3691959,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691959,CHON_H3K4me1,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K4me1 (Diagenode\, cat. no. C15410194)",14.0,2454e,,,,,,,,,H3K4me1,[],1,True,broad,
43,SRR8810712,,ChIP-Seq,75,4113297176,PRJNA529809,SAMN11285830,1655856966,,differentiated chondrocytes,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5599425,GSM3691960,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691960,CHON_H3K27ac,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K27ac (Diagenode\, cat. no. C15410196)",14.0,2454e,,,,,,,,,H3K27ac,[],1,True,narrow,
44,SRR8810713,,ChIP-Seq,75,2947541318,PRJNA529809,SAMN11285829,1205280295,,differentiated chondrocytes,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5599426,GSM3691961,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691961,CHON_H3K27me3,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K27me3 (Diagenode\, cat. no. C15410195)",14.0,2454e,,,,,,,,,H3K27me3,[],1,True,broad,
45,SRR8810714,,ChIP-Seq,75,3974779912,PRJNA529809,SAMN11285828,1600464929,,differentiated chondrocytes,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5599427,GSM3691962,NextSeq 500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691962,CHON_H3K36me3,SRP189850,,GSE129031,"ChIP-seq grade polyclonal rabbit H3K36me3 (Diagenode\, cat. no. C15410192)",14.0,2454e,,,,,,,,,H3K36me3,[],1,True,broad,
46,SRR11077438,,ChIP-Seq,40,2066463600,PRJNA606462,SAMN14091481,1165910807,,pachytene spermatocytes,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX7716741,GSM4308650,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-06T00:00:00Z,GSM4308650,adult testis,SRP248935,,GSE145225,"H3K4me1 (Abcam\, ab8995)",,,,,,,,,,,H3K4me1,"['SRR11077440', 'SRR11077443']",1,True,broad,
