Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,differentiation_time_point,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,msc_donor,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR8810705,ChIP-Seq,75,2405129366,PRJNA529809,SAMN11285837,993399705,human mesenchymal stem cells,GEO,"ChIP-seq grade polyclonal rabbit H3K4me1 (Diagenode\, cat. no. C15410194)",public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",0,SRX5599418,GSM3691953,NextSeq 500,SINGLE,ChIP,GENOMIC,2454e,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691953,MSC_H3K4me1,SRP189850
SRR8810706,ChIP-Seq,75,2849498124,PRJNA529809,SAMN11285836,1148310235,human mesenchymal stem cells,GEO,"ChIP-seq grade polyclonal rabbit H3K27ac (Diagenode\, cat. no. C15410196)",public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",0,SRX5599419,GSM3691954,NextSeq 500,SINGLE,ChIP,GENOMIC,2454e,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691954,MSC_H3K27ac,SRP189850
SRR8810707,ChIP-Seq,75,4009119497,PRJNA529809,SAMN11285835,1630406049,human mesenchymal stem cells,GEO,"ChIP-seq grade polyclonal rabbit H3K27me3 (Diagenode\, cat. no. C15410195)",public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",0,SRX5599420,GSM3691955,NextSeq 500,SINGLE,ChIP,GENOMIC,2454e,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691955,MSC_H3K27me3,SRP189850
SRR8810708,ChIP-Seq,75,4892510965,PRJNA529809,SAMN11285834,1986039481,human mesenchymal stem cells,GEO,"ChIP-seq grade polyclonal rabbit H3K36me3 (Diagenode\, cat. no. C15410192)",public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",0,SRX5599421,GSM3691956,NextSeq 500,SINGLE,ChIP,GENOMIC,2454e,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691956,MSC_H3K36me3,SRP189850
SRR8810709,ChIP-Seq,75,3160848784,PRJNA529809,SAMN11285833,1261452721,differentiated chondrocytes,GEO,none,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",14,SRX5599422,GSM3691957,NextSeq 500,SINGLE,ChIP,GENOMIC,2454e,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691957,CHON_input,SRP189850
SRR8810710,ChIP-Seq,75,2429279789,PRJNA529809,SAMN11285832,948928380,differentiated chondrocytes,GEO,"ChIP-seq grade polyclonal rabbit H3K4me3 (Diagenode\, included in iDEAL Histone ChIP-seq kit cat. no. C01010050)",public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",14,SRX5599423,GSM3691958,NextSeq 500,SINGLE,ChIP,GENOMIC,2454e,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691958,CHON_H3K4me3,SRP189850
SRR8810711,ChIP-Seq,75,4075065993,PRJNA529809,SAMN11285831,1638548458,differentiated chondrocytes,GEO,"ChIP-seq grade polyclonal rabbit H3K4me1 (Diagenode\, cat. no. C15410194)",public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",14,SRX5599424,GSM3691959,NextSeq 500,SINGLE,ChIP,GENOMIC,2454e,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691959,CHON_H3K4me1,SRP189850
SRR8810712,ChIP-Seq,75,4113297176,PRJNA529809,SAMN11285830,1655856966,differentiated chondrocytes,GEO,"ChIP-seq grade polyclonal rabbit H3K27ac (Diagenode\, cat. no. C15410196)",public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",14,SRX5599425,GSM3691960,NextSeq 500,SINGLE,ChIP,GENOMIC,2454e,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691960,CHON_H3K27ac,SRP189850
SRR8810713,ChIP-Seq,75,2947541318,PRJNA529809,SAMN11285829,1205280295,differentiated chondrocytes,GEO,"ChIP-seq grade polyclonal rabbit H3K27me3 (Diagenode\, cat. no. C15410195)",public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",14,SRX5599426,GSM3691961,NextSeq 500,SINGLE,ChIP,GENOMIC,2454e,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691961,CHON_H3K27me3,SRP189850
SRR8810714,ChIP-Seq,75,3974779912,PRJNA529809,SAMN11285828,1600464929,differentiated chondrocytes,GEO,"ChIP-seq grade polyclonal rabbit H3K36me3 (Diagenode\, cat. no. C15410192)",public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",14,SRX5599427,GSM3691962,NextSeq 500,SINGLE,ChIP,GENOMIC,2454e,Homo sapiens,ILLUMINA,2020-03-25T00:00:00Z,GSM3691962,CHON_H3K36me3,SRP189850
