Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Cell_type,donor_id,passage,source_name,treatment,chip_antibody
SRR10344772,ChIP-Seq,50,702164600,PRJNA579487,SAMN13112379,263426471,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX7054925,GSM4139501,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139501,SRP226959,human aortic endothelial cell,donor25,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344773,ChIP-Seq,50,477957200,PRJNA579487,SAMN13112378,192523668,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7054926,GSM4139502,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139502,SRP226959,human aortic endothelial cell,donor26,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344774,ChIP-Seq,50,1288345300,PRJNA579487,SAMN13112377,487781455,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7054927,GSM4139503,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139503,SRP226959,human aortic endothelial cell,donor27,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344775,ChIP-Seq,50,1041249050,PRJNA579487,SAMN13112376,414086472,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7054928,GSM4139504,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139504,SRP226959,human aortic endothelial cell,donor28,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344776,ChIP-Seq,50,958955250,PRJNA579487,SAMN13112375,366715461,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7054977,GSM4139505,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139505,SRP226959,human aortic endothelial cell,donor29,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344777,ChIP-Seq,50,940731100,PRJNA579487,SAMN13112374,340860092,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054978,GSM4139506,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139506,SRP226959,human aortic endothelial cell,donor30,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344778,ChIP-Seq,50,328787700,PRJNA579487,SAMN13112373,124142614,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054979,GSM4139507,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139507,SRP226959,human aortic endothelial cell,donor31,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344779,ChIP-Seq,50,519798200,PRJNA579487,SAMN13112372,200950365,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7054980,GSM4139508,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139508,SRP226959,human aortic endothelial cell,donor31,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344780,ChIP-Seq,50,685447700,PRJNA579487,SAMN13112371,254366880,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7054981,GSM4139509,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139509,SRP226959,human aortic endothelial cell,donor32,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344781,ChIP-Seq,50,895504800,PRJNA579487,SAMN13112370,374629560,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7054982,GSM4139510,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139510,SRP226959,human aortic endothelial cell,donor33,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344782,ChIP-Seq,50,1484524950,PRJNA579487,SAMN13112369,554156472,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7054983,GSM4139511,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139511,SRP226959,human aortic endothelial cell,donor36,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344783,ChIP-Seq,50,738522450,PRJNA579487,SAMN13112368,277760247,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX7054984,GSM4139512,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139512,SRP226959,human aortic endothelial cell,donor37,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344784,ChIP-Seq,50,1164333350,PRJNA579487,SAMN13112366,439183305,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7054985,GSM4139513,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139513,SRP226959,human aortic endothelial cell,donor38,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344785,ChIP-Seq,50,2185899300,PRJNA579487,SAMN13112405,852471857,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX7054986,GSM4139514,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139514,SRP226959,human aortic endothelial cell,donor39,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344786,ChIP-Seq,50,1145693350,PRJNA579487,SAMN13112403,452082426,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7054987,GSM4139515,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139515,SRP226959,human aortic endothelial cell,donor40,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344787,ChIP-Seq,50,342477700,PRJNA579487,SAMN13112401,132568879,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7054988,GSM4139516,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139516,SRP226959,human aortic endothelial cell,donor41,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344788,ChIP-Seq,50,411525900,PRJNA579487,SAMN13112400,162005427,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7054989,GSM4139517,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139517,SRP226959,human aortic endothelial cell,donor41,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344789,ChIP-Seq,50,947977000,PRJNA579487,SAMN13112399,371862504,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX7054990,GSM4139518,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139518,SRP226959,human aortic endothelial cell,donor43,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344790,ChIP-Seq,50,822716050,PRJNA579487,SAMN13112398,318102645,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7054991,GSM4139519,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139519,SRP226959,human aortic endothelial cell,donor43,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344791,ChIP-Seq,50,748913150,PRJNA579487,SAMN13112397,284874858,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7054992,GSM4139520,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139520,SRP226959,human aortic endothelial cell,donor44,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344792,ChIP-Seq,50,454300650,PRJNA579487,SAMN13112396,168345536,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX7054593,GSM4139521,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139521,SRP226959,human aortic endothelial cell,donor46,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344793,ChIP-Seq,50,528768750,PRJNA579487,SAMN13112395,200622189,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7054594,GSM4139522,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139522,SRP226959,human aortic endothelial cell,donor47,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344794,ChIP-Seq,50,838320600,PRJNA579487,SAMN13112394,352592399,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7054595,GSM4139523,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139523,SRP226959,human aortic endothelial cell,donor49,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344795,ChIP-Seq,50,982037700,PRJNA579487,SAMN13112393,391957901,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7054596,GSM4139524,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139524,SRP226959,human aortic endothelial cell,donor51,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344796,ChIP-Seq,50,537901300,PRJNA579487,SAMN13112392,218299504,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7054597,GSM4139525,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139525,SRP226959,human aortic endothelial cell,donor52,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344797,ChIP-Seq,50,2122684150,PRJNA579487,SAMN13112391,798585999,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7054598,GSM4139526,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139526,SRP226959,human aortic endothelial cell,donor53,6 to 10,human aortic endothelial cell_untreated_h327ac,untreated,Active Motif #39135
SRR10344798,ChIP-Seq,50,1129746000,PRJNA579487,SAMN13112390,453147927,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7054599,GSM4139527,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139527,SRP226959,human aortic endothelial cell,donor1,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344799,ChIP-Seq,50,1004695150,PRJNA579487,SAMN13112389,394772405,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7054600,GSM4139528,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139528,SRP226959,human aortic endothelial cell,donor2,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344800,ChIP-Seq,50,864542500,PRJNA579487,SAMN13112388,335382563,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7054601,GSM4139529,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139529,SRP226959,human aortic endothelial cell,donor2,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344801,ChIP-Seq,50,297006350,PRJNA579487,SAMN13112387,111349982,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7054602,GSM4139530,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139530,SRP226959,human aortic endothelial cell,donor3,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344802,ChIP-Seq,50,832211950,PRJNA579487,SAMN13112427,315593976,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7054603,GSM4139531,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139531,SRP226959,human aortic endothelial cell,donor4,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344803,ChIP-Seq,50,1606884450,PRJNA579487,SAMN13112426,613823553,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX7054604,GSM4139532,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139532,SRP226959,human aortic endothelial cell,donor5,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344804,ChIP-Seq,50,1184093300,PRJNA579487,SAMN13112425,473729277,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054605,GSM4139533,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139533,SRP226959,human aortic endothelial cell,donor7,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344805,ChIP-Seq,50,1438846300,PRJNA579487,SAMN13112424,606181259,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7054606,GSM4139534,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139534,SRP226959,human aortic endothelial cell,donor9,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344806,ChIP-Seq,50,1109671400,PRJNA579487,SAMN13112423,432558211,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7054607,GSM4139535,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139535,SRP226959,human aortic endothelial cell,donor10,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344807,ChIP-Seq,50,869286900,PRJNA579487,SAMN13112422,355399572,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7054608,GSM4139536,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139536,SRP226959,human aortic endothelial cell,donor12,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
