Run,Antibody,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,disease,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR8575228,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1472357000,PRJNA522418,SAMN10936214,941616790,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",adult,-,SRX5376036,GSM3605891,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605891,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575229,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,2417395650,PRJNA522418,SAMN10936213,880820233,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",adult,-,SRX5376037,GSM3605893,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605893,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575230,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1377442250,PRJNA522418,SAMN10936211,941056571,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,-,SRX5376038,GSM3605895,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605895,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575231,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1477293650,PRJNA522418,SAMN10936266,722249561,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",adult,-,SRX5376039,GSM3605897,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605897,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575232,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,955535400,PRJNA522418,SAMN10936265,448431029,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,-,SRX5376040,GSM3605899,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605899,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575233,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,964121800,PRJNA522418,SAMN10936264,457305465,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,-,SRX5376041,GSM3605901,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605901,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575234,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1348104200,PRJNA522418,SAMN10936263,827880545,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",adult,-,SRX5376042,GSM3605903,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605903,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575235,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1343769000,PRJNA522418,SAMN10936262,820082270,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",adult,-,SRX5376043,GSM3605904,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605904,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575236,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1043085250,PRJNA522418,SAMN10936261,533549716,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376044,GSM3605906,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605906,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575237,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,2494691350,PRJNA522418,SAMN10936260,908222372,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376045,GSM3605908,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605908,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575238,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,4077203350,PRJNA522418,SAMN10936259,2810896117,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376046,GSM3605910,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605910,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575239,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1164464250,PRJNA522418,SAMN10936258,727358075,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376047,GSM3605912,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605912,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575240,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1266391550,PRJNA522418,SAMN10936257,819570256,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376048,GSM3605914,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605914,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575241,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,2568677450,PRJNA522418,SAMN10936256,1691093563,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376049,GSM3605916,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605916,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575242,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1225974350,PRJNA522418,SAMN10936255,767567394,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376050,GSM3605918,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605918,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575243,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1914343700,PRJNA522418,SAMN10936254,1234577621,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376051,GSM3605919,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605919,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575244,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,955677700,PRJNA522418,SAMN10936253,585274408,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376052,GSM3605921,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605921,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575245,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1118151250,PRJNA522418,SAMN10936252,732591140,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376053,GSM3605923,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605923,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575246,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,2085597850,PRJNA522418,SAMN10936251,1376819209,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376054,GSM3605925,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605925,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575247,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1178666900,PRJNA522418,SAMN10936250,801487823,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376055,GSM3605927,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605927,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575248,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1236201400,PRJNA522418,SAMN10936249,596344509,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376056,GSM3605928,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605928,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575249,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1286580350,PRJNA522418,SAMN10936248,840240624,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376057,GSM3605930,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605930,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575250,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,976394650,PRJNA522418,SAMN10936247,468351093,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376058,GSM3605932,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605932,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575251,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1218608100,PRJNA522418,SAMN10936246,577360365,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376059,GSM3605934,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605934,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575252,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1010797600,PRJNA522418,SAMN10936245,496677591,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376060,GSM3605936,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605936,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575253,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1194364950,PRJNA522418,SAMN10936244,561762789,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376061,GSM3605937,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605937,"adult left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575254,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1183095100,PRJNA522418,SAMN10936243,562641286,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",CS22,-,SRX5376062,GSM3605939,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605939,"embryonic heart\, H3K27ac ChIP",SRP185901,heart
SRR8575255,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1224224400,PRJNA522418,SAMN10936242,554968349,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",PCW10,-,SRX5376063,GSM3605941,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605941,"fetal heart\, H3K27ac ChIP",SRP185901,heart
SRR8575256,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,861827350,PRJNA522418,SAMN10936241,382969459,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",PCW10,-,SRX5376064,GSM3605943,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605943,"fetal heart\, H3K27ac ChIP",SRP185901,heart
SRR8575257,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1585016800,PRJNA522418,SAMN10936240,786050656,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",PCW10,-,SRX5376065,GSM3605945,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605945,"fetal heart\, H3K27ac ChIP",SRP185901,heart
SRR8575258,"anti-H3K27ac (Active motif\, 39133)",ChIP-Seq,50,1425269000,PRJNA522418,SAMN10936291,709450878,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",PCW17,-,SRX5376066,GSM3605947,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605947,"fetal left ventricle\, H3K27ac ChIP",SRP185901,left ventricle
SRR8575259,-,ChIP-Seq,50,1278146350,PRJNA522418,SAMN10936290,648843042,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,-,SRX5376067,GSM3605948,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605948,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575260,-,ChIP-Seq,50,1113479550,PRJNA522418,SAMN10936289,561709205,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,-,SRX5376068,GSM3605950,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605950,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575261,-,ChIP-Seq,50,1336096700,PRJNA522418,SAMN10936288,672715711,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",adult,-,SRX5376069,GSM3605952,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605952,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575262,-,ChIP-Seq,50,893650200,PRJNA522418,SAMN10936287,417896457,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",adult,-,SRX5376070,GSM3605954,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605954,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575263,-,ChIP-Seq,50,1050266300,PRJNA522418,SAMN10936286,490480501,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",adult,-,SRX5376071,GSM3605956,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605956,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575264,-,ChIP-Seq,50,1071825350,PRJNA522418,SAMN10936285,658102484,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,-,SRX5376072,GSM3605957,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605957,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575265,-,ChIP-Seq,50,1332844800,PRJNA522418,SAMN10936284,900976148,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,-,SRX5376073,GSM3605959,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605959,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575266,-,ChIP-Seq,50,1393447550,PRJNA522418,SAMN10936283,911627346,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,-,SRX5376074,GSM3605961,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605961,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575267,-,ChIP-Seq,50,1009130200,PRJNA522418,SAMN10936282,693123284,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",adult,-,SRX5376075,GSM3605963,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605963,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575268,-,ChIP-Seq,50,1978416050,PRJNA522418,SAMN10936281,728110999,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",adult,-,SRX5376076,GSM3605965,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605965,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575269,-,ChIP-Seq,50,1708079000,PRJNA522418,SAMN10936280,1069056989,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",adult,-,SRX5376077,GSM3605967,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605967,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575270,-,ChIP-Seq,50,1453017450,PRJNA522418,SAMN10936279,523915171,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",adult,-,SRX5376078,GSM3605968,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605968,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575271,-,ChIP-Seq,50,1303986600,PRJNA522418,SAMN10936278,881640311,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",adult,-,SRX5376079,GSM3605970,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605970,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575272,-,ChIP-Seq,50,1239707700,PRJNA522418,SAMN10936277,587711927,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",adult,-,SRX5376080,GSM3605972,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605972,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575273,-,ChIP-Seq,50,963962500,PRJNA522418,SAMN10936276,452297497,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",adult,-,SRX5376081,GSM3605974,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605974,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575274,-,ChIP-Seq,50,899228450,PRJNA522418,SAMN10936275,435166481,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",adult,-,SRX5376082,GSM3605976,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605976,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575275,-,ChIP-Seq,50,1099565550,PRJNA522418,SAMN10936274,661165374,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",adult,-,SRX5376083,GSM3605978,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605978,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575276,-,ChIP-Seq,50,1373557200,PRJNA522418,SAMN10936273,826717371,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,-,SRX5376084,GSM3605979,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605979,"adult left ventricle\, input ChIP",SRP185901,left ventricle
